Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,3.norská liga - sk.2,2,9,24,Tromsdalen,Valerengen_2,3,0,"1,02","18,20","33,00"
Fotbal,3.norská liga - sk.2,7,9,24,Strindheim,Strommen,0,1,"2,68","3,73","2,14"
Fotbal,3.norská liga - sk.2,7,9,24,Follo,Kjelsas,0,0,"2,50","3,62","2,32"
Fotbal,3.norská liga - sk.2,7,9,24,Gjovik_Lyn,Eidsvold_TF,0,2,"7,64","5,63","1,25"
Fotbal,3.norská liga - sk.2,8,9,24,Grorud,Alta,3,1,"1,51","4,38","4,52"
Fotbal,3.norská liga - sk.2,8,9,24,Valerengen_2,Junkeren,2,5,"6,33","5,41","1,30"
Fotbal,3.norská liga - sk.2,14,9,24,Eidsvold_TF,Grorud,2,4,"2,15","3,88","2,59"
Fotbal,3.norská liga - sk.2,16,9,24,Stjordals_Blink,Valerengen_2,6,0,"1,01","18,60","33,00"
Fotbal,3.norská liga - sk.2,21,9,24,Gjovik_Lyn,Grorud,1,2,"8,28","5,71","1,23"
Fotbal,3.norská liga - sk.2,28,9,24,Gjovik_Lyn,Follo,0,4,"4,58","4,18","1,52"
Fotbal,3.norská liga - sk.2,5,10,24,Follo,Strommen,2,1,"2,56","3,32","2,40"
Fotbal,3.norská liga - sk.2,5,10,24,Junkeren,Eidsvold_TF,3,1,"4,82","4,57","1,45"
Fotbal,3.norská liga - sk.2,5,10,24,Tromsdalen,Skeid,4,3,"1,94","3,51","3,20"
Fotbal,3.norská liga - sk.2,6,10,24,Kjelsas,Alta,2,2,"1,53","4,21","4,52"
Fotbal,3.norská liga - sk.2,7,10,24,Valerengen_2,Gjovik_Lyn,0,4,"3,26","4,00","1,80"
Fotbal,3.norská liga - sk.2,11,10,24,Skeid,Stjordals_Blink,2,1,"2,19","3,36","2,82"
Fotbal,3.norská liga - sk.2,19,10,24,Alta,Strindheim,5,1,"1,52","4,27","4,56"
Fotbal,3.norská liga - sk.2,19,10,24,Eidsvold_TF,Tromsdalen,0,1,"3,15","3,96","1,85"
Fotbal,3.norská liga - sk.2,19,10,24,Gjovik_Lyn,Kjelsas,0,3,"7,94","5,33","1,26"
Fotbal,3.norská liga - sk.2,19,10,24,Grorud,Valerengen_2,3,1,"1,01","18,90","33,00"
Fotbal,3.norská liga - sk.2,19,10,24,Skeid,Follo,6,0,"1,27","5,28","7,61"
Fotbal,3.norská liga - sk.2,19,10,24,Stjordals_Blink,Junkeren,4,0,"1,16","7,08","11,40"
Fotbal,3.norská liga - sk.2,26,10,24,Valerengen_2,Eidsvold_TF,1,6,"11,70","7,23","1,16"
Fotbal,3.norská liga - sk.2,26,10,24,Follo,Grorud,2,2,"3,20","4,08","1,81"
Fotbal,3.norská liga - sk.2,26,10,24,Junkeren,Alta,3,2,"3,87","4,59","1,57"
Fotbal,3.norská liga - sk.2,26,10,24,Kjelsas,Strommen,1,4,"1,81","3,70","3,44"
Fotbal,3.norská liga - sk.2,26,10,24,Strindheim,Gjovik_Lyn,5,0,"1,28","5,13","7,26"
Fotbal,3.norská liga - sk.2,26,10,24,Tromsdalen,Stjordals_Blink,4,1,"1,45","4,31","5,12"
Fotbal,3.norská liga - sk.2,29,3,25,Asker,Follo,2,2,"2,42","3,64","2,38"
Fotbal,3.norská liga - sk.2,31,3,25,Alta,Levanger,4,3,"2,94","3,87","1,95"
Fotbal,3.norská liga - sk.2,5,4,25,Eidsvold_TF,Grorud,1,2,"2,01","3,77","2,88"
Fotbal,3.norská liga - sk.2,5,4,25,Follo,Strindheim,2,1,"1,61","4,06","4,11"
