Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,3.španělská liga gr. I,6,9,24,Leonesa_Cultural,San_Sebastian_Real_B,1,1,"1,75","2,99","4,74"
Fotbal,3.španělská liga gr. I,7,9,24,Bilbao_B,Zamora,3,3,"2,06","2,89","3,57"
Fotbal,3.španělská liga gr. I,7,9,24,Osasuna_B,Real_Union,1,2,"2,77","2,90","2,50"
Fotbal,3.španělská liga gr. I,7,9,24,Celta_Vigo_B,Arenteiro,0,0,"1,58","3,48","5,02"
Fotbal,3.španělská liga gr. I,7,9,24,Ponferradina,Unionistas_de_Salamanca,1,0,"1,82","2,90","4,54"
Fotbal,3.španělská liga gr. I,7,9,24,Barcelona_FC_B,Ourense,3,0,"2,17","3,00","3,16"
Fotbal,3.španělská liga gr. I,8,9,24,Barakaldo,Gimnastica_Segoviana,2,0,"1,59","3,46","4,96"
Fotbal,3.španělská liga gr. I,8,9,24,Tarazona,Andorra_CF,0,1,"3,64","2,83","2,07"
Fotbal,3.španělská liga gr. I,8,9,24,Amorebieta,Gimnástico_de_Tarragona,0,1,"3,27","2,63","2,35"
Fotbal,3.španělská liga gr. I,8,9,24,Sestao,Lugo,0,1,"2,23","2,74","3,37"
Fotbal,3.španělská liga gr. I,15,9,24,Andorra_CF,Ponferradina,1,1,"1,98","2,82","3,97"
Fotbal,3.španělská liga gr. I,15,9,24,Lugo,Barakaldo,0,0,"2,13","2,84","3,45"
Fotbal,3.španělská liga gr. I,15,9,24,Unionistas_de_Salamanca,Barcelona_FC_B,2,1,"2,29","2,88","3,08"
Fotbal,3.španělská liga gr. I,15,9,24,Arenteiro,Bilbao_B,1,0,"2,34","2,65","3,27"
Fotbal,3.španělská liga gr. I,15,9,24,Zamora,Leonesa_Cultural,0,1,"2,94","2,60","2,61"
Fotbal,3.španělská liga gr. I,15,9,24,Gimnástico_de_Tarragona,Tarazona,,,"1,69","3,11","4,82"
Fotbal,3.španělská liga gr. I,15,9,24,Ourense,Gimnastica_Segoviana,,,"2,03","2,87","3,69"
Fotbal,3.španělská liga gr. I,15,9,24,San_Sebastian_Real_B,Sestao,,,"1,77","3,06","4,45"
Fotbal,3.španělská liga gr. I,15,9,24,Osasuna_B,Celta_Vigo_B,3,1,"2,81","2,78","2,57"
Fotbal,3.španělská liga gr. I,15,9,24,Real_Union,Amorebieta,1,1,"1,85","2,93","4,31"
Fotbal,3.španělská liga gr. I,14,9,24,Ourense,Gimnastica_Segoviana,0,0,"1,91","2,92","4,06"
