Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,3.švédská liga - jih,2,9,24,Jonkoping_Sodra_IF,Norrby_IF,1,0,"2,53","3,14","2,55"
Fotbal,3.švédská liga - jih,2,9,24,Trollhättan_FC,Ljungskile,1,1,"1,30","4,88","7,29"
Fotbal,3.švédská liga - jih,7,9,24,Tvaakers_IF,Rosengard,1,2,"2,04","3,15","3,29"
Fotbal,3.švédská liga - jih,7,9,24,Ariana,Torslanda_IK,1,2,"1,68","3,69","4,03"
Fotbal,3.švédská liga - jih,7,9,24,Eskilsminne_IF,Oskarshamns_AIK,0,3,"1,88","3,43","3,46"
Fotbal,3.švédská liga - jih,7,9,24,Torns_IF,Ljungskile,1,0,"1,94","3,62","3,13"
Fotbal,3.švédská liga - jih,8,9,24,Ängelholm,Jonkoping_Sodra_IF,2,2,"3,05","3,25","2,10"
Fotbal,3.švédská liga - jih,8,9,24,Onsala_BK,Olympic_Malmo_BK,0,2,"2,81","3,37","2,19"
Fotbal,3.švédská liga - jih,8,9,24,Trollhättan_FC,Lunds_BK,0,2,"2,39","3,36","2,55"
Fotbal,3.švédská liga - jih,9,9,24,Norrby_IF,Falkenbergs_FF,0,1,"3,78","3,23","1,85"
Fotbal,3.švédská liga - jih,13,9,24,Rosengard,Ariana,0,0,"2,42","3,34","2,53"
Fotbal,3.švédská liga - jih,14,9,24,Ängelholm,Torns_IF,0,0,"1,94","3,36","3,33"
Fotbal,3.švédská liga - jih,14,9,24,Olympic_Malmo_BK,Tvaakers_IF,1,1,"2,55","2,96","2,66"
Fotbal,3.švédská liga - jih,14,9,24,Eskilsminne_IF,Trollhättan_FC,4,1,"2,75","3,25","2,30"
Fotbal,3.švédská liga - jih,14,9,24,Lunds_BK,Oskarshamns_AIK,4,2,"1,41","4,32","5,60"
Fotbal,3.švédská liga - jih,15,9,24,Falkenbergs_FF,Jonkoping_Sodra_IF,3,0,"1,60","3,41","4,94"
Fotbal,3.švédská liga - jih,15,9,24,Ljungskile,Torslanda_IK,3,2,"2,90","3,27","2,18"
Fotbal,3.švédská liga - jih,15,9,24,Norrby_IF,Onsala_BK,3,3,"1,36","4,43","6,48"
Fotbal,3.švédská liga - jih,20,9,24,Ariana,Eskilsminne_IF,0,1,"1,64","3,61","4,41"
Fotbal,3.švédská liga - jih,21,9,24,Falkenbergs_FF,Ljungskile,2,3,"1,25","5,12","9,21"
Fotbal,3.švédská liga - jih,21,9,24,Torslanda_IK,Rosengard,2,2,"2,75","3,24","2,29"
