Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,4.anglická liga,2,9,24,Salford_City,Milton_Keynes,1,0,"3,18","3,60","2,03"
Fotbal,4.anglická liga,7,9,24,Newport,Port_Vale,1,4,"3,16","3,39","2,11"
Fotbal,4.anglická liga,7,9,24,Barrow,Swindon,1,1,"1,96","3,27","3,72"
Fotbal,4.anglická liga,7,9,24,Bradford,Carlisle,2,1,"1,87","3,49","3,81"
Fotbal,4.anglická liga,7,9,24,Cheltenham,Harrogate_Town,1,0,"1,96","3,41","3,53"
Fotbal,4.anglická liga,7,9,24,Chesterfield,Grimsby,2,1,"1,63","3,89","4,68"
Fotbal,4.anglická liga,7,9,24,Colchester,Bromley,1,1,"2,03","3,38","3,36"
Fotbal,4.anglická liga,7,9,24,Crewe,Morecambe,1,0,"1,95","3,26","3,78"
Fotbal,4.anglická liga,7,9,24,Doncaster,Gillingham,1,0,"1,83","3,36","4,16"
Fotbal,4.anglická liga,7,9,24,Milton_Keynes,Walsall,1,0,"2,05","3,52","3,18"
Fotbal,4.anglická liga,7,9,24,Notts_County,Accrington_Stanley,2,0,"1,81","3,84","3,68"
Fotbal,4.anglická liga,12,9,24,Harrogate_Town,Doncaster,2,0,"4,34","3,81","1,69"
Fotbal,4.anglická liga,14,9,24,Accrington_Stanley,Crewe,0,1,"2,41","3,26","2,76"
Fotbal,4.anglická liga,14,9,24,AFC_Wimbledon,Milton_Keynes,3,0,"2,26","3,19","3,02"
Fotbal,4.anglická liga,14,9,24,Bromley,Notts_County,2,4,"2,68","3,48","2,36"
Fotbal,4.anglická liga,14,9,24,Carlisle,Fleetwood_Town,2,3,"2,47","3,24","2,69"
Fotbal,4.anglická liga,14,9,24,Gillingham,Tranmere,3,0,"2,11","3,01","3,57"
Fotbal,4.anglická liga,14,9,24,Grimsby,Barrow,1,2,"2,29","3,22","2,96"
Fotbal,4.anglická liga,14,9,24,Morecambe,Colchester,3,3,"3,06","3,13","2,27"
