Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,4.německá liga - Bayern,6,9,24,Aubstadt_TSV,Nürnberg_FC_(Am.),1,1,"2,18","3,29","2,89"
Fotbal,4.německá liga - Bayern,6,9,24,Schweinfurt,Türkgücü-Ataspor,2,0,"1,24","5,43","8,38"
Fotbal,4.německá liga - Bayern,7,9,24,Bamberg_Eintracht_1.FC,Schwaben_Augsburg,0,2,"2,18","3,42","2,80"
Fotbal,4.německá liga - Bayern,7,9,24,Buchbach,Burghausen_Wacker,1,1,"3,06","3,45","2,02"
Fotbal,4.německá liga - Bayern,7,9,24,Fürth_(Am.),Illertissen_FV,0,3,"3,50","3,61","1,82"
Fotbal,4.německá liga - Bayern,7,9,24,Hankofen-Hailing,Ansbach,2,1,"2,18","3,74","2,62"
Fotbal,4.německá liga - Bayern,7,9,24,Vilzing,Viktoria_Aschaffenburg,0,0,"1,52","3,88","4,99"
Fotbal,4.německá liga - Bayern,7,9,24,Würzburger_Kickers,Bayreuth_SpVgg,0,4,"1,81","3,52","3,62"
Fotbal,4.německá liga - Bayern,13,9,24,Würzburger_Kickers,Vilzing,4,0,"1,65","3,77","4,15"
Fotbal,4.německá liga - Bayern,13,9,24,Viktoria_Aschaffenburg,Augsburg_FC_(Am.),0,0,"3,15","3,63","1,93"
Fotbal,4.německá liga - Bayern,13,9,24,Bayern_München_(Am.),Aubstadt_TSV,2,2,"1,39","4,44","5,86"
Fotbal,4.německá liga - Bayern,14,9,24,Ansbach,Buchbach,2,2,"2,22","3,63","2,62"
Fotbal,4.německá liga - Bayern,14,9,24,Bayreuth_SpVgg,Illertissen_FV,1,0,"2,27","2,96","3,02"
Fotbal,4.německá liga - Bayern,14,9,24,Burghausen_Wacker,Bamberg_Eintracht_1.FC,,,"1,54","3,94","4,72"
Fotbal,4.německá liga - Bayern,14,9,24,Nürnberg_FC_(Am.),Hankofen-Hailing,2,2,"1,37","4,64","5,88"
Fotbal,4.německá liga - Bayern,14,9,24,Schwaben_Augsburg,Schweinfurt,4,3,"3,58","3,79","1,76"
Fotbal,4.německá liga - Bayern,14,9,24,Türkgücü-Ataspor,Fürth_(Am.),,,"2,99","3,60","2,00"
Fotbal,4.německá liga - Bayern,17,9,24,Würzburger_Kickers,Nürnberg_FC_(Am.),2,2,"1,63","3,92","4,10"
Fotbal,4.německá liga - Bayern,20,9,24,Hankofen-Hailing,Bayern_München_(Am.),2,0,"6,34","5,09","1,31"
Fotbal,4.německá liga - Bayern,20,9,24,Schweinfurt,Burghausen_Wacker,3,2,"1,87","3,59","3,33"
Fotbal,4.německá liga - Bayern,20,9,24,Illertissen_FV,Türkgücü-Ataspor,2,1,"1,21","5,68","10,20"
Fotbal,4.německá liga - Bayern,21,9,24,Augsburg_FC_(Am.),Würzburger_Kickers,1,3,"2,71","3,55","2,19"
Fotbal,4.německá liga - Bayern,21,9,24,Bamberg_Eintracht_1.FC,Ansbach,1,3,"2,32","3,54","2,54"
Fotbal,4.německá liga - Bayern,21,9,24,Buchbach,Nürnberg_FC_(Am.),0,0,"3,02","3,67","1,97"
Fotbal,4.německá liga - Bayern,21,9,24,Fürth_(Am.),Schwaben_Augsburg,1,0,"1,99","3,80","2,91"
Fotbal,4.německá liga - Bayern,21,9,24,Aubstadt_TSV,Viktoria_Aschaffenburg,1,1,"1,82","3,30","3,85"
Fotbal,4.německá liga - Bayern,21,9,24,Vilzing,Bayreuth_SpVgg,2,2,"3,22","3,19","2,05"
