Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,4.německá liga - Nordost,4,9,24,Jena,Erfurt,5,1,"1,67","3,80","4,02"
Fotbal,4.německá liga - Nordost,10,9,24,Chemnitzer,Chemie_Leipzig,0,1,"2,23","2,98","3,05"
Fotbal,4.německá liga - Nordost,10,9,24,Eilenburg_FC,Hertha_Berlin_(Am.),1,3,"2,72","3,54","2,19"
Fotbal,4.německá liga - Nordost,10,9,24,Greifswalder_SC,Berliner_FC_Dynamo,1,2,"2,00","3,39","3,14"
Fotbal,4.německá liga - Nordost,10,9,24,Luckenwalde_FSV,Hertha_Zehlendorf,0,3,"2,12","3,70","2,74"
Fotbal,4.německá liga - Nordost,10,9,24,Viktoria_Berlin_BFC,Hallescher,1,0,"3,69","3,64","1,76"
Fotbal,4.německá liga - Nordost,11,9,24,Altglienicke_VSG,Jena,4,2,"2,74","3,60","2,15"
Fotbal,4.německá liga - Nordost,11,9,24,Lokomotive_Leipzig,Zwickau,3,2,"1,59","3,79","4,52"
Fotbal,4.německá liga - Nordost,11,9,24,Plauen_FC,Meuselwitz_ZFC,2,3,"2,77","3,55","2,15"
Fotbal,4.německá liga - Nordost,15,9,24,Hallescher,Luckenwalde_FSV,,,"1,32","4,59","7,13"
Fotbal,4.německá liga - Nordost,15,9,24,Hertha_Berlin_(Am.),Viktoria_Berlin_BFC,,,"2,37","3,40","2,55"
Fotbal,4.německá liga - Nordost,15,9,24,Hertha_Zehlendorf,Greifswalder_SC,,,"3,16","3,87","1,86"
Fotbal,4.německá liga - Nordost,13,9,24,Hertha_Berlin_(Am.),Viktoria_Berlin_BFC,3,1,"2,14","3,49","2,82"
Fotbal,4.německá liga - Nordost,13,9,24,Hallescher,Luckenwalde_FSV,1,0,"1,35","4,52","6,49"
Fotbal,4.německá liga - Nordost,13,9,24,Hertha_Zehlendorf,Greifswalder_SC,0,2,"3,53","3,91","1,74"
Fotbal,4.německá liga - Nordost,14,9,24,Babelsberg,Altglienicke_VSG,0,0,"2,56","3,33","2,39"
Fotbal,4.německá liga - Nordost,14,9,24,Meuselwitz_ZFC,Erfurt,1,0,"2,49","3,47","2,39"
Fotbal,4.německá liga - Nordost,14,9,24,Berliner_FC_Dynamo,Chemnitzer,0,0,"1,75","3,38","4,05"
Fotbal,4.německá liga - Nordost,15,9,24,Chemie_Leipzig,Plauen_FC,1,1,"1,38","4,25","6,43"
Fotbal,4.německá liga - Nordost,15,9,24,Zwickau,Eilenburg_FC,3,2,"1,75","3,58","3,83"
Fotbal,4.německá liga - Nordost,15,9,24,Jena,Lokomotive_Leipzig,0,1,"1,83","3,63","3,43"
Fotbal,4.německá liga - Nordost,20,9,24,Hallescher,Hertha_Berlin_(Am.),4,1,"1,71","3,68","3,91"
Fotbal,4.německá liga - Nordost,20,9,24,Plauen_FC,Berliner_FC_Dynamo,1,3,"5,64","4,28","1,42"
Fotbal,4.německá liga - Nordost,20,9,24,Viktoria_Berlin_BFC,Zwickau,,,"2,24","3,44","2,70"
Fotbal,4.německá liga - Nordost,21,9,24,Chemnitzer,Hertha_Zehlendorf,0,0,"1,68","3,70","4,04"
Fotbal,4.německá liga - Nordost,21,9,24,Luckenwalde_FSV,Greifswalder_SC,2,1,"4,41","3,98","1,57"
