Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,4.německá liga - Südwest,7,9,24,Bahlinger_SC,Freiberg_SGV,1,3,"2,46","3,31","2,51"
Fotbal,4.německá liga - Südwest,7,9,24,Homburg,Villingen,6,0,"1,57","3,97","4,48"
Fotbal,4.německá liga - Südwest,7,9,24,Freiburg_Amat.,Hoffenheim_(Am.),1,5,"2,84","3,60","2,09"
Fotbal,4.německá liga - Südwest,7,9,24,Fulda,FSV_Frankfurt,1,1,"2,09","3,40","2,96"
Fotbal,4.německá liga - Südwest,7,9,24,Hessen_Kassel_KSV,Walldorf_Astoria_FC,1,4,"2,28","3,43","2,65"
Fotbal,4.německá liga - Südwest,7,9,24,Stuttgarter_Kickers,Steinbach_TSV,5,1,"1,83","3,35","3,73"
Fotbal,4.německá liga - Südwest,8,9,24,Trier,Offenbach,0,3,"3,27","3,50","1,92"
Fotbal,4.německá liga - Südwest,13,9,24,Offenbach,Stuttgarter_Kickers,2,0,"2,00","3,13","3,41"
Fotbal,4.německá liga - Südwest,14,9,24,Walldorf_Astoria_FC,Frankfurt_Eintracht_(Am.),1,2,"1,78","3,69","3,55"
Fotbal,4.německá liga - Südwest,14,9,24,Villingen,Freiburg_Amat.,2,5,"3,16","3,56","1,94"
Fotbal,4.německá liga - Südwest,14,9,24,Freiberg_SGV,Fulda,1,1,"2,09","3,38","2,96"
Fotbal,4.německá liga - Südwest,14,9,24,FSV_Frankfurt,Trier,3,1,"2,75","3,43","2,21"
Fotbal,4.německá liga - Südwest,14,9,24,Giessen,Homburg,0,2,"3,53","3,46","1,85"
Fotbal,4.německá liga - Südwest,14,9,24,Steinbach_TSV,Mainz_Amat.,2,1,"2,12","3,61","2,78"
Fotbal,4.německá liga - Südwest,15,9,24,Göppingen_SV,Hessen_Kassel_KSV,0,2,"2,52","3,27","2,47"
Fotbal,4.německá liga - Südwest,15,9,24,Hoffenheim_(Am.),Bahlinger_SC,4,0,"1,32","4,69","6,91"
Fotbal,4.německá liga - Südwest,20,9,24,Frankfurt_Eintracht_(Am.),Göppingen_SV,1,2,"1,57","3,79","4,63"
Fotbal,4.německá liga - Südwest,20,9,24,Freiburg_Amat.,Bahlinger_SC,4,0,"1,55","3,97","4,58"
Fotbal,4.německá liga - Südwest,20,9,24,Mainz_Amat.,Offenbach,4,2,"4,04","3,71","1,68"
Fotbal,4.německá liga - Südwest,21,9,24,Trier,Freiberg_SGV,2,0,"1,92","3,47","3,30"
Fotbal,4.německá liga - Südwest,21,9,24,Homburg,Walldorf_Astoria_FC,2,0,"1,61","3,98","4,22"
Fotbal,4.německá liga - Südwest,21,9,24,Villingen,Giessen,1,1,"2,27","3,31","2,74"
Fotbal,4.německá liga - Südwest,21,9,24,Fulda,Hoffenheim_(Am.),0,0,"3,56","3,59","1,80"
Fotbal,4.německá liga - Südwest,21,9,24,Hessen_Kassel_KSV,Steinbach_TSV,0,2,"2,62","3,35","2,34"
Fotbal,4.německá liga - Südwest,21,9,24,Stuttgarter_Kickers,FSV_Frankfurt,0,1,"1,65","3,68","4,25"
Fotbal,4.německá liga - Südwest,24,9,24,Frankfurt_Eintracht_(Am.),Giessen,3,0,"2,10","3,31","3,01"
Fotbal,4.německá liga - Südwest,24,9,24,Mainz_Amat.,Göppingen_SV,2,1,"1,34","4,57","6,73"
Fotbal,4.německá liga - Südwest,27,9,24,Hoffenheim_(Am.),Trier,3,0,"1,75","3,65","3,74"
Fotbal,4.německá liga - Südwest,28,9,24,Walldorf_Astoria_FC,Villingen,1,1,"1,70","3,69","3,92"
Fotbal,4.německá liga - Südwest,28,9,24,Bahlinger_SC,Fulda,0,1,"2,78","3,25","2,27"
Fotbal,4.německá liga - Südwest,28,9,24,Freiberg_SGV,Stuttgarter_Kickers,2,2,"3,11","3,30","2,05"
Fotbal,4.německá liga - Südwest,28,9,24,FSV_Frankfurt,Mainz_Amat.,1,0,"2,53","3,42","2,38"
Fotbal,4.německá liga - Südwest,28,9,24,Giessen,Freiburg_Amat.,0,0,"3,23","3,33","1,99"
Fotbal,4.německá liga - Südwest,28,9,24,Göppingen_SV,Homburg,0,1,"4,89","3,96","1,51"
Fotbal,4.německá liga - Südwest,28,9,24,Steinbach_TSV,Frankfurt_Eintracht_(Am.),3,1,"1,80","3,57","3,62"
Fotbal,4.německá liga - Südwest,29,9,24,Offenbach,Hessen_Kassel_KSV,6,2,"1,38","4,27","6,37"
Fotbal,4.německá liga - Südwest,4,10,24,Freiburg_Amat.,Fulda,1,0,"1,70","3,69","3,94"
Fotbal,4.německá liga - Südwest,4,10,24,Stuttgarter_Kickers,Hoffenheim_(Am.),1,2,"2,24","3,29","2,79"
Fotbal,4.německá liga - Südwest,5,10,24,Trier,Bahlinger_SC,4,1,"1,58","3,78","4,60"
Fotbal,4.německá liga - Südwest,5,10,24,Homburg,Steinbach_TSV,0,0,"1,93","3,56","3,19"
Fotbal,4.německá liga - Südwest,5,10,24,Villingen,Göppingen_SV,1,3,"1,96","3,42","3,22"
Fotbal,4.německá liga - Südwest,5,10,24,Giessen,Walldorf_Astoria_FC,1,2,"2,50","3,25","2,50"
Fotbal,4.německá liga - Südwest,5,10,24,Hessen_Kassel_KSV,FSV_Frankfurt,0,1,"2,87","3,10","2,29"
Fotbal,4.německá liga - Südwest,5,10,24,Mainz_Amat.,Freiberg_SGV,3,2,"2,03","3,70","2,89"
Fotbal,4.německá liga - Südwest,6,10,24,Frankfurt_Eintracht_(Am.),Offenbach,0,0,"4,62","3,99","1,54"
Fotbal,4.německá liga - Südwest,11,10,24,Offenbach,Homburg,5,1,"1,93","3,35","3,38"
Fotbal,4.německá liga - Südwest,12,10,24,Bahlinger_SC,Stuttgarter_Kickers,1,3,"4,30","3,65","1,65"
Fotbal,4.německá liga - Südwest,12,10,24,Freiberg_SGV,Hessen_Kassel_KSV,1,0,"1,66","3,66","4,23"
Fotbal,4.německá liga - Südwest,12,10,24,FSV_Frankfurt,Frankfurt_Eintracht_(Am.),3,1,"2,10","3,37","2,97"
Fotbal,4.německá liga - Südwest,12,10,24,Göppingen_SV,Giessen,5,4,"2,88","3,20","2,22"
Fotbal,4.německá liga - Südwest,12,10,24,Steinbach_TSV,Villingen,3,1,"1,47","4,19","5,11"
Fotbal,4.německá liga - Südwest,13,10,24,Walldorf_Astoria_FC,Freiburg_Amat.,2,0,"2,75","3,56","2,16"
