Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,Anglie - Conference,7,9,24,Fylde,Yeovil,3,4,"2,47","3,34","2,63"
Fotbal,Anglie - Conference,7,9,24,Gateshead,Barnet,2,0,"2,49","3,79","2,39"
Fotbal,Anglie - Conference,7,9,24,Maidenhead_United,Dagenham_&_Redbridge,1,1,"2,24","3,47","2,86"
Fotbal,Anglie - Conference,7,9,24,Altrincham,Ebbsfleet_United,4,0,"1,88","3,46","3,78"
Fotbal,Anglie - Conference,7,9,24,Braintree_Town,Woking,0,0,"2,90","2,98","2,48"
Fotbal,Anglie - Conference,7,9,24,Eastleigh,Tamworth,1,0,"1,64","3,76","4,74"
Fotbal,Anglie - Conference,7,9,24,Hartlepool,Halifax,0,0,"2,22","3,15","3,14"
Fotbal,Anglie - Conference,7,9,24,Oldham,Southend,1,1,"2,13","3,17","3,31"
Fotbal,Anglie - Conference,7,9,24,Solihull,Forest_Green,0,1,"3,54","3,58","1,91"
Fotbal,Anglie - Conference,7,9,24,Sutton_UTD,Boston_Utd.,0,3,"1,43","4,30","6,45"
Fotbal,Anglie - Conference,7,9,24,Wealdstone,York,0,2,"3,20","3,32","2,12"
Fotbal,Anglie - Conference,7,9,24,Aldershot,Rochdale,0,2,"2,32","3,63","2,65"
Fotbal,Anglie - Conference,10,9,24,Barnet,Altrincham,2,1,"1,53","4,32","5,01"
Fotbal,Anglie - Conference,10,9,24,Boston_Utd.,Hartlepool,1,2,"3,43","3,38","2,01"
Fotbal,Anglie - Conference,10,9,24,Dagenham_&_Redbridge,Sutton_UTD,3,0,"2,62","3,21","2,56"
Fotbal,Anglie - Conference,10,9,24,Ebbsfleet_United,Aldershot,0,0,"2,99","3,64","2,10"
Fotbal,Anglie - Conference,10,9,24,Forest_Green,Fylde,3,0,"1,45","4,28","6,18"
Fotbal,Anglie - Conference,10,9,24,Halifax,Oldham,1,1,"2,87","2,90","2,56"
Fotbal,Anglie - Conference,10,9,24,Rochdale,Maidenhead_United,3,1,"1,65","3,68","4,81"
Fotbal,Anglie - Conference,10,9,24,Southend,Eastleigh,2,0,"1,86","3,52","3,79"
Fotbal,Anglie - Conference,10,9,24,Woking,Wealdstone,1,0,"1,96","3,26","3,72"
Fotbal,Anglie - Conference,10,9,24,Yeovil,Solihull,0,1,"2,20","3,28","3,07"
Fotbal,Anglie - Conference,10,9,24,York,Braintree_Town,2,1,"1,64","3,60","5,03"
Fotbal,Anglie - Conference,14,9,24,Barnet,Braintree_Town,3,1,"1,33","4,76","8,21"
Fotbal,Anglie - Conference,14,9,24,Boston_Utd.,Aldershot,1,1,"2,91","3,51","2,19"
Fotbal,Anglie - Conference,14,9,24,Ebbsfleet_United,Hartlepool,1,0,"3,07","3,19","2,24"
Fotbal,Anglie - Conference,14,9,24,Forest_Green,Wealdstone,2,2,"1,42","4,33","6,73"
Fotbal,Anglie - Conference,14,9,24,Halifax,Eastleigh,3,1,"2,13","3,25","3,24"
Fotbal,Anglie - Conference,14,9,24,Rochdale,Solihull,1,2,"1,93","3,54","3,53"
Fotbal,Anglie - Conference,14,9,24,Southend,Sutton_UTD,1,3,"1,90","3,47","3,72"
Fotbal,Anglie - Conference,14,9,24,Tamworth,Maidenhead_United,3,1,"2,51","3,08","2,77"
Fotbal,Anglie - Conference,14,9,24,Woking,Oldham,1,3,"3,19","3,10","2,22"
Fotbal,Anglie - Conference,14,9,24,Yeovil,Altrincham,0,0,"2,33","3,38","2,79"
Fotbal,Anglie - Conference,14,9,24,York,Fylde,3,0,"1,43","4,31","6,48"
Fotbal,Anglie - Conference,14,9,24,Dagenham_&_Redbridge,Gateshead,7,1,"3,10","3,56","2,08"
Fotbal,Anglie - Conference,17,9,24,Fylde,Southend,2,1,"3,29","3,40","2,05"
Fotbal,Anglie - Conference,21,9,24,Fylde,Woking,1,1,"2,45","3,40","2,61"
Fotbal,Anglie - Conference,21,9,24,Aldershot,York,0,0,"3,47","3,53","1,95"
Fotbal,Anglie - Conference,21,9,24,Altrincham,Boston_Utd.,2,2,"1,81","3,60","3,91"
Fotbal,Anglie - Conference,21,9,24,Braintree_Town,Tamworth,0,1,"2,23","3,10","3,17"
Fotbal,Anglie - Conference,21,9,24,Eastleigh,Rochdale,4,2,"2,78","3,42","2,32"
Fotbal,Anglie - Conference,21,9,24,Gateshead,Forest_Green,0,2,"2,24","3,51","2,83"
Fotbal,Anglie - Conference,21,9,24,Hartlepool,Dagenham_&_Redbridge,0,1,"2,42","3,32","2,71"
Fotbal,Anglie - Conference,21,9,24,Maidenhead_United,Halifax,0,1,"3,32","3,09","2,17"
Fotbal,Anglie - Conference,21,9,24,Oldham,Yeovil,1,0,"1,85","3,32","4,09"
Fotbal,Anglie - Conference,21,9,24,Solihull,Southend,2,4,"2,37","3,20","2,86"
