Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,Anglie - Conference North,3,9,24,Curzon_Ashton,Scunthorpe,0,1,"3,60","3,10","1,95"
Fotbal,Anglie - Conference North,3,9,24,Kidderminster,Chester,1,1,"1,80","3,21","4,06"
Fotbal,Anglie - Conference North,3,9,24,Brackley_Town,Chorley,0,2,"2,06","3,05","3,35"
Fotbal,Anglie - Conference North,3,9,24,Darlington,Alfreton_Town,0,0,"2,73","3,04","2,43"
Fotbal,Anglie - Conference North,3,9,24,Southport,Farsley,1,1,"1,94","3,32","3,37"
Fotbal,Anglie - Conference North,3,9,24,Hereford,Needham_Market,0,1,"1,36","4,38","6,65"
Fotbal,Anglie - Conference North,3,9,24,Radcliffe,Spennymoor_Town,2,4,"2,99","3,35","2,09"
Fotbal,Anglie - Conference North,3,9,24,Rushall_Olympic,Marine,2,0,"2,93","3,21","2,19"
Fotbal,Anglie - Conference North,3,9,24,Scarborough,Kings_Lynn,0,0,"1,98","3,27","3,32"
Fotbal,Anglie - Conference North,3,9,24,South_Shields,Buxton,1,0,"1,93","3,43","3,31"
Fotbal,Anglie - Conference North,3,9,24,Warrington_Town,Leamington,1,1,"2,26","3,18","2,85"
Fotbal,Anglie - Conference North,7,9,24,Alfreton_Town,Scarborough,1,1,"2,15","3,08","3,11"
Fotbal,Anglie - Conference North,7,9,24,Buxton,Rushall_Olympic,2,0,"1,82","3,38","3,71"
Fotbal,Anglie - Conference North,7,9,24,Chester,South_Shields,1,0,"1,73","3,46","4,06"
Fotbal,Anglie - Conference North,7,9,24,Chorley,Kidderminster,2,1,"2,63","3,01","2,53"
Fotbal,Anglie - Conference North,7,9,24,Kings_Lynn,Curzon_Ashton,0,2,"2,42","2,93","2,84"
Fotbal,Anglie - Conference North,7,9,24,Marine,Darlington,0,0,"2,58","3,11","2,51"
Fotbal,Anglie - Conference North,7,9,24,Needham_Market,Farsley,0,1,"2,33","3,04","2,86"
Fotbal,Anglie - Conference North,7,9,24,Peterborough_Sports,Brackley_Town,0,2,"2,95","3,01","2,28"
Fotbal,Anglie - Conference North,7,9,24,Scunthorpe,Warrington_Town,1,1,"1,26","5,05","8,72"
Fotbal,Anglie - Conference North,7,9,24,Southport,Radcliffe,2,2,"2,21","3,41","2,76"
Fotbal,Anglie - Conference North,7,9,24,Spennymoor_Town,Hereford,0,0,"1,95","3,32","3,34"
Fotbal,Anglie - Conference North,17,9,24,Oxford_City,Peterborough_Sports,1,3,"2,18","3,18","2,96"
Fotbal,Anglie - Conference North,21,9,24,Brackley_Town,Marine,1,0,"1,63","3,39","4,79"
Fotbal,Anglie - Conference North,21,9,24,Curzon_Ashton,Peterborough_Sports,1,1,"1,91","3,26","3,55"
Fotbal,Anglie - Conference North,21,9,24,Darlington,Southport,3,0,"2,03","3,15","3,31"
Fotbal,Anglie - Conference North,21,9,24,Farsley,Leamington,0,1,"2,12","3,03","3,22"
Fotbal,Anglie - Conference North,21,9,24,Hereford,Kings_Lynn,0,0,"1,96","3,20","3,44"
Fotbal,Anglie - Conference North,21,9,24,Kidderminster,Alfreton_Town,0,1,"1,69","3,33","4,48"
Fotbal,Anglie - Conference North,21,9,24,Oxford_City,Needham_Market,3,0,"1,94","3,28","3,42"
Fotbal,Anglie - Conference North,21,9,24,Rushall_Olympic,Chester,1,2,"3,93","3,31","1,80"
Fotbal,Anglie - Conference North,21,9,24,Scarborough,Scunthorpe,1,0,"3,70","3,23","1,87"
Fotbal,Anglie - Conference North,21,9,24,South_Shields,Chorley,3,3,"2,61","3,20","2,43"
Fotbal,Anglie - Conference North,21,9,24,Warrington_Town,Spennymoor_Town,1,1,"3,66","3,39","1,84"
Fotbal,Anglie - Conference North,24,9,24,Leamington,Oxford_City,4,1,"2,42","3,08","2,71"
Fotbal,Anglie - Conference North,5,10,24,Alfreton_Town,Hereford,0,0,"2,23","3,06","2,99"
Fotbal,Anglie - Conference North,5,10,24,Buxton,Curzon_Ashton,0,1,"2,94","3,07","2,26"
Fotbal,Anglie - Conference North,5,10,24,Chester,Farsley,0,0,"1,44","3,88","6,06"
Fotbal,Anglie - Conference North,5,10,24,Chorley,Warrington_Town,1,1,"1,46","4,03","5,47"
Fotbal,Anglie - Conference North,5,10,24,Kings_Lynn,Darlington,2,1,"2,34","2,87","3,00"
Fotbal,Anglie - Conference North,5,10,24,Leamington,Scarborough,1,1,"2,83","3,07","2,33"
Fotbal,Anglie - Conference North,5,10,24,Marine,Radcliffe,1,0,"2,24","3,25","2,82"
Fotbal,Anglie - Conference North,5,10,24,Needham_Market,South_Shields,3,0,"3,10","3,25","2,08"
Fotbal,Anglie - Conference North,5,10,24,Peterborough_Sports,Rushall_Olympic,0,2,"1,84","3,27","3,78"
Fotbal,Anglie - Conference North,5,10,24,Scunthorpe,Oxford_City,2,2,"1,23","5,41","9,94"
Fotbal,Anglie - Conference North,5,10,24,Southport,Brackley_Town,0,0,"3,09","3,00","2,20"
Fotbal,Anglie - Conference North,5,10,24,Spennymoor_Town,Kidderminster,1,1,"2,54","3,07","2,58"
Fotbal,Anglie - Conference North,12,10,24,Chorley,Needham_Market,1,0,"1,43","4,05","5,82"
Fotbal,Anglie - Conference North,12,10,24,Oxford_City,Alfreton_Town,,,"3,42","3,29","1,93"
Fotbal,Anglie - Conference North,12,10,24,Radcliffe,Warrington_Town,1,2,"1,93","3,45","3,27"
Fotbal,Anglie - Conference North,12,10,24,Southport,South_Shields,3,0,"2,15","3,26","2,96"
Fotbal,Anglie - Conference North,12,10,24,Buxton,Hereford,1,2,"2,89","3,22","2,21"
Fotbal,Anglie - Conference North,18,10,24,Farsley,Spennymoor_Town,0,3,"4,10","3,23","1,79"
Fotbal,Anglie - Conference North,19,10,24,Alfreton_Town,Chorley,1,0,"2,32","3,01","2,90"
Fotbal,Anglie - Conference North,19,10,24,Brackley_Town,Radcliffe,0,1,"1,70","3,52","4,15"
Fotbal,Anglie - Conference North,19,10,24,Chester,Scunthorpe,0,0,"2,92","2,91","2,37"
Fotbal,Anglie - Conference North,19,10,24,Curzon_Ashton,Hereford,1,2,"2,23","3,13","2,93"
Fotbal,Anglie - Conference North,19,10,24,Kings_Lynn,Buxton,2,0,"1,79","3,30","3,99"
Fotbal,Anglie - Conference North,19,10,24,Needham_Market,Kidderminster,0,3,"4,78","3,51","1,60"
Fotbal,Anglie - Conference North,19,10,24,Peterborough_Sports,Marine,2,0,"2,44","3,00","2,75"
Fotbal,Anglie - Conference North,19,10,24,Rushall_Olympic,Darlington,1,1,"2,75","3,13","2,36"
Fotbal,Anglie - Conference North,19,10,24,Scarborough,Southport,1,2,"1,70","3,42","4,27"
Fotbal,Anglie - Conference North,19,10,24,South_Shields,Leamington,1,0,"1,96","3,23","3,41"
Fotbal,Anglie - Conference North,19,10,24,Warrington_Town,Oxford_City,0,2,"2,15","3,36","2,88"
Fotbal,Anglie - Conference North,22,10,24,Alfreton_Town,Spennymoor_Town,0,1,"2,34","3,00","2,87"
Fotbal,Anglie - Conference North,22,10,24,Chester,Buxton,0,1,"1,60","3,53","4,80"
Fotbal,Anglie - Conference North,22,10,24,Chorley,Darlington,3,0,"1,75","3,37","4,09"
Fotbal,Anglie - Conference North,22,10,24,Kidderminster,Marine,0,0,"1,41","4,04","6,25"
Fotbal,Anglie - Conference North,22,10,24,Leamington,Southport,3,0,"2,60","3,04","2,55"
