Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,Copa Argentina,8,9,24,Boca_Juniors,Talleres,2,1,"2,26","2,65","3,45"
Fotbal,Copa Argentina,19,9,24,Central_Córdoba_SdE,Temperley,2,1,"2,02","2,71","4,03"
Fotbal,Copa Argentina,20,9,24,Talleres_Remedios,Huracán,0,1,"4,86","2,92","1,75"
Fotbal,Copa Argentina,27,9,24,Velez_Sarsfield,Independiente,1,0,"2,08","2,71","3,85"
Fotbal,Copa Argentina,24,10,24,Boca_Juniors,Gimnasia_L.P.,2,1,"1,81","3,20","4,56"
Fotbal,Copa Argentina,25,10,24,Huracán,Central_Córdoba_SdE,1,2,"2,13","2,44","4,82"
Fotbal,Copa Argentina,28,11,24,Boca_Juniors,Velez_Sarsfield,3,4,"2,91","2,62","2,78"
Fotbal,Copa Argentina,12,12,24,Velez_Sarsfield,Central_Córdoba_SdE,0,1,"1,90","2,83","4,29"
Fotbal,Copa Argentina,23,1,25,Boca_Juniors,Argentino_de_Monte_Maiz,5,0,"1,15","6,66","14,10"
Fotbal,Copa Argentina,5,2,25,Lanus,General_Lamadrid,4,0,"1,26","4,96","9,06"
Fotbal,Copa Argentina,6,2,25,Gimnasia_L.P.,Deportivo_Espanol,1,0,"1,39","3,96","6,84"
Fotbal,Copa Argentina,12,2,25,San_Martín_Tucumán,Colon_Santa_Fe,1,0,"2,96","2,49","2,71"
Fotbal,Copa Argentina,12,2,25,Gimnasia_Mendoza,Nueva_Chicago,2,0,"3,27","2,58","2,40"
Fotbal,Copa Argentina,20,2,25,Defensa_y_Justicia,Racing_Córdoba,3,1,"1,70","3,09","4,85"
Fotbal,Copa Argentina,25,2,25,Estudiantes,Sarmiento_de_la_Banda,2,1,"1,24","4,91","10,50"
Fotbal,Copa Argentina,26,2,25,Velez_Sarsfield,Ferrocarril_Midland,1,0,"1,30","4,37","8,77"
Fotbal,Copa Argentina,27,2,25,Independiente,Sportivo_Belgrano,2,0,"1,19","5,46","14,90"
Fotbal,Copa Argentina,28,2,25,Godoy_Cruz,Excursionistas,,,"1,31","4,23","8,95"
Fotbal,Copa Argentina,27,2,25,Godoy_Cruz,Excursionistas,0,1,"1,38","3,91","7,29"
Fotbal,Copa Argentina,5,3,25,Deportivo_Riestra,San_Telmo,3,2,"2,12","2,76","3,60"
Fotbal,Copa Argentina,5,3,25,Union_Santa_Fe,Colegiales,3,1,"1,79","2,97","4,52"
Fotbal,Copa Argentina,12,3,25,Platense,Argentino_Quilmes,2,0,"1,47","3,26","7,62"
Fotbal,Copa Argentina,13,3,25,Huracán,San_Martín_Formosa,2,1,"1,29","4,33","9,78"
Fotbal,Copa Argentina,19,3,25,Aldosivi,Gimnasia_y_Tiro,2,1,"1,96","2,65","4,41"
Fotbal,Copa Argentina,19,3,25,Talleres,Deportivo_Armenio,3,4,"1,25","4,68","11,40"
Fotbal,Copa Argentina,20,3,25,River_Plate,Ciudad_de_Bolivar,2,0,"1,07","9,15","25,60"
Fotbal,Copa Argentina,22,3,25,Tigre_Victoria,Berazategui,3,0,"1,22","5,38","11,10"
Fotbal,Copa Argentina,23,3,25,Central_Córdoba_SdE,Quilmes,0,1,"1,89","2,86","4,26"
Fotbal,Copa Argentina,23,3,25,Racing_Club,Deportivo_Santamarina,2,0,"1,19","5,78","12,30"
Fotbal,Copa Argentina,23,3,25,San_Lorenzo,Sportivo_Las_Parejas,1,0,"1,24","4,77","12,30"
Fotbal,Copa Argentina,26,3,25,San_Martín_San_Juan,Gimnasia_J.,1,0,"2,33","2,54","3,46"
Fotbal,Copa Argentina,2,4,25,Banfield,Villa_Mitre_Bahia,1,0,"1,45","3,57","6,66"
Fotbal,Copa Argentina,2,4,25,Atlético_Tucumán,Club_Atlético_All_Boys,2,1,"1,83","2,59","5,29"
Fotbal,Copa Argentina,3,4,25,Instituto,Deportivo_Madryn,3,0,"1,79","2,87","4,74"
Fotbal,Copa Argentina,4,4,25,Newell's,Kimberley_Mar_del_Plata,1,0,"1,27","4,46","11,10"
