Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,Copa Chile,4,9,24,Imperial_Unido,Huachipato,1,2,"8,60","5,51","1,24"
Fotbal,Copa Chile,5,9,24,Deportes_Iquique,Coquimbo_Unido,1,2,"2,12","2,96","3,30"
Fotbal,Copa Chile,5,9,24,Palestino,Universidad_de_Chile,0,5,"3,14","3,07","2,14"
Fotbal,Copa Chile,7,9,24,Magallanes_Deportivo,Colo_Colo,3,0,"6,52","4,44","1,36"
Fotbal,Copa Chile,8,9,24,Coquimbo_Unido,Deportes_Iquique,1,0,"2,24","3,13","2,91"
Fotbal,Copa Chile,10,9,24,Universidad_de_Chile,Palestino,0,1,"1,45","3,94","5,70"
Fotbal,Copa Chile,9,10,24,Coquimbo_Unido,Universidad_de_Chile,0,0,"3,45","2,68","2,23"
Fotbal,Copa Chile,9,10,24,Puerto_Montt,Huachipato,5,1,"2,40","2,74","3,06"
Fotbal,Copa Chile,14,10,24,Universidad_de_Chile,Coquimbo_Unido,1,0,"1,65","3,28","4,85"
Fotbal,Copa Chile,16,10,24,Huachipato,Puerto_Montt,1,0,"1,23","5,22","10,00"
Fotbal,Copa Chile,24,10,24,Puerto_Montt,Atletico_Nublense,1,1,"3,84","2,94","1,95"
Fotbal,Copa Chile,29,10,24,Colo_Colo,Magallanes_Deportivo,0,0,"1,19","5,68","12,60"
Fotbal,Copa Chile,29,10,24,Atletico_Nublense,Puerto_Montt,2,1,"1,43","3,92","6,16"
Fotbal,Copa Chile,14,11,24,Atletico_Nublense,Magallanes_Deportivo,2,1,"2,20","3,00","3,09"
Fotbal,Copa Chile,17,11,24,Magallanes_Deportivo,Atletico_Nublense,1,1,"2,02","3,05","3,44"
Fotbal,Copa Chile,20,11,24,Universidad_de_Chile,Atletico_Nublense,1,0,"1,43","3,98","5,99"
Fotbal,Copa Chile,25,1,25,Cobresal,La_Serena,,,"1,79","3,32","3,93"
Fotbal,Copa Chile,26,1,25,Huachipato,Deportes_Temuco,,,"1,65","3,56","4,39"
Fotbal,Copa Chile,26,1,25,Deportes_Iquique,Antofagasta,2,4,"1,54","3,88","4,80"
Fotbal,Copa Chile,26,1,25,Universidad_Católica,Everton,,,"2,14","3,12","3,08"
Fotbal,Copa Chile,26,1,25,O'Higgins,Rangers_de_Talca,,,"1,91","3,20","3,59"
Fotbal,Copa Chile,26,1,25,Atletico_Nublense,Curicó_Unido,,,"1,80","3,33","3,89"
Fotbal,Copa Chile,27,1,25,Palestino,Audax_Italiano,0,2,"1,69","3,40","4,39"
Fotbal,Copa Chile,27,1,25,Cobresal,La_Serena,1,2,"1,81","3,31","3,86"
Fotbal,Copa Chile,28,1,25,San_Luis_de_Quillota,Union_La_Calera,0,1,"3,28","3,21","2,02"
Fotbal,Copa Chile,29,1,25,Copiapó,Cobreloa,1,1,"2,28","3,27","2,75"
Fotbal,Copa Chile,29,1,25,San_Marcos_Arica,Coquimbo_Unido,2,2,"3,54","3,01","2,00"
Fotbal,Copa Chile,29,1,25,Recoleta,Universidad_de_Chile,1,6,"5,91","4,13","1,42"
Fotbal,Copa Chile,31,1,25,Colo_Colo,Deportes_Limache,2,2,"1,23","5,30","9,94"
Fotbal,Copa Chile,31,1,25,Universidad_de_Concepción,Atletico_Nublense,2,3,"3,40","3,04","2,04"
Fotbal,Copa Chile,1,2,25,Union_La_Calera,Everton,1,0,"3,20","3,18","2,06"
Fotbal,Copa Chile,1,2,25,Deportes_Temuco,O'Higgins,1,1,"3,44","3,67","1,82"
Fotbal,Copa Chile,1,2,25,Unión_Espaňola,Palestino,1,2,"2,98","3,52","2,04"
Fotbal,Copa Chile,2,2,25,San_Marcos_Arica,Cobresal,2,1,"2,20","3,12","2,98"
Fotbal,Copa Chile,2,2,25,San_Luis_de_Quillota,Universidad_Católica,2,1,"4,22","3,48","1,70"
Fotbal,Copa Chile,2,2,25,Coquimbo_Unido,La_Serena,1,1,"1,99","3,07","3,53"
Fotbal,Copa Chile,2,2,25,Huachipato,Rangers_de_Talca,2,0,"1,64","3,74","4,23"
Fotbal,Copa Chile,2,2,25,Copiapó,Deportes_Iquique,1,0,"3,20","3,61","1,91"
Fotbal,Copa Chile,2,2,25,Cobreloa,Antofagasta,1,1,"2,18","3,21","2,94"
Fotbal,Copa Chile,2,2,25,Santiago_Morning,Recoleta,,,"2,55","2,96","2,67"
Fotbal,Copa Chile,3,2,25,Deportes_Santa_Cruz,Curicó_Unido,0,2,"2,51","2,99","2,68"
Fotbal,Copa Chile,3,2,25,Universidad_de_Chile,Magallanes_Deportivo,0,1,"1,42","4,22","5,74"
Fotbal,Copa Chile,3,2,25,Santiago_Wanderers,Colo_Colo,1,0,"5,20","3,79","1,51"
Fotbal,Copa Chile,5,2,25,Deportes_Limache,Uniön_San_Felipe,1,1,"1,95","3,26","3,40"
Fotbal,Copa Chile,7,2,25,Audax_Italiano,Unión_Espaňola,3,1,"2,26","3,14","2,87"
Fotbal,Copa Chile,8,2,25,Everton,San_Luis_de_Quillota,1,0,"1,51","3,91","5,00"
Fotbal,Copa Chile,8,2,25,Cobresal,Coquimbo_Unido,0,2,"2,23","3,01","3,04"
Fotbal,Copa Chile,8,2,25,Rangers_de_Talca,Deportes_Temuco,1,0,"1,70","3,31","4,42"
Fotbal,Copa Chile,8,2,25,Curicó_Unido,Universidad_de_Concepción,0,1,"1,92","3,16","3,63"
Fotbal,Copa Chile,9,2,25,Atletico_Nublense,Deportes_Santa_Cruz,2,2,"1,44","3,95","5,84"
Fotbal,Copa Chile,9,2,25,Antofagasta,Copiapó,,,"2,17","2,94","3,23"
Fotbal,Copa Chile,9,2,25,La_Serena,San_Marcos_Arica,2,1,"2,03","3,01","3,48"
Fotbal,Copa Chile,9,2,25,Deportes_Limache,Santiago_Wanderers,1,2,"2,13","3,09","3,14"
Fotbal,Copa Chile,9,2,25,O'Higgins,Huachipato,0,0,"2,60","2,92","2,64"
Fotbal,Copa Chile,10,2,25,Deportes_Iquique,Cobreloa,2,0,"1,66","3,44","4,51"
Fotbal,Copa Chile,10,2,25,Santiago_Morning,Universidad_de_Chile,1,3,"6,54","4,43","1,36"
Fotbal,Copa Chile,11,2,25,Universidad_Católica,Union_La_Calera,2,2,"2,04","3,09","3,36"
Fotbal,Copa Chile,13,2,25,Colo_Colo,Uniön_San_Felipe,4,0,"1,19","5,94","11,70"
Fotbal,Copa Chile,12,2,25,Copiapó,Antofagasta,4,0,"2,41","3,18","2,65"
Fotbal,Copa Chile,16,2,25,Deportes_Santa_Cruz,Universidad_de_Concepción,0,3,"2,71","2,98","2,49"
Fotbal,Copa Chile,16,2,25,Uniön_San_Felipe,Santiago_Wanderers,1,3,"3,01","3,06","2,22"
Fotbal,Copa Chile,16,2,25,Magallanes_Deportivo,Santiago_Morning,0,0,"1,54","3,73","4,95"
Fotbal,Copa Chile,25,2,25,Deportes_Concepción,Unión_Espaňola,,,"3,15","3,23","2,06"
