Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,Divize A,6,9,24,Vejprnice,Domažlice_Jiskra_B,3,1,"2,31","3,36","2,30"
Fotbal,Divize A,6,9,24,Hluboká_nad_Vltavou,Soběslav_FK,2,0,"3,55","3,74","1,62"
Fotbal,Divize A,7,9,24,Přeštice_TJ,Aritma_Praha,1,4,"4,32","4,00","1,47"
Fotbal,Divize A,7,9,24,Králův_Dvůr,Příbram_B,3,1,"1,54","3,81","4,04"
Fotbal,Divize A,7,9,24,Rokycany,Komárov,0,2,"1,93","3,36","2,86"
Fotbal,Divize A,8,9,24,Jindřichův_Hradec,Petřín_Plzeň_B,1,4,"1,66","3,66","3,43"
Fotbal,Divize A,13,9,24,Petřín_Plzeň_B,Hluboká_nad_Vltavou,,,"2,37","3,31","2,26"
Fotbal,Divize A,14,9,24,Aritma_Praha,Hořovicko_FC,,,"1,38","4,11","5,19"
Fotbal,Divize A,14,9,24,Komárov,Český_Krumlov,,,"1,44","4,03","4,56"
Fotbal,Divize A,14,9,24,Králův_Dvůr,Rokycany,,,"1,42","4,05","4,69"
Fotbal,Divize A,14,9,24,Domažlice_Jiskra_B,Jindřichův_Hradec,,,"1,54","3,86","3,99"
Fotbal,Divize A,14,9,24,Příbram_B,Soběslav_FK,,,"2,54","3,37","2,11"
Fotbal,Divize A,20,9,24,Přeštice_TJ,Komárov,0,5,"3,31","3,39","1,76"
Fotbal,Divize A,21,9,24,Český_Krumlov,Králův_Dvůr,0,5,"2,50","3,31","2,16"
Fotbal,Divize A,21,9,24,Hluboká_nad_Vltavou,Domažlice_Jiskra_B,4,1,"1,47","3,99","4,32"
Fotbal,Divize A,21,9,24,Rokycany,Příbram_B,3,2,"1,90","3,41","2,87"
Fotbal,Divize A,21,9,24,Soběslav_FK,Petřín_Plzeň_B,3,1,"1,35","4,17","5,53"
Fotbal,Divize A,21,9,24,Vejprnice,Aritma_Praha,1,3,"4,55","4,04","1,44"
Fotbal,Divize A,25,9,24,Králův_Dvůr,Rokycany,4,0,"1,31","4,20","6,20"
Fotbal,Divize A,24,9,24,Komárov,Český_Krumlov,2,1,"1,30","4,20","6,44"
Fotbal,Divize A,28,9,24,Aritma_Praha,Jindřichův_Hradec,3,0,"1,20","4,70","8,32"
