Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,Divize D,6,9,24,Velká_Bíteš,Bohunice,2,1,"1,81","3,64","2,93"
Fotbal,Divize D,7,9,24,Líšeň_SK_B,Tasovice_Sokol,0,2,"1,52","3,97","3,97"
Fotbal,Divize D,7,9,24,Polná_Slavoj,Třebíč_FS,1,5,"2,12","3,62","2,40"
Fotbal,Divize D,7,9,24,Humpolec,Lanžhot,1,3,"4,32","4,00","1,47"
Fotbal,Divize D,7,9,24,Vrchovina_SFK,Břeclav,2,0,"1,64","3,94","3,29"
Fotbal,Divize D,7,9,24,Ždírec_n._Doubr.,Havlíčkův_Brod,1,0,"2,07","3,62","2,46"
Fotbal,Divize D,8,9,24,Velké_Meziříčí,Speřice,3,0,"1,35","4,15","5,60"
Fotbal,Divize D,8,9,24,Žďár_n._Sázavou,Kuřim,1,0,"2,46","3,62","2,07"
Fotbal,Divize D,21,9,24,Havlíčkův_Brod,Speřice,3,0,"1,24","4,57","7,09"
Fotbal,Divize D,21,9,24,Humpolec,Třebíč_FS,4,2,"2,26","3,47","2,29"
Fotbal,Divize D,21,9,24,Vrchovina_SFK,Tasovice_Sokol,6,0,"1,47","3,83","4,55"
Fotbal,Divize D,22,9,24,Velké_Meziříčí,Kuřim,0,2,"2,93","3,64","1,81"
Fotbal,Divize D,22,9,24,Líšeň_SK_B,Bohunice,2,2,"2,62","3,62","1,96"
Fotbal,Divize D,22,9,24,Polná_Slavoj,Velká_Bíteš,0,3,"6,03","4,46","1,28"
Fotbal,Divize D,22,9,24,Žďár_n._Sázavou,Lanžhot,2,0,"2,62","3,62","1,96"
Fotbal,Divize D,22,9,24,Ždírec_n._Doubr.,Břeclav,1,1,"1,77","3,92","2,90"
Fotbal,Divize D,28,9,24,Bohunice,Žďár_n._Sázavou,2,2,"2,17","3,70","2,30"
Fotbal,Divize D,28,9,24,Břeclav,Havlíčkův_Brod,0,2,"1,84","3,72","2,82"
Fotbal,Divize D,28,9,24,Třebíč_FS,Líšeň_SK_B,2,2,"2,62","3,62","1,96"
Fotbal,Divize D,28,9,24,Velká_Bíteš,Humpolec,2,1,"1,33","4,30","5,45"
Fotbal,Divize D,29,9,24,Kuřim,Ždírec_n._Doubr.,1,2,"1,42","4,02","4,89"
Fotbal,Divize D,29,9,24,Lanžhot,Vrchovina_SFK,2,1,"2,55","3,62","2,01"
Fotbal,Divize D,29,9,24,Speřice,Polná_Slavoj,3,1,"1,71","3,65","3,23"
Fotbal,Divize D,29,9,24,Tasovice_Sokol,Velké_Meziříčí,0,0,"2,07","3,69","2,42"
Fotbal,Divize D,2,10,24,Břeclav,Velké_Meziříčí,2,1,"1,88","3,62","2,77"
Fotbal,Divize D,5,10,24,Havlíčkův_Brod,Kuřim,2,2,"2,41","3,54","2,14"
Fotbal,Divize D,5,10,24,Vrchovina_SFK,Bohunice,0,3,"1,52","3,81","4,16"
Fotbal,Divize D,6,10,24,Velké_Meziříčí,Lanžhot,1,1,"3,87","3,90","1,55"
Fotbal,Divize D,6,10,24,Líšeň_SK_B,Velká_Bíteš,0,5,"3,30","3,82","1,66"
