Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,FA Cup,1,11,24,Tamworth,Huddersfield,1,0,"8,13","4,92","1,32"
Fotbal,FA Cup,1,11,24,Notts_County,Alfreton_Town,5,1,"1,38","4,48","7,36"
Fotbal,FA Cup,2,11,24,Rotherham,Cheltenham,1,3,"1,41","4,35","7,02"
Fotbal,FA Cup,2,11,24,Barrow,Doncaster,0,1,"3,35","3,13","2,14"
Fotbal,FA Cup,2,11,24,Exeter,Barnet,5,3,"1,83","3,73","3,69"
Fotbal,FA Cup,2,11,24,Carlisle,Wigan,0,2,"4,18","3,43","1,81"
Fotbal,FA Cup,2,11,24,Wycombe,York,3,2,"1,64","3,75","4,76"
Fotbal,FA Cup,2,11,24,Bradford,Aldershot,3,1,"1,40","4,48","6,89"
Fotbal,FA Cup,2,11,24,Worthing,Morecambe,0,2,"2,97","3,79","2,07"
Fotbal,FA Cup,2,11,24,Hednesford,Gainsborough,4,5,"2,68","3,56","2,32"
Fotbal,FA Cup,2,11,24,Burton,Scarborough,1,0,"1,50","4,26","5,40"
Fotbal,FA Cup,2,11,24,Tranmere,Oldham,1,2,"2,24","3,16","3,09"
Fotbal,FA Cup,2,11,24,Rochdale,Bromley,3,4,"2,43","3,30","2,70"
Fotbal,FA Cup,2,11,24,Walsall,Bolton,2,1,"3,45","3,50","1,96"
Fotbal,FA Cup,2,11,24,Grimsby,Wealdstone,0,1,"1,61","3,80","4,94"
Fotbal,FA Cup,2,11,24,Bristol_Rovers,Weston_Super_Mare,3,1,"1,46","4,28","6,05"
Fotbal,FA Cup,2,11,24,Solihull,Maidstone_United,3,0,"1,88","3,54","3,70"
Fotbal,FA Cup,2,11,24,Stockport,Forest_Green,2,1,"1,54","3,93","5,52"
Fotbal,FA Cup,2,11,24,Reading,Fleetwood_Town,2,0,"2,57","3,44","2,47"
Fotbal,FA Cup,2,11,24,Stevenage,Guiseley,2,1,"1,18","6,08","13,20"
Fotbal,FA Cup,2,11,24,Rushall_Olympic,Accrington_Stanley,0,2,"4,41","3,95","1,66"
Fotbal,FA Cup,2,11,24,Swindon,Colchester,2,1,"2,26","3,31","2,93"
Fotbal,FA Cup,2,11,24,Salford_City,Shrewsbury,2,1,"2,31","3,22","2,92"
Fotbal,FA Cup,2,11,24,Crewe,Dagenham_&_Redbridge,0,1,"1,95","3,38","3,62"
Fotbal,FA Cup,2,11,24,Port_Vale,Barnsley,1,3,"3,06","3,34","2,18"
Fotbal,FA Cup,2,11,24,Chesterfield,Horsham,3,1,"1,12","7,97","15,90"
