date,home_team,away_team,home_score,away_score
2024-09-19,Entente_Sportive_de_Sétif,El_Bayadh,1,0
2024-09-20,Oued_Akbou,Magra,1,0
2024-09-21,Paradou_AC,Chlef_ASO,2,0
2024-09-24,Oran_MC,Saoura_JS,2,0
2024-09-27,Belouizdad_CR,Entente_Sportive_de_Sétif,0,0
2024-09-27,El_Bayadh,Biskra_US,0,1
2024-09-27,Alger_MC,Paradou_AC,1,1
2024-09-27,Kabylie_JS,Oued_Akbou,2,1
2024-09-27,Chlef_ASO,Constantine_CS,0,0
2024-09-28,Magra,Alger_USM,0,0
2024-09-28,Saoura_JS,Khenchela_USM,1,1
2024-09-28,Chlef_ASO,Constantine_CS,0,0
2024-09-28,Mostaganem_ES,Oran_MC,2,1
2024-10-01,Kabylie_JS,Alger_MC,1,2
2024-10-02,Constantine_CS,Mostaganem_ES,0,0
2024-10-02,Khenchela_USM,Belouizdad_CR,0,0
2024-10-02,Alger_USM,Biskra_US,2,1
2024-10-04,Oued_Akbou,Saoura_JS,2,1
2024-10-04,Entente_Sportive_de_Sétif,Magra,0,0
2024-10-04,Oran_MC,Chlef_ASO,0,0
2024-10-06,Constantine_CS,Alger_MC,1,1
2024-10-06,Khenchela_USM,Mostaganem_ES,2,0
2024-10-06,Paradou_AC,Kabylie_JS,0,3
2024-10-06,Biskra_US,Belouizdad_CR,0,0
2024-10-06,Alger_USM,El_Bayadh,1,0
2024-10-11,Paradou_AC,Oued_Akbou,1,3
2024-10-11,Saoura_JS,Entente_Sportive_de_Sétif,3,2
2024-10-11,Alger_MC,Oran_MC,1,0
2024-10-12,Magra,Biskra_US,2,2
2024-10-12,Kabylie_JS,Constantine_CS,2,3
2024-10-12,Belouizdad_CR,El_Bayadh,2,3
2024-10-18,Khenchela_USM,Alger_MC,0,1
2024-10-18,Oued_Akbou,Chlef_ASO,0,0
2024-10-18,Entente_Sportive_de_Sétif,Mostaganem_ES,1,0
2024-10-18,Alger_USM,Belouizdad_CR,0,0
2024-10-19,Constantine_CS,Paradou_AC,2,1
2024-10-19,El_Bayadh,Magra,4,0
2024-10-19,Biskra_US,Saoura_JS,2,1
2024-10-19,Oran_MC,Kabylie_JS,2,0
