home_team,away_team,home_score,away_score,result,date
Southampton,Manchester_United,0,3,away_team,2024-09-14
Brighton,Ipswich,0,0,draw,2024-09-14
Crystal_Palace,Leicester,2,2,draw,2024-09-14
Fulham,West_Ham,1,1,draw,2024-09-14
Liverpool,Nottingham,0,1,away_team,2024-09-14
Manchester_City,Brentford,2,1,home_team,2024-09-14
Aston_Villa,Everton,3,2,home_team,2024-09-14
Bournemouth,Chelsea,0,1,away_team,2024-09-14
Tottenham,Arsenal,0,1,away_team,2024-09-15
Wolverhampton_Wanderers,Newcastle,1,2,away_team,2024-09-15
West_Ham,Chelsea,0,3,away_team,2024-09-21
Aston_Villa,Wolverhampton_Wanderers,3,1,home_team,2024-09-21
Fulham,Newcastle,3,1,home_team,2024-09-21
Leicester,Everton,1,1,draw,2024-09-21
Liverpool,Bournemouth,3,0,home_team,2024-09-21
Southampton,Ipswich,1,1,draw,2024-09-21
Tottenham,Brentford,3,1,home_team,2024-09-21
Crystal_Palace,Manchester_United,0,0,draw,2024-09-21
Brighton,Nottingham,2,2,draw,2024-09-22
Manchester_City,Arsenal,2,2,draw,2024-09-22
Newcastle,Manchester_City,1,1,draw,2024-09-28
Arsenal,Leicester,4,2,home_team,2024-09-28
Brentford,West_Ham,1,1,draw,2024-09-28
Chelsea,Brighton,4,2,home_team,2024-09-28
Everton,Crystal_Palace,2,1,home_team,2024-09-28
Nottingham,Fulham,0,1,away_team,2024-09-28
Wolverhampton_Wanderers,Liverpool,1,2,away_team,2024-09-28
Ipswich,Aston_Villa,2,2,draw,2024-09-29
Manchester_United,Tottenham,0,3,away_team,2024-09-29
Bournemouth,Southampton,3,1,home_team,2024-09-30
Arsenal,Southampton,3,1,home_team,2024-10-05
Aston_Villa,Manchester_United,0,0,nehrano,2024-10-05
Brentford,Wolverhampton_Wanderers,5,3,home_team,2024-10-05
Crystal_Palace,Liverpool,0,1,away_team,2024-10-05
Leicester,Bournemouth,1,0,home_team,2024-10-05
