date,home_team,away_team,home_score,away_score
2024-09-14,Southampton,Manchester_United,0.0,3.0
2024-09-14,Brighton,Ipswich,0.0,0.0
2024-09-14,Crystal_Palace,Leicester,2.0,2.0
2024-09-14,Fulham,West_Ham,1.0,1.0
2024-09-14,Liverpool,Nottingham,0.0,1.0
2024-09-14,Manchester_City,Brentford,2.0,1.0
2024-09-14,Aston_Villa,Everton,3.0,2.0
2024-09-14,Bournemouth,Chelsea,0.0,1.0
2024-09-15,Tottenham,Arsenal,0.0,1.0
2024-09-15,Wolverhampton_Wanderers,Newcastle,1.0,2.0
2024-09-21,West_Ham,Chelsea,0.0,3.0
2024-09-21,Aston_Villa,Wolverhampton_Wanderers,3.0,1.0
2024-09-21,Fulham,Newcastle,3.0,1.0
2024-09-21,Leicester,Everton,1.0,1.0
2024-09-21,Liverpool,Bournemouth,3.0,0.0
2024-09-21,Southampton,Ipswich,1.0,1.0
2024-09-21,Tottenham,Brentford,3.0,1.0
2024-09-21,Crystal_Palace,Manchester_United,0.0,0.0
2024-09-22,Brighton,Nottingham,2.0,2.0
2024-09-22,Manchester_City,Arsenal,2.0,2.0
2024-09-28,Newcastle,Manchester_City,1.0,1.0
2024-09-28,Arsenal,Leicester,4.0,2.0
2024-09-28,Brentford,West_Ham,1.0,1.0
2024-09-28,Chelsea,Brighton,4.0,2.0
2024-09-28,Everton,Crystal_Palace,2.0,1.0
2024-09-28,Nottingham,Fulham,0.0,1.0
2024-09-28,Wolverhampton_Wanderers,Liverpool,1.0,2.0
2024-09-29,Ipswich,Aston_Villa,2.0,2.0
2024-09-29,Manchester_United,Tottenham,0.0,3.0
2024-09-30,Bournemouth,Southampton,3.0,1.0
2024-10-05,Arsenal,Southampton,3.0,1.0
2024-10-05,Aston_Villa,Manchester_United,,
2024-10-05,Brentford,Wolverhampton_Wanderers,5.0,3.0
2024-10-05,Crystal_Palace,Liverpool,0.0,1.0
2024-10-05,Leicester,Bournemouth,1.0,0.0
2024-10-05,Manchester_City,Fulham,3.0,2.0
2024-10-05,West_Ham,Ipswich,4.0,1.0
2024-10-05,Everton,Newcastle,0.0,0.0
2024-10-06,Chelsea,Nottingham,1.0,1.0
2024-10-06,Aston_Villa,Manchester_United,0.0,0.0
2024-10-06,Brighton,Tottenham,3.0,2.0
2024-10-19,Tottenham,West_Ham,4.0,1.0
2024-10-19,Fulham,Aston_Villa,1.0,3.0
2024-10-19,Ipswich,Everton,0.0,2.0
2024-10-19,Manchester_United,Brentford,2.0,1.0
2024-10-19,Newcastle,Brighton,0.0,1.0
2024-10-19,Nottingham,Crystal_Palace,,
2024-10-19,Southampton,Leicester,2.0,3.0
2024-10-19,Bournemouth,Arsenal,2.0,0.0
2024-10-20,Wolverhampton_Wanderers,Manchester_City,1.0,2.0
2024-10-20,Liverpool,Chelsea,2.0,1.0
2024-10-21,Nottingham,Crystal_Palace,1.0,0.0
2024-10-25,Leicester,Nottingham,1.0,3.0
2024-10-26,Aston_Villa,Bournemouth,1.0,1.0
