date,home_team,away_team,home_score,away_score
2024-09-02,Atlético_Tucumán,Racing_Club,1.0,0.0
2024-09-02,Banfield,Instituto,1.0,2.0
2024-09-02,Gimnasia_L.P.,Argentinos,1.0,0.0
2024-09-03,Godoy_Cruz,Central_Córdoba_SdE,1.0,1.0
2024-09-13,Lanus,Union_Santa_Fe,1.0,1.0
2024-09-14,River_Plate,Atlético_Tucumán,4.0,1.0
2024-09-14,San_Lorenzo,Velez_Sarsfield,0.0,1.0
2024-09-14,Racing_Club,Boca_Juniors,2.0,1.0
2024-09-15,Belgrano,Independiente,1.0,1.0
2024-09-15,Tigre_Victoria,Gimnasia_L.P.,1.0,1.0
2024-09-15,Estudiantes,Platense,1.0,1.0
2024-09-15,Godoy_Cruz,Sarmiento,1.0,1.0
2024-09-15,Rosario,Talleres,2.0,2.0
2024-09-16,Argentinos,Newell's,3.0,0.0
2024-09-16,Barracas_Central,Banfield,0.0,1.0
2024-09-13,Deportivo_Riestra,Huracán,1.0,0.0
2024-09-13,Central_Córdoba_SdE,Instituto,2.0,1.0
2024-09-17,Independiente_Rivadavia,Defensa_y_Justicia,1.0,0.0
2024-09-20,Gimnasia_L.P.,Deportivo_Riestra,0.0,0.0
2024-09-21,Union_Santa_Fe,Godoy_Cruz,3.0,1.0
2024-09-21,Boca_Juniors,River_Plate,0.0,1.0
2024-09-22,Instituto,Barracas_Central,0.0,1.0
2024-09-22,Newell's,Tigre_Victoria,1.0,0.0
2024-09-22,Defensa_y_Justicia,San_Lorenzo,0.0,0.0
2024-09-22,Huracán,Lanus,3.0,0.0
2024-09-22,Independiente,Argentinos,0.0,0.0
2024-09-22,Talleres,Racing_Club,2.0,0.0
2024-09-23,Atlético_Tucumán,Belgrano,2.0,4.0
2024-09-23,Platense,Rosario,1.0,0.0
2024-09-23,Sarmiento,Central_Córdoba_SdE,1.0,3.0
2024-09-24,Banfield,Independiente_Rivadavia,2.0,0.0
2024-09-24,Velez_Sarsfield,Estudiantes,2.0,0.0
2024-09-27,Deportivo_Riestra,Newell's,3.0,3.0
2024-09-28,Independiente_Rivadavia,Instituto,1.0,1.0
2024-09-28,San_Lorenzo,Banfield,2.0,1.0
2024-09-28,Estudiantes,Defensa_y_Justicia,1.0,0.0
2024-09-28,Godoy_Cruz,Huracán,1.0,1.0
2024-09-29,Belgrano,Boca_Juniors,2.0,0.0
2024-09-29,Central_Córdoba_SdE,Barracas_Central,2.0,1.0
2024-09-29,River_Plate,Talleres,0.0,1.0
2024-09-30,Sarmiento,Union_Santa_Fe,1.0,0.0
2024-09-30,Lanus,Gimnasia_L.P.,,
2024-10-01,Argentinos,Atlético_Tucumán,0.0,0.0
2024-10-01,Racing_Club,Platense,1.0,1.0
2024-10-01,Lanus,Gimnasia_L.P.,0.0,0.0
2024-10-01,Tigre_Victoria,Independiente,1.0,1.0
2024-10-02,Rosario,Velez_Sarsfield,3.0,0.0
2024-10-05,Union_Santa_Fe,Central_Córdoba_SdE,0.0,2.0
2024-10-05,Huracán,Sarmiento,3.0,1.0
2024-10-05,Velez_Sarsfield,Racing_Club,1.0,0.0
2024-10-05,Gimnasia_L.P.,Godoy_Cruz,0.0,1.0
2024-10-05,Newell's,Lanus,2.0,1.0
2024-10-06,Instituto,San_Lorenzo,2.0,0.0
2024-10-06,Independiente,Deportivo_Riestra,3.0,1.0
2024-10-06,Talleres,Belgrano,0.0,0.0
2024-10-07,Platense,River_Plate,0.0,0.0
2024-10-07,Boca_Juniors,Argentinos,1.0,0.0
2024-10-07,Barracas_Central,Independiente_Rivadavia,1.0,1.0
2024-10-07,Banfield,Estudiantes,1.0,2.0
2024-10-07,Defensa_y_Justicia,Rosario,2.0,1.0
2024-10-08,Atlético_Tucumán,Tigre_Victoria,1.0,2.0
2024-10-18,Deportivo_Riestra,Atlético_Tucumán,2.0,0.0
2024-10-18,Sarmiento,Gimnasia_L.P.,1.0,1.0
2024-10-18,Central_Córdoba_SdE,Independiente_Rivadavia,2.0,0.0
2024-10-19,Lanus,Independiente,0.0,2.0
2024-10-19,River_Plate,Velez_Sarsfield,1.0,1.0
2024-10-19,Belgrano,Platense,0.0,1.0
2024-10-19,Racing_Club,Defensa_y_Justicia,4.0,3.0
2024-10-20,Tigre_Victoria,Boca_Juniors,3.0,0.0
2024-10-20,Union_Santa_Fe,Huracán,0.0,1.0
