date,home_team,away_team,home_score,away_score
2024-09-13,BKMA,Van_Yerevan,0.0,1.0
2024-09-13,West_Armenia,Pyunik_Yerevan,1.0,3.0
2024-09-14,Gandzasar_Kapan,Ararat-Armenia,0.0,3.0
2024-09-14,Shirak_Gyumri,Urartu_Yerevan,0.0,2.0
2024-09-15,Ararat_Yerevan,Noah,2.0,1.0
2024-09-18,Alashkert_FC,Gandzasar_Kapan,2.0,2.0
2024-09-18,Urartu_Yerevan,West_Armenia,1.0,2.0
2024-09-19,Van_Yerevan,Noah,1.0,1.0
2024-09-19,Ararat-Armenia,Shirak_Gyumri,4.0,0.0
2024-09-20,Pyunik_Yerevan,BKMA,4.0,1.0
2024-09-23,Ararat_Yerevan,Van_Yerevan,0.0,3.0
2024-09-23,Shirak_Gyumri,Alashkert_FC,0.0,0.0
2024-09-24,West_Armenia,Ararat-Armenia,1.0,2.0
2024-09-24,Noah,Pyunik_Yerevan,2.0,0.0
2024-09-25,BKMA,Urartu_Yerevan,2.0,1.0
2024-09-27,Gandzasar_Kapan,Shirak_Gyumri,1.0,2.0
2024-09-28,Alashkert_FC,West_Armenia,0.0,2.0
2024-09-28,Pyunik_Yerevan,Ararat_Yerevan,3.0,0.0
2024-09-29,Ararat-Armenia,BKMA,2.0,0.0
2024-09-29,Urartu_Yerevan,Noah,2.0,1.0
2024-10-03,Ararat-Armenia,Pyunik_Yerevan,1.0,3.0
2024-10-06,Van_Yerevan,Pyunik_Yerevan,1.0,3.0
2024-10-06,Ararat_Yerevan,Urartu_Yerevan,0.0,1.0
2024-10-07,BKMA,Alashkert_FC,1.0,0.0
2024-10-07,West_Armenia,Gandzasar_Kapan,2.0,0.0
2024-10-16,Alashkert_FC,Noah,0.0,6.0
2024-10-16,Urartu_Yerevan,Van_Yerevan,3.0,1.0
2024-10-17,Shirak_Gyumri,West_Armenia,2.0,0.0
2024-10-18,Ararat-Armenia,Ararat_Yerevan,3.0,2.0
2024-10-19,Gandzasar_Kapan,BKMA,1.0,6.0
2024-10-20,Noah,Van_Yerevan,5.0,0.0
2024-10-21,West_Armenia,Urartu_Yerevan,2.0,2.0
2024-10-22,Shirak_Gyumri,Ararat-Armenia,0.0,3.0
2024-10-23,Gandzasar_Kapan,Alashkert_FC,0.0,1.0
2024-10-23,BKMA,Pyunik_Yerevan,1.0,2.0
2024-10-26,Urartu_Yerevan,Ararat_Yerevan,1.0,0.0
2024-10-27,Alashkert_FC,BKMA,2.0,0.0
2024-10-27,Gandzasar_Kapan,West_Armenia,0.0,1.0
2024-10-28,Pyunik_Yerevan,Van_Yerevan,1.0,0.0
2024-10-28,Ararat-Armenia,Noah,0.0,1.0
2024-10-31,West_Armenia,Alashkert_FC,2.0,0.0
2024-10-31,Shirak_Gyumri,Gandzasar_Kapan,0.0,0.0
2024-11-01,Noah,Urartu_Yerevan,2.0,1.0
2024-11-02,Ararat_Yerevan,Pyunik_Yerevan,0.0,2.0
2024-11-02,BKMA,Ararat-Armenia,2.0,4.0
2024-11-04,Alashkert_FC,Shirak_Gyumri,1.0,3.0
2024-11-05,Van_Yerevan,Ararat_Yerevan,4.0,0.0
2024-11-06,Ararat-Armenia,West_Armenia,3.0,0.0
2024-11-06,Urartu_Yerevan,BKMA,4.0,2.0
2024-11-07,Gandzasar_Kapan,Pyunik_Yerevan,0.0,5.0
2024-11-09,West_Armenia,Shirak_Gyumri,0.0,0.0
2024-11-10,Ararat_Yerevan,Ararat-Armenia,0.0,0.0
2024-11-10,Noah,Alashkert_FC,4.0,0.0
2024-11-11,Van_Yerevan,Urartu_Yerevan,3.0,1.0
2024-11-20,Urartu_Yerevan,Shirak_Gyumri,1.0,2.0
2024-11-20,Noah,Ararat_Yerevan,4.0,0.0
2024-11-21,Pyunik_Yerevan,West_Armenia,,
2024-11-21,Ararat-Armenia,Gandzasar_Kapan,3.0,0.0
2024-11-22,Van_Yerevan,BKMA,2.0,3.0
2024-11-24,Pyunik_Yerevan,Noah,1.0,3.0
2024-11-26,West_Armenia,Van_Yerevan,0.0,2.0
2024-11-27,Alashkert_FC,Ararat-Armenia,2.0,2.0
2024-11-27,BKMA,Ararat_Yerevan,1.0,1.0
2024-11-28,Gandzasar_Kapan,Urartu_Yerevan,0.0,4.0
2024-11-28,Shirak_Gyumri,Pyunik_Yerevan,1.0,0.0
2024-12-02,Van_Yerevan,Shirak_Gyumri,1.0,0.0
2024-12-02,Pyunik_Yerevan,Gandzasar_Kapan,,
2024-12-03,Ararat_Yerevan,West_Armenia,2.0,3.0
2024-12-03,Urartu_Yerevan,Alashkert_FC,1.0,0.0
2024-12-04,Noah,Ararat-Armenia,2.0,1.0
2025-02-24,West_Armenia,Noah,0.0,4.0
2025-02-25,Alashkert_FC,Pyunik_Yerevan,0.0,2.0
2025-02-25,Ararat-Armenia,Urartu_Yerevan,1.0,2.0
2025-03-01,Van_Yerevan,Alashkert_FC,1.0,1.0
2025-03-01,Pyunik_Yerevan,Ararat-Armenia,1.0,2.0
2025-03-02,West_Armenia,BKMA,1.0,0.0
2025-03-02,Noah,Shirak_Gyumri,4.0,0.0
