date,home_team,away_team,home_score,away_score
2024-09-14,Araz_Nahcivan,Kapaz_Ganca_FC,,
2024-09-13,Araz_Nahcivan,Kapaz_Ganca_FC,1.0,0.0
2024-09-14,Shamakhi,Sumgayet_Khazar,1.0,0.0
2024-09-14,Garabag-Azersun_Agdam,Sabail_Baku,2.0,1.0
2024-09-15,Zira_IK,Neftci_Baku,2.0,0.0
2024-09-15,Sabah_FK,Turan_Tovuz,2.0,2.0
2024-09-20,Kapaz_Ganca_FC,Shamakhi,0.0,2.0
2024-09-20,Garabag-Azersun_Agdam,Neftci_Baku,4.0,0.0
2024-09-21,Turan_Tovuz,Araz_Nahcivan,1.0,2.0
2024-09-22,Sabail_Baku,Sabah_FK,2.0,4.0
2024-09-22,Sumgayet_Khazar,Zira_IK,0.0,2.0
2024-09-27,Araz_Nahcivan,Sabail_Baku,3.0,2.0
2024-09-28,Zira_IK,Kapaz_Ganca_FC,3.0,0.0
2024-09-28,Neftci_Baku,Sumgayet_Khazar,1.0,1.0
2024-09-29,Shamakhi,Turan_Tovuz,2.0,2.0
2024-09-29,Garabag-Azersun_Agdam,Sabah_FK,3.0,2.0
2024-10-04,Kapaz_Ganca_FC,Neftci_Baku,4.0,3.0
2024-10-05,Sabail_Baku,Shamakhi,2.0,0.0
2024-10-05,Sabah_FK,Araz_Nahcivan,1.0,1.0
2024-10-06,Turan_Tovuz,Zira_IK,1.0,0.0
2024-10-06,Sumgayet_Khazar,Garabag-Azersun_Agdam,0.0,1.0
2024-10-18,Kapaz_Ganca_FC,Garabag-Azersun_Agdam,0.0,5.0
2024-10-19,Shamakhi,Araz_Nahcivan,0.0,1.0
2024-10-19,Neftci_Baku,Sabail_Baku,3.0,1.0
2024-10-20,Zira_IK,Sabah_FK,1.0,1.0
2024-10-20,Sumgayet_Khazar,Turan_Tovuz,2.0,4.0
2024-10-25,Turan_Tovuz,Kapaz_Ganca_FC,2.0,1.0
2024-10-26,Araz_Nahcivan,Zira_IK,1.0,1.0
2024-10-26,Sabail_Baku,Sumgayet_Khazar,0.0,1.0
2024-10-27,Sabah_FK,Neftci_Baku,0.0,0.0
2024-10-27,Garabag-Azersun_Agdam,Shamakhi,3.0,0.0
2024-11-01,Turan_Tovuz,Garabag-Azersun_Agdam,0.0,0.0
2024-11-01,Neftci_Baku,Araz_Nahcivan,0.0,1.0
