date,home_team,away_team,home_score,away_score
2024-09-21,Al_Riffa,Al-Najma,3.0,0.0
2024-09-21,East_Riffa,Malkiya,1.0,2.0
2024-09-21,Sitra,A'Ali,2.0,1.0
2024-09-22,Al_Ahli_Manama,Bahrain_SC,0.0,1.0
2024-09-22,Al-Muharraq,Al_Shabbab_Manama,3.0,0.0
2024-09-22,Manama,Khalidiya,0.0,5.0
2024-09-26,Bahrain_SC,East_Riffa,2.0,1.0
2024-09-26,Sitra,Manama,4.0,1.0
2024-09-27,A'Ali,Al_Shabbab_Manama,1.0,2.0
2024-09-27,Khalidiya,Al_Riffa,1.0,0.0
2024-09-27,Al-Najma,Al_Ahli_Manama,2.0,3.0
2024-09-27,Malkiya,Al-Muharraq,1.0,1.0
2024-10-02,East_Riffa,Al-Najma,2.0,4.0
2024-10-02,Manama,A'Ali,2.0,2.0
2024-10-03,Al_Shabbab_Manama,Malkiya,0.0,0.0
2024-10-20,Al-Muharraq,Bahrain_SC,7.0,2.0
2024-10-21,Sitra,Al_Ahli_Manama,3.0,1.0
2024-10-25,A'Ali,Malkiya,2.0,1.0
2024-10-26,Al-Najma,Al-Muharraq,0.0,0.0
2024-10-26,Bahrain_SC,Al_Shabbab_Manama,1.0,2.0
2024-10-27,Khalidiya,East_Riffa,2.0,1.0
2024-10-28,Manama,Al_Riffa,0.0,0.0
2024-11-01,Al-Muharraq,Khalidiya,,
2024-11-23,Al-Muharraq,Khalidiya,3.0,1.0
2024-11-23,Al_Riffa,A'Ali,3.0,0.0
2024-11-24,Al_Ahli_Manama,Manama,2.0,0.0
2024-11-24,Al_Shabbab_Manama,Al-Najma,0.0,2.0
2024-11-25,East_Riffa,Sitra,0.0,2.0
2024-12-01,Malkiya,Bahrain_SC,0.0,0.0
2024-12-07,A'Ali,Bahrain_SC,0.0,2.0
2024-12-07,Sitra,Al-Muharraq,0.0,2.0
2024-12-08,Al-Najma,Malkiya,5.0,1.0
2024-12-08,Manama,East_Riffa,1.0,0.0
2024-12-09,Khalidiya,Al_Shabbab_Manama,2.0,0.0
2024-12-09,Al_Riffa,Al_Ahli_Manama,2.0,1.0
2024-12-13,Al_Shabbab_Manama,Sitra,2.0,2.0
2024-12-13,Bahrain_SC,Al-Najma,1.0,2.0
2024-12-14,Al_Ahli_Manama,A'Ali,4.0,1.0
2024-12-14,Al-Muharraq,Manama,3.0,0.0
2024-12-15,East_Riffa,Al_Riffa,0.0,0.0
2024-12-15,Malkiya,Khalidiya,2.0,1.0
2025-01-09,Al_Ahli_Manama,East_Riffa,3.0,2.0
2025-01-09,Sitra,Malkiya,0.0,1.0
2025-01-10,Khalidiya,Bahrain_SC,3.0,0.0
2025-01-10,Al_Riffa,Al-Muharraq,2.0,0.0
2025-01-11,A'Ali,Al-Najma,1.0,3.0
2025-01-11,Manama,Al_Shabbab_Manama,0.0,2.0
2025-01-12,Al_Riffa,Sitra,,
2025-01-16,East_Riffa,A'Ali,1.0,1.0
2025-01-16,Malkiya,Manama,0.0,0.0
2025-01-17,Al-Muharraq,Al_Ahli_Manama,3.0,2.0
2025-01-17,Bahrain_SC,Sitra,2.0,2.0
2025-01-18,Al-Najma,Khalidiya,1.0,3.0
2025-01-18,Al_Shabbab_Manama,Al_Riffa,2.0,0.0
2025-02-06,Al_Ahli_Manama,Al_Shabbab_Manama,1.0,3.0
2025-02-06,A'Ali,Khalidiya,1.0,2.0
2025-02-08,Manama,Bahrain_SC,1.0,1.0
2025-02-08,Sitra,Al-Najma,0.0,0.0
2025-02-09,Al_Riffa,Malkiya,0.0,2.0
2025-02-09,East_Riffa,Al-Muharraq,0.0,3.0
2025-02-14,Al-Muharraq,A'Ali,4.0,0.0
2025-02-14,Malkiya,Al_Ahli_Manama,1.0,1.0
2025-02-15,Al-Najma,Manama,1.0,2.0
2025-02-15,Al_Shabbab_Manama,East_Riffa,1.0,1.0
2025-02-23,Khalidiya,Sitra,2.0,0.0
2025-02-23,Bahrain_SC,Al_Riffa,0.0,2.0
2025-03-04,Al_Shabbab_Manama,Al-Muharraq,1.0,2.0
2025-03-05,Malkiya,East_Riffa,0.0,0.0
2025-03-05,A'Ali,Sitra,0.0,0.0
2025-03-05,Bahrain_SC,Al_Ahli_Manama,2.0,1.0
2025-03-29,Al_Ahli_Manama,Khalidiya,1.0,1.0
2025-03-29,Al_Riffa,Sitra,1.0,3.0
2025-04-04,Al_Shabbab_Manama,A'Ali,0.0,3.0
2025-04-04,Al_Ahli_Manama,Al-Najma,1.0,0.0
2025-04-04,Al-Muharraq,Malkiya,3.0,0.0
2025-04-05,East_Riffa,Bahrain_SC,3.0,1.0
2025-04-05,Manama,Sitra,0.0,3.0
2025-04-05,Al_Riffa,Khalidiya,2.0,2.0
