date,home_team,away_team,home_score,away_score
2024-09-02,Emelec_Guayaquil,Orense,2.0,1.0
2024-09-03,Cumbaya,Imbabura_SC,1.0,2.0
2024-09-14,Orense,Universidad_Catolica_Quito,2.0,2.0
2024-09-14,Delfin_Manta,Deportivo_Cuenca,0.0,0.0
2024-09-14,Imbabura_SC,LDU_de_Quito,4.0,0.0
2024-09-15,Independiente_José_Terán,Emelec_Guayaquil,2.0,1.0
2024-09-15,El_Nacional_Quito,Cumbaya,2.0,1.0
2024-09-15,Aucas,Mushuc_Runa,1.0,2.0
2024-09-16,Barcelona,Macará,2.0,1.0
2024-09-17,Técnico_Universitario,Libertad,3.0,0.0
2024-09-21,Libertad,Independiente_José_Terán,1.0,1.0
2024-09-21,Cumbaya,Aucas,0.0,3.0
2024-09-21,LDU_de_Quito,El_Nacional_Quito,1.0,1.0
2024-09-22,Deportivo_Cuenca,Barcelona,1.0,0.0
2024-09-22,Macará,Imbabura_SC,2.0,0.0
2024-09-22,Mushuc_Runa,Orense,3.0,0.0
2024-09-23,Emelec_Guayaquil,Técnico_Universitario,3.0,1.0
2024-09-24,Universidad_Catolica_Quito,Delfin_Manta,2.0,1.0
2024-09-28,Orense,Macará,1.0,0.0
2024-09-28,Imbabura_SC,El_Nacional_Quito,1.0,0.0
2024-09-28,Independiente_José_Terán,Universidad_Catolica_Quito,5.0,2.0
2024-09-28,Cumbaya,Emelec_Guayaquil,1.0,0.0
2024-09-29,Aucas,Deportivo_Cuenca,1.0,4.0
2024-09-29,Delfin_Manta,LDU_de_Quito,3.0,2.0
2024-09-30,Barcelona,Libertad,0.0,0.0
2024-09-30,Técnico_Universitario,Mushuc_Runa,2.0,2.0
2024-10-05,Libertad,Cumbaya,2.0,1.0
2024-10-05,Mushuc_Runa,Independiente_José_Terán,1.0,1.0
2024-10-05,Deportivo_Cuenca,Técnico_Universitario,1.0,1.0
2024-10-05,El_Nacional_Quito,Barcelona,3.0,0.0
2024-10-06,Universidad_Catolica_Quito,Imbabura_SC,2.0,1.0
2024-10-06,LDU_de_Quito,Orense,2.0,0.0
2024-10-07,Emelec_Guayaquil,Aucas,0.0,0.0
2024-10-07,Macará,Delfin_Manta,0.0,2.0
2024-10-18,Cumbaya,Universidad_Catolica_Quito,1.0,1.0
2024-10-19,Orense,Libertad,1.0,0.0
2024-10-19,Mushuc_Runa,Deportivo_Cuenca,1.0,1.0
2024-10-19,Técnico_Universitario,LDU_de_Quito,1.0,2.0
2024-10-20,Independiente_José_Terán,Imbabura_SC,3.0,1.0
2024-10-20,Aucas,Macará,3.0,1.0
2024-10-20,Delfin_Manta,El_Nacional_Quito,1.0,1.0
2024-10-21,Barcelona,Emelec_Guayaquil,2.0,1.0
2024-10-25,Deportivo_Cuenca,Independiente_José_Terán,0.0,2.0
2024-10-26,Libertad,Aucas,1.0,1.0
2024-10-26,Universidad_Catolica_Quito,Emelec_Guayaquil,2.0,0.0
2024-10-27,LDU_de_Quito,Mushuc_Runa,1.0,1.0
2024-10-27,Macará,Cumbaya,1.0,1.0
2024-10-27,El_Nacional_Quito,Orense,0.0,1.0
2024-10-27,Barcelona,Delfin_Manta,4.0,0.0
2024-10-28,Imbabura_SC,Técnico_Universitario,0.0,6.0
2024-11-01,Orense,Delfin_Manta,0.0,0.0
2024-11-02,Cumbaya,Deportivo_Cuenca,1.0,0.0
2024-11-02,Libertad,Imbabura_SC,3.0,1.0
2024-11-02,Aucas,Barcelona,1.0,1.0
2024-11-03,Mushuc_Runa,Macará,2.0,1.0
2024-11-03,Independiente_José_Terán,El_Nacional_Quito,2.0,0.0
2024-11-03,Emelec_Guayaquil,LDU_de_Quito,0.0,1.0
2024-11-04,Técnico_Universitario,Universidad_Catolica_Quito,2.0,0.0
2024-11-08,Delfin_Manta,Mushuc_Runa,4.0,2.0
2024-11-09,Universidad_Catolica_Quito,Aucas,3.0,2.0
2024-11-09,Macará,Emelec_Guayaquil,1.0,1.0
2024-11-09,LDU_de_Quito,Independiente_José_Terán,2.0,1.0
2024-11-10,El_Nacional_Quito,Libertad,1.0,4.0
2024-11-10,Orense,Técnico_Universitario,0.0,2.0
2024-11-10,Barcelona,Cumbaya,8.0,1.0
2024-11-11,Imbabura_SC,Deportivo_Cuenca,0.0,2.0
2024-11-23,Cumbaya,Orense,2.0,2.0
2024-11-23,Deportivo_Cuenca,Libertad,1.0,1.0
2024-11-23,Emelec_Guayaquil,Imbabura_SC,,
2024-11-23,Técnico_Universitario,Barcelona,,
2024-11-24,Mushuc_Runa,El_Nacional_Quito,2.0,2.0
2024-11-24,Aucas,Delfin_Manta,2.0,0.0
2024-11-24,Independiente_José_Terán,Macará,7.0,0.0
2024-11-24,Universidad_Catolica_Quito,LDU_de_Quito,2.0,4.0
2024-11-24,Emelec_Guayaquil,Imbabura_SC,2.0,2.0
2024-11-24,Técnico_Universitario,Barcelona,2.0,2.0
2024-11-24,Cumbaya,Orense,2.0,2.0
2024-11-24,Deportivo_Cuenca,Libertad,1.0,1.0
2024-11-30,Macará,Universidad_Catolica_Quito,1.0,2.0
2024-11-30,Delfin_Manta,Cumbaya,6.0,4.0
2024-11-30,Imbabura_SC,Aucas,1.0,2.0
2024-11-30,Libertad,Emelec_Guayaquil,2.0,1.0
2024-12-01,Barcelona,Mushuc_Runa,2.0,2.0
2024-12-01,El_Nacional_Quito,Técnico_Universitario,2.0,1.0
2024-12-01,LDU_de_Quito,Deportivo_Cuenca,5.0,0.0
2024-12-01,Orense,Independiente_José_Terán,0.0,0.0
2024-12-07,LDU_de_Quito,Independiente_José_Terán,3.0,0.0
2024-12-14,Independiente_José_Terán,LDU_de_Quito,1.0,0.0
2025-02-15,Manta_FC,Barcelona,2.0,3.0
2025-02-15,Aucas,Técnico_Universitario,4.0,1.0
2025-02-15,Libertad,Independiente_José_Terán,2.0,0.0
2025-02-16,Macará,Orense,1.0,0.0
2025-02-16,El_Nacional_Quito,Deportivo_Cuenca,0.0,1.0
2025-02-17,Emelec_Guayaquil,Universidad_Catolica_Quito,0.0,4.0
2025-02-18,Mushuc_Runa,Delfin_Manta,2.0,0.0
2025-02-16,LDU_de_Quito,Vinotinto_de_Ecuador,0.0,0.0
2025-02-22,Deportivo_Cuenca,Aucas,2.0,0.0
2025-02-22,Vinotinto_de_Ecuador,Macará,1.0,2.0
2025-02-22,Delfin_Manta,Emelec_Guayaquil,2.0,0.0
2025-02-23,Independiente_José_Terán,LDU_de_Quito,1.0,1.0
2025-02-23,Universidad_Catolica_Quito,El_Nacional_Quito,1.0,1.0
2025-02-23,Orense,Manta_FC,2.0,1.0
