date,home_team,away_team,home_score,away_score
2024-09-02,Comunicaciones,Huehueteco_Xinabajul,1.0,2.0
2024-09-07,Marquense_CD,Cobán_Imperial_CSYD,0.0,1.0
2024-09-08,Xelaju_MC,Huehueteco_Xinabajul,2.0,0.0
2024-09-08,Malacateco_Deportivo,Guastatoya,0.0,0.0
2024-09-08,Achuapa,Zacapa_Deportivo,2.0,2.0
2024-09-11,Mixco,Xelaju_MC,1.0,0.0
2024-09-12,Comunicaciones,Achuapa,1.0,0.0
2024-09-15,Antigua_GFC,Malacateco_Deportivo,3.0,1.0
2024-09-15,Zacapa_Deportivo,Marquense_CD,0.0,0.0
2024-09-15,Guastatoya,Xelaju_MC,1.0,1.0
2024-09-16,Huehueteco_Xinabajul,Mixco,3.0,3.0
2024-09-18,Municipal,Antigua_GFC,2.0,1.0
2024-09-18,Mixco,Comunicaciones,2.0,1.0
2024-09-21,Malacateco_Deportivo,Cobán_Imperial_CSYD,1.0,0.0
2024-09-21,Mixco,Guastatoya,1.0,1.0
2024-09-22,Xelaju_MC,Antigua_GFC,4.0,1.0
2024-09-22,Marquense_CD,Comunicaciones,2.0,1.0
2024-09-22,Municipal,Zacapa_Deportivo,5.0,0.0
2024-09-22,Achuapa,Huehueteco_Xinabajul,,
2024-09-23,Achuapa,Huehueteco_Xinabajul,1.0,1.0
2024-09-28,Cobán_Imperial_CSYD,Xelaju_MC,0.0,0.0
2024-09-29,Zacapa_Deportivo,Malacateco_Deportivo,0.0,1.0
2024-09-29,Guastatoya,Achuapa,1.0,1.0
2024-09-30,Huehueteco_Xinabajul,Marquense_CD,3.0,0.0
2024-09-30,Comunicaciones,Municipal,1.0,2.0
2024-10-03,Municipal,Huehueteco_Xinabajul,4.0,3.0
2024-10-06,Xelaju_MC,Zacapa_Deportivo,4.0,0.0
2024-10-06,Marquense_CD,Guastatoya,1.0,1.0
2024-10-12,Cobán_Imperial_CSYD,Achuapa,3.0,1.0
2024-10-13,Antigua_GFC,Marquense_CD,4.0,2.0
2024-10-14,Huehueteco_Xinabajul,Malacateco_Deportivo,3.0,1.0
2024-10-14,Comunicaciones,Xelaju_MC,0.0,4.0
2024-10-19,Zacapa_Deportivo,Guastatoya,1.0,1.0
2024-10-19,Municipal,Mixco,3.0,0.0
2024-10-20,Marquense_CD,Xelaju_MC,1.0,2.0
2024-10-20,Cobán_Imperial_CSYD,Huehueteco_Xinabajul,0.0,0.0
2024-10-20,Achuapa,Malacateco_Deportivo,0.0,2.0
