date,home_team,away_team,home_score,away_score
2024-09-13,Reykjavík_KR,Vikingur_Reykjavik,0,3
2024-09-15,Akranes_IA,Akureyri_KA,1,0
2024-09-15,Fram_Reykjaík,Hafnarfjordur_FH,3,3
2024-09-15,Stjarnan_Gardabae,Vestri,1,0
2024-09-15,Breidablik,HK_Kopavogur,5,3
2024-09-16,Fylkir,Vikingur_Reykjavik,0,6
2024-09-16,Valur_Reykjavík,Reykjavík_KR,4,1
2024-09-22,Reykjavík_KR,Vestri,2,2
2024-09-22,Fram_Reykjaík,Fylkir,2,0
2024-09-23,Breidablik,Akranes_IA,2,0
2024-09-23,Valur_Reykjavík,Stjarnan_Gardabae,2,2
2024-09-25,Akureyri_KA,HK_Kopavogur,3,3
2024-09-25,Vikingur_Reykjavik,Hafnarfjordur_FH,3,0
2024-09-29,Hafnarfjordur_FH,Breidablik,0,1
2024-09-29,Reykjavík_KR,Fram_Reykjaík,7,1
2024-09-29,Vestri,HK_Kopavogur,2,1
2024-09-29,Fylkir,Akureyri_KA,1,3
2024-09-29,Valur_Reykjavík,Vikingur_Reykjavik,2,3
2024-09-30,Stjarnan_Gardabae,Akranes_IA,3,0
2024-10-05,Fram_Reykjaík,Vestri,2,4
2024-10-06,Akranes_IA,Hafnarfjordur_FH,4,1
2024-10-06,Akureyri_KA,Reykjavík_KR,0,4
2024-10-06,HK_Kopavogur,Fylkir,2,2
2024-10-06,Vikingur_Reykjavik,Stjarnan_Gardabae,2,2
2024-10-06,Breidablik,Valur_Reykjavík,2,2
2024-10-19,Akranes_IA,Vikingur_Reykjavik,3,4
2024-10-19,Hafnarfjordur_FH,Valur_Reykjavík,1,1
2024-10-19,Akureyri_KA,Vestri,2,1
2024-10-19,Breidablik,Stjarnan_Gardabae,2,1
2024-10-20,HK_Kopavogur,Fram_Reykjaík,2,1
2024-10-20,Fylkir,Reykjavík_KR,0,1
2024-10-26,Fram_Reykjaík,Akureyri_KA,1,4
2024-10-26,Vestri,Fylkir,1,3
2024-10-26,Stjarnan_Gardabae,Hafnarfjordur_FH,3,2
2024-10-26,Valur_Reykjavík,Akranes_IA,6,1
2024-10-27,Vikingur_Reykjavik,Breidablik,0,3
2024-10-26,Reykjavík_KR,HK_Kopavogur,7,0
2025-04-05,Breidablik,Afturelding,2,0
2025-04-06,Valur_Reykjavík,Vestri,1,1
2025-04-06,Akureyri_KA,Reykjavík_KR,2,2
2025-04-06,Fram_Reykjaík,Akranes_IA,0,1
2025-04-07,Vikingur_Reykjavik,Vestmannaeyar_IBV,2,0
2025-04-07,Stjarnan_Gardabae,Hafnarfjordur_FH,2,1
