date,home_team,away_team,home_score,away_score
2024-09-14,Hapoel_Haifa,Hapoel_Jerusalem,4.0,0.0
2024-09-14,Bnei_Sakhnin,Ashdod_SC,2.0,2.0
2024-09-14,Maccabi_Bnei_Raina,Maccabi_Haifa,2.0,2.0
2024-09-14,Maccabi_Tel_Aviv,Hapoel_Beer_Sheva,1.0,0.0
2024-09-15,Beitar_Jerusalem,Maccabi_Netanya,2.0,0.0
2024-09-16,Hapoel_Hadera,Maccabi_Petah-Tikva,0.0,1.0
2024-09-14,Ironi_Kiriat_Shmona,Ironi_Tiberias,2.0,0.0
2024-09-18,Maccabi_Tel_Aviv,Hapoel_Jerusalem,2.0,1.0
2024-09-21,Hapoel_Jerusalem,Maccabi_Bnei_Raina,0.0,1.0
2024-09-21,Ironi_Tiberias,Bnei_Sakhnin,1.0,0.0
2024-09-21,Maccabi_Petah-Tikva,Hapoel_Haifa,0.0,0.0
2024-09-21,Maccabi_Netanya,Ironi_Kiriat_Shmona,2.0,0.0
2024-09-21,Hapoel_Beer_Sheva,Hapoel_Hadera,2.0,1.0
2024-09-22,Ashdod_SC,Maccabi_Tel_Aviv,0.0,2.0
2024-09-23,Maccabi_Haifa,Beitar_Jerusalem,,
2024-09-28,Ironi_Kiriat_Shmona,Maccabi_Haifa,0.0,4.0
2024-09-28,Hapoel_Jerusalem,Maccabi_Petah-Tikva,4.0,1.0
2024-09-28,Maccabi_Bnei_Raina,Beitar_Jerusalem,0.0,2.0
2024-09-29,Hapoel_Beer_Sheva,Hapoel_Haifa,3.0,0.0
2024-09-29,Maccabi_Tel_Aviv,Ironi_Tiberias,1.0,1.0
2024-09-30,Hapoel_Hadera,Ashdod_SC,0.0,3.0
2024-09-30,Bnei_Sakhnin,Maccabi_Netanya,1.0,0.0
2024-10-05,Ashdod_SC,Hapoel_Haifa,0.0,1.0
2024-10-05,Maccabi_Haifa,Bnei_Sakhnin,3.0,0.0
2024-10-05,Maccabi_Petah-Tikva,Maccabi_Bnei_Raina,2.0,1.0
2024-10-05,Beitar_Jerusalem,Ironi_Kiriat_Shmona,1.0,1.0
2024-10-05,Ironi_Tiberias,Hapoel_Hadera,1.0,1.0
2024-10-06,Hapoel_Beer_Sheva,Hapoel_Jerusalem,3.0,1.0
2024-10-06,Maccabi_Netanya,Maccabi_Tel_Aviv,1.0,2.0
2024-10-19,Maccabi_Bnei_Raina,Ironi_Kiriat_Shmona,1.0,0.0
2024-10-19,Bnei_Sakhnin,Beitar_Jerusalem,,
2024-10-19,Hapoel_Haifa,Ironi_Tiberias,1.0,0.0
2024-10-19,Maccabi_Tel_Aviv,Maccabi_Haifa,2.0,0.0
2024-10-20,Hapoel_Jerusalem,Ashdod_SC,1.0,0.0
2024-10-20,Maccabi_Petah-Tikva,Hapoel_Beer_Sheva,2.0,5.0
2024-10-21,Hapoel_Hadera,Maccabi_Netanya,2.0,2.0
2024-10-22,Beitar_Jerusalem,Maccabi_Haifa,3.0,2.0
2024-10-26,Ironi_Kiriat_Shmona,Bnei_Sakhnin,2.0,1.0
2024-10-26,Ironi_Tiberias,Hapoel_Jerusalem,0.0,2.0
2024-10-26,Ashdod_SC,Maccabi_Petah-Tikva,0.0,0.0
2024-10-26,Hapoel_Beer_Sheva,Maccabi_Bnei_Raina,1.0,1.0
2024-10-28,Beitar_Jerusalem,Maccabi_Tel_Aviv,3.0,1.0
2024-10-28,Maccabi_Netanya,Hapoel_Haifa,0.0,3.0
2024-10-28,Maccabi_Haifa,Hapoel_Hadera,4.0,2.0
2024-11-02,Hapoel_Jerusalem,Maccabi_Netanya,2.0,3.0
2024-11-02,Maccabi_Tel_Aviv,Ironi_Kiriat_Shmona,0.0,1.0
2024-11-02,Maccabi_Bnei_Raina,Bnei_Sakhnin,0.0,1.0
2024-11-02,Maccabi_Petah-Tikva,Ironi_Tiberias,0.0,0.0
2024-11-02,Hapoel_Hadera,Beitar_Jerusalem,0.0,4.0
2024-11-03,Hapoel_Beer_Sheva,Ashdod_SC,3.0,1.0
2024-11-04,Hapoel_Haifa,Maccabi_Haifa,1.0,4.0
2024-11-05,Bnei_Sakhnin,Beitar_Jerusalem,2.0,1.0
2024-11-08,Hapoel_Jerusalem,Maccabi_Haifa,0.0,0.0
2024-11-09,Beitar_Jerusalem,Hapoel_Haifa,1.0,0.0
2024-11-09,Ironi_Tiberias,Hapoel_Beer_Sheva,0.0,2.0
2024-11-09,Ashdod_SC,Maccabi_Bnei_Raina,1.0,2.0
2024-11-09,Ironi_Kiriat_Shmona,Hapoel_Hadera,1.0,1.0
2024-11-10,Maccabi_Netanya,Maccabi_Petah-Tikva,1.0,2.0
2024-11-10,Bnei_Sakhnin,Maccabi_Tel_Aviv,0.0,4.0
2024-11-29,Ironi_Kiriat_Shmona,Hapoel_Haifa,2.0,1.0
2024-11-30,Maccabi_Petah-Tikva,Maccabi_Haifa,1.0,2.0
2024-11-30,Hapoel_Hadera,Bnei_Sakhnin,0.0,0.0
2024-11-30,Ashdod_SC,Ironi_Tiberias,1.0,0.0
2024-11-30,Hapoel_Beer_Sheva,Maccabi_Netanya,1.0,0.0
2024-12-01,Hapoel_Jerusalem,Beitar_Jerusalem,3.0,3.0
2024-12-02,Maccabi_Bnei_Raina,Maccabi_Tel_Aviv,1.0,2.0
2024-12-03,Bnei_Sakhnin,Hapoel_Haifa,0.0,2.0
2024-12-03,Maccabi_Netanya,Ashdod_SC,2.0,2.0
2024-12-04,Maccabi_Haifa,Hapoel_Beer_Sheva,0.0,2.0
2024-12-04,Ironi_Kiriat_Shmona,Hapoel_Jerusalem,2.0,0.0
2024-12-04,Beitar_Jerusalem,Maccabi_Petah-Tikva,5.0,0.0
2024-12-05,Maccabi_Bnei_Raina,Ironi_Tiberias,1.0,0.0
2024-12-05,Maccabi_Tel_Aviv,Hapoel_Hadera,2.0,2.0
2024-12-07,Maccabi_Petah-Tikva,Ironi_Kiriat_Shmona,0.0,1.0
2024-12-07,Ashdod_SC,Maccabi_Haifa,1.0,3.0
2024-12-08,Hapoel_Jerusalem,Bnei_Sakhnin,1.0,0.0
2024-12-08,Hapoel_Haifa,Maccabi_Tel_Aviv,1.0,1.0
2024-12-09,Hapoel_Hadera,Maccabi_Bnei_Raina,2.0,1.0
2024-12-09,Ironi_Tiberias,Maccabi_Netanya,2.0,3.0
2024-12-09,Hapoel_Beer_Sheva,Beitar_Jerusalem,4.0,1.0
2024-12-14,Maccabi_Netanya,Maccabi_Bnei_Raina,2.0,0.0
2024-12-14,Hapoel_Beer_Sheva,Ironi_Kiriat_Shmona,5.0,1.0
2024-12-14,Hapoel_Haifa,Hapoel_Hadera,3.0,0.0
2024-12-14,Maccabi_Petah-Tikva,Bnei_Sakhnin,1.0,1.0
2024-12-14,Ashdod_SC,Beitar_Jerusalem,2.0,3.0
2024-12-15,Ironi_Tiberias,Maccabi_Haifa,0.0,0.0
2024-12-16,Hapoel_Jerusalem,Maccabi_Tel_Aviv,2.0,3.0
2024-12-21,Maccabi_Tel_Aviv,Maccabi_Petah-Tikva,3.0,2.0
2024-12-21,Maccabi_Bnei_Raina,Hapoel_Haifa,0.0,2.0
2024-12-21,Hapoel_Hadera,Hapoel_Jerusalem,1.0,1.0
2024-12-21,Bnei_Sakhnin,Hapoel_Beer_Sheva,0.0,0.0
2024-12-21,Maccabi_Haifa,Maccabi_Netanya,2.0,1.0
2024-12-22,Ironi_Kiriat_Shmona,Ashdod_SC,3.0,2.0
2024-12-23,Beitar_Jerusalem,Ironi_Tiberias,1.0,1.0
2024-12-31,Ironi_Tiberias,Ironi_Kiriat_Shmona,3.0,1.0
2024-12-31,Maccabi_Petah-Tikva,Hapoel_Hadera,0.0,0.0
2024-12-31,Ashdod_SC,Bnei_Sakhnin,3.0,5.0
2025-01-01,Hapoel_Jerusalem,Hapoel_Haifa,1.0,0.0
2025-01-01,Maccabi_Netanya,Beitar_Jerusalem,3.0,0.0
2025-01-01,Hapoel_Beer_Sheva,Maccabi_Tel_Aviv,2.0,2.0
2025-01-02,Maccabi_Haifa,Maccabi_Bnei_Raina,2.0,0.0
2025-01-04,Hapoel_Haifa,Maccabi_Petah-Tikva,5.0,1.0
2025-01-04,Maccabi_Tel_Aviv,Ashdod_SC,5.0,1.0
2025-01-04,Bnei_Sakhnin,Ironi_Tiberias,0.0,0.0
2025-01-04,Hapoel_Hadera,Hapoel_Beer_Sheva,1.0,2.0
2025-01-05,Ironi_Kiriat_Shmona,Maccabi_Netanya,0.0,1.0
2025-01-06,Maccabi_Bnei_Raina,Hapoel_Jerusalem,0.0,0.0
2025-01-06,Maccabi_Haifa,Beitar_Jerusalem,1.0,3.0
2025-01-11,Maccabi_Haifa,Ironi_Kiriat_Shmona,4.0,1.0
2025-01-11,Beitar_Jerusalem,Maccabi_Bnei_Raina,1.0,4.0
2025-01-11,Maccabi_Petah-Tikva,Hapoel_Jerusalem,2.0,0.0
2025-01-11,Maccabi_Netanya,Bnei_Sakhnin,4.0,0.0
2025-01-11,Ironi_Tiberias,Maccabi_Tel_Aviv,2.0,2.0
2025-01-12,Ashdod_SC,Hapoel_Hadera,1.0,1.0
2025-01-12,Hapoel_Haifa,Hapoel_Beer_Sheva,0.0,1.0
2025-01-18,Ironi_Kiriat_Shmona,Beitar_Jerusalem,0.0,3.0
2025-01-18,Bnei_Sakhnin,Maccabi_Haifa,1.0,1.0
2025-01-18,Maccabi_Bnei_Raina,Maccabi_Petah-Tikva,1.0,2.0
2025-01-18,Maccabi_Tel_Aviv,Maccabi_Netanya,4.0,1.0
2025-01-19,Hapoel_Jerusalem,Hapoel_Beer_Sheva,0.0,2.0
2025-01-20,Hapoel_Hadera,Ironi_Tiberias,1.0,2.0
2025-01-20,Hapoel_Haifa,Ashdod_SC,2.0,1.0
2025-01-25,Beitar_Jerusalem,Bnei_Sakhnin,1.0,0.0
2025-01-25,Ironi_Tiberias,Hapoel_Haifa,1.0,1.0
2025-01-25,Ashdod_SC,Hapoel_Jerusalem,1.0,1.0
2025-01-25,Ironi_Kiriat_Shmona,Maccabi_Bnei_Raina,0.0,0.0
2025-01-25,Hapoel_Beer_Sheva,Maccabi_Petah-Tikva,1.0,0.0
2025-01-26,Maccabi_Netanya,Hapoel_Hadera,,
2025-01-27,Maccabi_Haifa,Maccabi_Tel_Aviv,1.0,1.0
2025-02-01,Maccabi_Bnei_Raina,Hapoel_Beer_Sheva,1.0,0.0
2025-02-01,Hapoel_Jerusalem,Ironi_Tiberias,4.0,0.0
2025-02-01,Maccabi_Petah-Tikva,Ashdod_SC,2.0,2.0
2025-02-01,Bnei_Sakhnin,Ironi_Kiriat_Shmona,0.0,1.0
2025-02-01,Hapoel_Hadera,Maccabi_Haifa,1.0,3.0
2025-02-02,Hapoel_Haifa,Maccabi_Netanya,1.0,3.0
2025-02-03,Maccabi_Tel_Aviv,Beitar_Jerusalem,1.0,1.0
2025-02-08,Maccabi_Netanya,Hapoel_Jerusalem,2.0,1.0
