date,home_team,away_team,home_score,away_score
2024-09-13,Al-Gharrafa,Shamal,1,1
2024-09-13,Al-Sadd,Umm-Salal,1,3
2024-09-13,Al-Rayyan,Al-Shahaniya,4,2
2024-09-14,Al-Arabi_Doha,Khor,1,1
2024-09-14,Qatar_SC,Al_Ahli,0,1
2024-09-14,Al-Wakra,Al_Duhail,0,2
2024-09-21,Al_Duhail,Al-Sadd,5,1
2024-09-21,Khor,Shamal,1,2
2024-09-21,Umm-Salal,Al-Shahaniya,4,2
2024-09-22,Al-Rayyan,Al-Wakra,0,2
2024-09-22,Al_Ahli,Al-Arabi_Doha,3,3
2024-09-22,Qatar_SC,Al-Gharrafa,1,3
2024-09-26,Al-Arabi_Doha,Al-Rayyan,2,1
2024-09-26,Al-Sadd,Al-Gharrafa,4,2
2024-09-26,Al-Wakra,Khor,3,1
2024-09-27,Shamal,Al_Ahli,2,4
2024-09-27,Umm-Salal,Qatar_SC,2,2
2024-09-27,Al-Shahaniya,Al_Duhail,2,1
2024-10-18,Khor,Al-Rayyan,1,2
2024-10-18,Al-Gharrafa,Umm-Salal,3,1
2024-10-18,Al-Sadd,Al-Shahaniya,4,2
2024-10-19,Shamal,Al-Arabi_Doha,5,2
2024-10-19,Al_Ahli,Al_Duhail,0,1
2024-10-19,Qatar_SC,Al-Wakra,2,1
2024-10-26,Al-Shahaniya,Shamal,2,0
2024-10-26,Umm-Salal,Khor,0,0
2024-10-26,Al-Rayyan,Al_Ahli,2,2
2024-10-27,Al-Wakra,Al-Sadd,0,3
2024-10-27,Al-Arabi_Doha,Qatar_SC,4,1
2024-10-27,Al_Duhail,Al-Gharrafa,1,1
2024-10-31,Al-Gharrafa,Al-Arabi_Doha,3,1
2024-10-31,Khor,Qatar_SC,1,2
2024-10-31,Al-Sadd,Al-Rayyan,2,1
2024-11-01,Shamal,Al_Duhail,2,6
2024-11-01,Al_Ahli,Al-Shahaniya,2,1
2024-11-01,Al-Wakra,Umm-Salal,3,0
2024-11-22,Khor,Al-Sadd,2,5
2024-11-22,Al-Rayyan,Shamal,1,2
2024-11-22,Al-Gharrafa,Al-Wakra,3,1
2024-11-23,Al-Arabi_Doha,Al_Duhail,0,5
2024-11-23,Qatar_SC,Al-Shahaniya,1,3
2024-11-23,Umm-Salal,Al_Ahli,0,3
2024-12-07,Al_Ahli,Al-Sadd,2,2
2024-12-07,Al_Duhail,Khor,1,2
2024-12-07,Qatar_SC,Al-Rayyan,1,2
2024-12-08,Al-Shahaniya,Al-Gharrafa,2,4
2024-12-08,Al-Wakra,Shamal,0,3
2024-12-08,Al-Arabi_Doha,Umm-Salal,0,3
2025-01-10,Umm-Salal,Al-Rayyan,2,6
2025-01-10,Al-Arabi_Doha,Al-Shahaniya,3,1
2025-01-11,Al-Gharrafa,Khor,3,1
2025-01-11,Al_Ahli,Al-Wakra,6,3
2025-01-12,Al_Duhail,Qatar_SC,4,1
2025-01-12,Al-Sadd,Shamal,1,0
2025-01-22,Al-Shahaniya,Khor,2,1
2025-01-22,Al-Gharrafa,Al_Ahli,2,0
2025-01-23,Al-Sadd,Qatar_SC,0,1
2025-01-23,Al-Rayyan,Al_Duhail,0,0
2025-01-24,Shamal,Umm-Salal,4,0
2025-01-24,Al-Wakra,Al-Arabi_Doha,4,3
2025-01-29,Al-Rayyan,Al-Gharrafa,2,2
2025-01-29,Khor,Al_Ahli,0,1
2025-01-30,Qatar_SC,Shamal,2,1
2025-01-30,Al-Arabi_Doha,Al-Sadd,1,3
2025-01-31,Umm-Salal,Al_Duhail,1,2
2025-01-31,Al-Wakra,Al-Shahaniya,0,1
2025-02-07,Al_Ahli,Qatar_SC,0,3
2025-02-07,Al_Duhail,Al-Wakra,2,0
2025-02-07,Umm-Salal,Al-Sadd,0,1
2025-02-08,Shamal,Al-Gharrafa,1,2
2025-02-08,Khor,Al-Arabi_Doha,3,4
2025-02-08,Al-Shahaniya,Al-Rayyan,2,1
2025-02-22,Al-Gharrafa,Qatar_SC,4,2
2025-02-22,Shamal,Khor,2,0
2025-02-22,Al-Sadd,Al_Duhail,2,0
2025-02-23,Al-Arabi_Doha,Al_Ahli,4,2
2025-02-23,Al-Shahaniya,Umm-Salal,3,2
