date,home_team,away_team,home_score,away_score
2024-09-13,Khitan,Al-Yarmouk,1,1
2024-09-14,Al-Nasr,Al-Kuwait_SC,1,5
2024-09-14,Al-Tadamon,Kazma,2,1
2024-09-15,Fehayheel,Al-Arabi,0,3
2024-09-15,Al-Qadissiyah,Salmiya,0,1
2024-09-20,Al-Tadamon,Al-Nasr,1,0
2024-09-21,Salmiya,Fehayheel,2,2
2024-09-21,Kazma,Al-Qadissiyah,0,0
2024-09-22,Al-Arabi,Khitan,2,1
2024-09-22,Al-Yarmouk,Al-Kuwait_SC,1,3
2024-09-27,Al-Kuwait_SC,Al-Arabi,2,0
2024-09-28,Al-Qadissiyah,Al-Tadamon,3,1
2024-09-28,Fehayheel,Kazma,4,0
2024-09-29,Al-Nasr,Al-Yarmouk,2,2
2024-09-29,Khitan,Salmiya,1,1
2024-10-18,Al-Tadamon,Fehayheel,2,2
2024-10-19,Al-Qadissiyah,Al-Nasr,2,1
2024-10-19,Salmiya,Al-Kuwait_SC,3,4
2024-10-20,Al-Arabi,Al-Yarmouk,2,0
2024-10-20,Kazma,Khitan,2,0
2024-10-27,Salmiya,Al-Yarmouk,2,1
2024-10-27,Fehayheel,Al-Qadissiyah,1,2
2024-10-28,Khitan,Al-Tadamon,1,4
2024-10-28,Al-Kuwait_SC,Kazma,1,0
2024-11-01,Al-Qadissiyah,Khitan,2,0
2024-11-02,Al-Tadamon,Al-Kuwait_SC,0,3
2024-11-02,Al-Yarmouk,Kazma,0,2
2024-11-03,Fehayheel,Al-Nasr,3,1
2024-11-06,Salmiya,Al-Arabi,1,3
2025-01-06,Al-Nasr,Al-Arabi,0,3
2025-01-08,Fehayheel,Khitan,1,0
2025-01-09,Al-Tadamon,Al-Yarmouk,3,2
2025-01-09,Al-Qadissiyah,Al-Kuwait_SC,2,1
2025-01-10,Al-Nasr,Salmiya,1,2
2025-01-10,Kazma,Al-Arabi,0,3
2025-01-13,Al-Kuwait_SC,Fehayheel,3,0
2025-01-14,Al-Arabi,Al-Tadamon,1,0
2025-01-14,Al-Yarmouk,Al-Qadissiyah,2,2
2025-01-15,Khitan,Al-Nasr,1,1
2025-01-15,Salmiya,Kazma,3,1
2025-01-19,Al-Qadissiyah,Al-Arabi,2,4
2025-01-20,Khitan,Al-Kuwait_SC,1,2
2025-01-20,Al-Tadamon,Salmiya,0,2
2025-01-21,Fehayheel,Al-Yarmouk,4,1
2025-01-21,Al-Nasr,Kazma,1,1
2025-01-31,Al-Yarmouk,Khitan,0,0
2025-02-01,Kazma,Al-Tadamon,4,0
2025-02-01,Salmiya,Al-Qadissiyah,1,2
2025-02-02,Al-Kuwait_SC,Al-Nasr,6,0
2025-02-02,Fehayheel,Al-Arabi,1,3
2025-02-08,Al-Nasr,Al-Tadamon,0,2
2025-02-08,Fehayheel,Salmiya,2,2
2025-02-09,Khitan,Al-Arabi,0,0
2025-02-09,Al-Kuwait_SC,Al-Yarmouk,6,0
2025-02-10,Al-Qadissiyah,Kazma,3,2
2025-02-13,Al-Yarmouk,Al-Nasr,0,4
2025-02-14,Al-Tadamon,Al-Qadissiyah,0,3
2025-02-14,Kazma,Fehayheel,1,1
2025-02-15,Salmiya,Khitan,1,0
2025-02-15,Al-Arabi,Al-Kuwait_SC,0,0
2025-02-21,Al-Yarmouk,Al-Arabi,0,1
2025-02-21,Al-Kuwait_SC,Salmiya,3,1
2025-02-23,Al-Nasr,Al-Qadissiyah,3,0
2025-02-26,Al-Tadamon,Khitan,2,1
2025-02-27,Kazma,Al-Kuwait_SC,1,1
2025-02-27,Al-Arabi,Al-Nasr,2,1
2025-02-28,Al-Yarmouk,Salmiya,1,1
2025-02-28,Al-Qadissiyah,Fehayheel,2,0
2025-03-27,Al-Nasr,Fehayheel,1,3
2025-03-28,Khitan,Al-Qadissiyah,1,2
2025-03-28,Kazma,Al-Yarmouk,2,0
2025-03-29,Al-Kuwait_SC,Al-Tadamon,3,1
2025-03-29,Al-Arabi,Salmiya,1,1
2025-04-03,Al-Kuwait_SC,Al-Tadamon,3,0
2025-04-04,Al-Qadissiyah,Salmiya,2,4
2025-04-05,Al-Arabi,Fehayheel,1,1
