date,home_team,away_team,home_score,away_score
2024-09-12,Darul_Takzim,Pulau_Pinang,5.0,0.0
2024-09-13,Selangor,Kuching_FA,4.0,0.0
2024-09-14,Negeri_Sembilan,Perak,0.0,1.0
2024-09-14,Kuala_Lumpur,Kedah,5.0,0.0
2024-09-15,Sabah,Terengganu,1.0,1.0
2024-09-15,Pahang,Perbandaran_Selayang_PDRM,5.0,1.0
2024-09-20,Kedah,Pahang,2.0,2.0
2024-09-21,Perbandaran_Selayang_PDRM,Sabah,1.0,0.0
2024-09-21,Perak,Kuala_Lumpur,1.0,0.0
2024-09-22,Pulau_Pinang,Negeri_Sembilan,2.0,2.0
2024-09-22,Kelantan_United,Darul_Takzim,1.0,6.0
2024-09-27,Darul_Takzim,Kuching_FA,2.0,1.0
2024-09-27,Negeri_Sembilan,Kelantan_United,2.0,3.0
2024-09-28,Terengganu,Selangor,0.0,1.0
2024-09-28,Pahang,Perak,0.0,3.0
2024-09-29,Kuala_Lumpur,Pulau_Pinang,4.0,2.0
2024-10-04,Terengganu,Perbandaran_Selayang_PDRM,1.0,1.0
2024-10-18,Kelantan_United,Kuala_Lumpur,1.0,3.0
2024-10-19,Perak,Sabah,2.0,4.0
2024-10-19,Perbandaran_Selayang_PDRM,Selangor,1.0,1.0
2024-10-19,Kedah,Terengganu,1.0,0.0
2024-10-20,Kuching_FA,Negeri_Sembilan,1.0,1.0
2024-10-20,Pulau_Pinang,Pahang,0.0,1.0
2024-10-25,Pulau_Pinang,Sabah,0.0,4.0
2024-10-25,Kedah,Perbandaran_Selayang_PDRM,1.0,1.0
2024-10-25,Kelantan_United,Pahang,1.0,1.0
2024-10-26,Perak,Terengganu,2.0,2.0
2024-10-26,Kuching_FA,Kuala_Lumpur,3.0,1.0
2024-10-27,Selangor,Darul_Takzim,0.0,3.0
2024-10-29,Sabah,Kedah,5.0,2.0
2024-11-01,Negeri_Sembilan,Darul_Takzim,0.0,4.0
2024-11-01,Terengganu,Pulau_Pinang,1.0,0.0
2024-11-02,Pahang,Kuching_FA,,
2024-11-02,Perbandaran_Selayang_PDRM,Perak,1.0,1.0
2024-11-02,Kedah,Selangor,0.0,1.0
2024-11-03,Sabah,Kelantan_United,4.0,1.0
2024-12-04,Perak,Kedah,1.0,1.0
2024-12-04,Kelantan_United,Terengganu,1.0,2.0
2024-12-04,Kuching_FA,Sabah,1.0,2.0
2024-12-04,Pulau_Pinang,Perbandaran_Selayang_PDRM,2.0,0.0
2024-12-08,Darul_Takzim,Kuala_Lumpur,3.0,0.0
2024-12-09,Negeri_Sembilan,Selangor,0.0,4.0
2024-12-17,Kuala_Lumpur,Negeri_Sembilan,2.0,1.0
2024-12-17,Perak,Selangor,1.0,2.0
2024-12-17,Pahang,Darul_Takzim,1.0,3.0
2024-12-18,Perbandaran_Selayang_PDRM,Kelantan_United,5.0,0.0
2024-12-18,Kedah,Pulau_Pinang,1.0,0.0
2025-01-10,Kelantan_United,Kedah,0.0,1.0
2025-01-10,Negeri_Sembilan,Pahang,2.0,1.0
2025-01-11,Perbandaran_Selayang_PDRM,Kuching_FA,0.0,2.0
2025-01-11,Darul_Takzim,Sabah,4.0,0.0
2025-01-12,Selangor,Kuala_Lumpur,1.0,0.0
2025-01-12,Pulau_Pinang,Perak,3.0,3.0
2025-01-24,Kuching_FA,Kedah,0.0,0.0
2025-01-25,Negeri_Sembilan,Sabah,1.0,2.0
2025-01-25,Pulau_Pinang,Selangor,1.0,1.0
2025-01-25,Terengganu,Darul_Takzim,0.0,1.0
2025-01-26,Pahang,Kuala_Lumpur,1.0,1.0
2025-01-26,Perak,Kelantan_United,7.0,0.0
2025-02-05,Darul_Takzim,Perbandaran_Selayang_PDRM,4.0,0.0
2025-02-07,Kuching_FA,Perak,1.0,1.0
2025-02-07,Kelantan_United,Pulau_Pinang,1.0,6.0
2025-02-08,Selangor,Pahang,2.0,0.0
2025-02-09,Negeri_Sembilan,Terengganu,0.0,2.0
2025-02-14,Terengganu,Kuala_Lumpur,1.0,2.0
2025-02-16,Sabah,Pahang,2.0,2.0
2025-02-16,Pulau_Pinang,Kuching_FA,1.0,1.0
2025-02-21,Sabah,Kuala_Lumpur,1.0,1.0
2025-02-21,Terengganu,Kuching_FA,2.0,2.0
2025-02-24,Darul_Takzim,Perak,2.0,0.0
2025-02-26,Kuala_Lumpur,Perbandaran_Selayang_PDRM,2.0,1.0
2025-02-26,Negeri_Sembilan,Kedah,2.0,0.0
2025-02-27,Selangor,Sabah,0.0,0.0
2025-02-27,Pahang,Terengganu,1.0,5.0
2025-03-07,Kedah,Kuala_Lumpur,2.0,3.0
2025-03-07,Terengganu,Sabah,2.0,2.0
2025-03-08,Perbandaran_Selayang_PDRM,Pahang,1.0,3.0
2025-03-08,Perak,Negeri_Sembilan,0.0,0.0
2025-03-15,Perbandaran_Selayang_PDRM,Negeri_Sembilan,2.0,1.0
2025-03-16,Kuching_FA,Selangor,2.0,1.0
2025-03-16,Pulau_Pinang,Darul_Takzim,0.0,3.0
2025-03-29,Kedah,Darul_Takzim,1.0,6.0
2025-04-05,Selangor,Terengganu,1.0,0.0
2025-04-05,Negeri_Sembilan,Pulau_Pinang,0.0,2.0
2025-04-06,Kuala_Lumpur,Perak,1.0,2.0
2025-04-08,Sabah,Perbandaran_Selayang_PDRM,1.0,0.0
2025-04-08,Pahang,Kedah,,
