date,home_team,away_team,home_score,away_score
2024-09-20,Budapešť_MTK,Ferencváros_Budapešť,1.0,3.0
2024-09-21,Zalaegerszeg,Kecskeméti,2.0,1.0
2024-09-21,Ujpest_Budapešť,Diosgyor_VTK,0.0,0.0
2024-09-21,Nyíregyháza,Debrecen,3.0,2.0
2024-09-22,Puskas_FC,Fehervar,3.0,0.0
2024-09-22,Raba_Eto_Gyor,Paks_SE,2.0,1.0
2024-09-27,Ujpest_Budapešť,Raba_Eto_Gyor,0.0,0.0
2024-09-28,Diosgyor_VTK,Zalaegerszeg,2.0,1.0
2024-09-28,Kecskeméti,Nyíregyháza,0.0,2.0
2024-09-28,Debrecen,Budapešť_MTK,2.0,3.0
2024-09-29,Fehervar,Paks_SE,1.0,2.0
2024-09-29,Ferencváros_Budapešť,Puskas_FC,3.0,0.0
2024-10-04,Puskas_FC,Debrecen,1.0,0.0
2024-10-05,Raba_Eto_Gyor,Fehervar,3.0,1.0
2024-10-05,Budapešť_MTK,Kecskeméti,3.0,1.0
2024-10-05,Nyíregyháza,Diosgyor_VTK,0.0,2.0
2024-10-06,Zalaegerszeg,Ujpest_Budapešť,0.0,2.0
2024-10-06,Paks_SE,Ferencváros_Budapešť,3.0,1.0
2024-10-19,Debrecen,Paks_SE,0.0,5.0
2024-10-19,Diosgyor_VTK,Budapešť_MTK,0.0,2.0
2024-10-19,Ujpest_Budapešť,Nyíregyháza,1.0,0.0
2024-10-20,Kecskeméti,Puskas_FC,0.0,3.0
2024-10-20,Zalaegerszeg,Raba_Eto_Gyor,1.0,2.0
2024-10-20,Ferencváros_Budapešť,Fehervar,2.0,0.0
2024-10-26,Fehervar,Debrecen,2.0,0.0
2024-10-26,Budapešť_MTK,Ujpest_Budapešť,4.0,1.0
2024-10-26,Puskas_FC,Diosgyor_VTK,1.0,1.0
2024-10-27,Nyíregyháza,Zalaegerszeg,1.0,1.0
2024-10-27,Paks_SE,Kecskeméti,1.0,0.0
2024-10-27,Raba_Eto_Gyor,Ferencváros_Budapešť,1.0,1.0
2024-11-02,Budapešť_MTK,Zalaegerszeg,1.0,1.0
2024-11-02,Puskas_FC,Ujpest_Budapešť,1.0,1.0
2024-11-02,Fehervar,Kecskeméti,,
2024-11-02,Ferencváros_Budapešť,Debrecen,,
2024-11-02,Raba_Eto_Gyor,Nyíregyháza,1.0,1.0
2024-11-03,Paks_SE,Diosgyor_VTK,3.0,4.0
2024-11-03,Ferencváros_Budapešť,Debrecen,2.0,2.0
2024-11-03,Fehervar,Kecskeméti,6.0,1.0
2024-11-08,Nyíregyháza,Budapešť_MTK,2.0,0.0
2024-11-09,Zalaegerszeg,Puskas_FC,4.0,2.0
2024-11-09,Debrecen,Raba_Eto_Gyor,2.0,2.0
2024-11-09,Ujpest_Budapešť,Paks_SE,0.0,0.0
2024-11-10,Diosgyor_VTK,Fehervar,1.0,0.0
2024-11-10,Kecskeméti,Ferencváros_Budapešť,0.0,1.0
2024-11-23,Nyíregyháza,Puskas_FC,0.0,3.0
2024-11-23,Budapešť_MTK,Raba_Eto_Gyor,2.0,2.0
2024-11-23,Fehervar,Ujpest_Budapešť,0.0,1.0
2024-11-24,Paks_SE,Zalaegerszeg,2.0,2.0
2024-11-24,Ferencváros_Budapešť,Diosgyor_VTK,3.0,3.0
2024-11-24,Debrecen,Kecskeméti,2.0,2.0
2024-11-29,Nyíregyháza,Paks_SE,4.0,2.0
2024-11-30,Budapešť_MTK,Puskas_FC,0.0,1.0
2024-11-30,Raba_Eto_Gyor,Kecskeméti,1.0,2.0
2024-11-30,Diosgyor_VTK,Debrecen,3.0,1.0
2024-12-01,Zalaegerszeg,Fehervar,0.0,1.0
2024-12-01,Ujpest_Budapešť,Ferencváros_Budapešť,0.0,0.0
2024-12-03,Budapešť_MTK,Paks_SE,3.0,1.0
2024-12-04,Raba_Eto_Gyor,Puskas_FC,0.0,2.0
2024-12-05,Debrecen,Ferencváros_Budapešť,5.0,4.0
2024-12-07,Kecskeméti,Diosgyor_VTK,0.0,0.0
2024-12-08,Fehervar,Nyíregyháza,2.0,0.0
2024-12-07,Puskas_FC,Raba_Eto_Gyor,0.0,3.0
2024-12-07,Paks_SE,Budapešť_MTK,4.0,2.0
2024-12-08,Debrecen,Ujpest_Budapešť,1.0,2.0
2024-12-08,Ferencváros_Budapešť,Zalaegerszeg,1.0,0.0
2024-12-14,Budapešť_MTK,Fehervar,3.0,2.0
2024-12-14,Zalaegerszeg,Debrecen,2.0,1.0
