date,home_team,away_team,home_score,away_score
2024-09-02,U.N.A.M.,Tigres,1.0,3.0
2024-09-02,Santos_Laguna,Necaxa,3.0,2.0
2024-09-14,Puebla,G.B._Querétaro,2.0,1.0
2024-09-14,Atlas,Pachuca,2.0,0.0
2024-09-14,Juarez_FC,Mazatlan,1.0,0.0
2024-09-14,Tigres,Real_San_Luis,1.0,0.0
2024-09-14,Necaxa,U.N.A.M.,2.0,0.0
2024-09-15,Toluca,Tijuana_Xoloitzcuintles,4.0,0.0
2024-09-15,America,Guadalajara,1.0,0.0
2024-09-15,Leon,Cruz_Azul,1.0,2.0
2024-09-15,Santos_Laguna,Monterey,0.0,2.0
2024-09-18,Real_San_Luis,Cruz_Azul,3.0,1.0
2024-09-18,Pachuca,Toluca,2.0,2.0
2024-09-18,America,Atlas,3.0,0.0
2024-09-18,G.B._Querétaro,Tigres,1.0,0.0
2024-09-18,U.N.A.M.,Puebla,1.0,0.0
2024-09-19,Guadalajara,Leon,2.0,0.0
2024-09-19,Mazatlan,Necaxa,0.0,0.0
2024-09-19,Monterey,Juarez_FC,3.0,2.0
2024-09-21,Atlas,G.B._Querétaro,0.0,1.0
2024-09-21,Puebla,Pachuca,2.0,3.0
2024-09-22,Leon,Real_San_Luis,1.0,0.0
2024-09-22,Monterey,Mazatlan,0.0,0.0
2024-09-22,Necaxa,America,1.0,1.0
2024-09-22,Cruz_Azul,Guadalajara,1.0,0.0
2024-09-23,U.N.A.M.,Tijuana_Xoloitzcuintles,1.0,0.0
2024-09-23,Santos_Laguna,Toluca,2.0,0.0
2024-09-23,Juarez_FC,Tigres,0.0,1.0
2024-09-28,Puebla,Juarez_FC,2.0,3.0
2024-09-28,G.B._Querétaro,Necaxa,0.0,0.0
2024-09-28,Tigres,Leon,2.0,2.0
2024-09-28,Tijuana_Xoloitzcuintles,Mazatlan,1.0,0.0
2024-09-29,Toluca,Atlas,4.0,1.0
2024-09-29,Pachuca,Cruz_Azul,2.0,4.0
2024-09-29,Guadalajara,Monterey,1.0,1.0
2024-09-29,Real_San_Luis,Santos_Laguna,3.0,1.0
2024-09-30,America,U.N.A.M.,0.0,1.0
2024-10-05,Mazatlan,G.B._Querétaro,2.0,2.0
2024-10-05,Tijuana_Xoloitzcuintles,Pachuca,2.0,1.0
2024-10-06,Real_San_Luis,Monterey,1.0,0.0
2024-10-06,Tigres,Puebla,1.0,0.0
2024-10-06,Cruz_Azul,Necaxa,3.0,0.0
2024-10-06,Toluca,U.N.A.M.,1.0,1.0
2024-10-06,Guadalajara,Atlas,2.0,3.0
2024-10-06,Leon,America,1.0,1.0
2024-10-07,Santos_Laguna,Juarez_FC,0.0,2.0
2024-10-19,Atlas,Mazatlan,0.0,0.0
2024-10-19,G.B._Querétaro,Toluca,0.0,1.0
2024-10-19,Necaxa,Tijuana_Xoloitzcuintles,1.0,2.0
2024-10-19,Puebla,Cruz_Azul,1.0,2.0
2024-10-20,Pachuca,Guadalajara,0.0,2.0
2024-10-20,Juarez_FC,Leon,2.0,3.0
2024-10-20,America,Santos_Laguna,3.0,0.0
2024-10-20,Monterey,Tigres,4.0,2.0
2024-10-20,U.N.A.M.,Real_San_Luis,3.0,0.0
2024-10-23,Santos_Laguna,Pachuca,1.0,1.0
2024-10-23,Guadalajara,Necaxa,3.0,2.0
2024-10-23,Mazatlan,Tigres,2.0,0.0
2024-10-23,Toluca,Puebla,5.0,0.0
2024-10-24,Cruz_Azul,Juarez_FC,4.0,0.0
2024-10-24,Monterey,U.N.A.M.,0.0,0.0
2024-10-24,Leon,Atlas,0.0,0.0
2024-10-24,Tijuana_Xoloitzcuintles,America,2.0,2.0
2024-10-26,Santos_Laguna,Mazatlan,0.0,0.0
2024-10-26,Puebla,Guadalajara,1.0,0.0
2024-10-27,Leon,G.B._Querétaro,4.0,0.0
2024-10-27,U.N.A.M.,Cruz_Azul,0.0,2.0
2024-10-27,Tigres,Pachuca,2.0,1.0
2024-10-27,Atlas,Tijuana_Xoloitzcuintles,0.0,0.0
2024-10-28,Juarez_FC,Real_San_Luis,2.0,4.0
2024-10-28,Necaxa,Toluca,1.0,3.0
2024-10-28,America,Monterey,2.0,1.0
2024-11-02,G.B._Querétaro,Juarez_FC,1.0,2.0
2024-11-02,Mazatlan,America,0.0,5.0
2024-11-02,Tijuana_Xoloitzcuintles,Tigres,0.0,3.0
2024-11-03,Real_San_Luis,Puebla,2.0,0.0
2024-11-03,Toluca,Leon,2.0,2.0
2024-11-03,Guadalajara,U.N.A.M.,0.0,0.0
2024-11-03,Monterey,Atlas,4.0,0.0
2024-11-03,Pachuca,Necaxa,6.0,2.0
2024-11-03,Cruz_Azul,Santos_Laguna,2.0,0.0
2024-11-06,Leon,Mazatlan,0.0,0.0
2024-11-06,Santos_Laguna,Guadalajara,0.0,2.0
2024-11-06,U.N.A.M.,G.B._Querétaro,2.0,0.0
2024-11-07,America,Pachuca,2.0,1.0
2024-11-07,Necaxa,Real_San_Luis,1.0,1.0
2024-11-07,Tigres,Toluca,2.0,1.0
2024-11-07,Juarez_FC,Tijuana_Xoloitzcuintles,1.0,1.0
2024-11-07,Atlas,Cruz_Azul,2.0,2.0
2024-11-09,G.B._Querétaro,Santos_Laguna,3.0,2.0
2024-11-09,Mazatlan,U.N.A.M.,0.0,1.0
2024-11-10,Guadalajara,Real_San_Luis,0.0,1.0
2024-11-10,Pachuca,Juarez_FC,0.0,1.0
2024-11-10,Toluca,America,4.0,0.0
2024-11-10,Cruz_Azul,Tigres,1.0,1.0
2024-11-11,Necaxa,Atlas,0.0,0.0
2024-11-11,Monterey,Leon,2.0,1.0
2024-11-11,Tijuana_Xoloitzcuintles,Puebla,2.0,1.0
2024-11-22,Guadalajara,Atlas,1.0,2.0
2024-11-22,Tijuana_Xoloitzcuintles,America,2.0,3.0
2024-11-28,America,Toluca,2.0,0.0
2024-11-28,Tijuana_Xoloitzcuintles,Cruz_Azul,3.0,0.0
2024-11-29,Real_San_Luis,Tigres,3.0,0.0
2024-11-29,Monterey,U.N.A.M.,1.0,0.0
2024-12-01,Toluca,America,0.0,2.0
2024-12-01,Cruz_Azul,Tijuana_Xoloitzcuintles,3.0,0.0
2024-12-01,U.N.A.M.,Monterey,3.0,5.0
2024-12-02,Tigres,Real_San_Luis,0.0,0.0
2024-12-04,Real_San_Luis,Monterey,,
2024-12-05,Real_San_Luis,Monterey,2.0,1.0
2024-12-06,America,Cruz_Azul,0.0,0.0
2024-12-08,Real_San_Luis,Monterey,1.0,5.0
2024-12-09,Cruz_Azul,America,3.0,4.0
2024-12-13,America,Monterey,2.0,1.0
2024-12-16,Monterey,America,1.0,1.0
2025-01-11,G.B._Querétaro,America,0.0,1.0
2025-01-11,Mazatlan,Juarez_FC,1.0,1.0
2025-01-11,Tijuana_Xoloitzcuintles,Toluca,2.0,4.0
2025-01-12,Real_San_Luis,Tigres,1.0,3.0
2025-01-12,Guadalajara,Santos_Laguna,1.0,0.0
2025-01-12,Cruz_Azul,Atlas,1.0,1.0
2025-01-12,U.N.A.M.,Necaxa,2.0,1.0
2025-01-13,Monterey,Puebla,1.0,1.0
2025-01-17,America,Tijuana_Xoloitzcuintles,1.0,1.0
2025-01-18,Puebla,Real_San_Luis,1.0,2.0
2025-01-18,Tigres,Mazatlan,2.0,1.0
2025-01-18,Necaxa,Guadalajara,3.0,2.0
2025-01-19,Juarez_FC,Cruz_Azul,1.0,0.0
2025-01-19,Toluca,Monterey,1.0,1.0
2025-01-19,Atlas,Leon,1.0,2.0
2025-01-20,G.B._Querétaro,U.N.A.M.,3.0,2.0
2025-01-21,Pachuca,Santos_Laguna,2.0,1.0
2025-01-25,Real_San_Luis,Necaxa,0.0,3.0
2025-01-25,Tijuana_Xoloitzcuintles,G.B._Querétaro,2.0,1.0
2025-01-25,Mazatlan,Toluca,2.0,1.0
2025-01-26,Leon,Juarez_FC,1.0,0.0
2025-01-26,Cruz_Azul,Puebla,1.0,1.0
2025-01-26,Guadalajara,Tigres,1.0,1.0
2025-01-26,Santos_Laguna,America,1.0,4.0
2025-01-26,Monterey,Pachuca,2.0,3.0
2025-01-26,U.N.A.M.,Atlas,,
2025-01-29,America,Real_San_Luis,3.0,0.0
2025-01-29,Puebla,Mazatlan,0.0,1.0
2025-01-29,Leon,Guadalajara,2.0,1.0
2025-01-29,Tigres,Tijuana_Xoloitzcuintles,4.0,0.0
2025-01-29,Necaxa,Cruz_Azul,1.0,3.0
2025-01-30,Atlas,Monterey,3.0,3.0
2025-01-30,G.B._Querétaro,Pachuca,0.0,1.0
2025-01-30,Juarez_FC,Santos_Laguna,1.0,0.0
2025-01-30,U.N.A.M.,Toluca,1.0,1.0
2025-02-01,Mazatlan,Leon,1.0,2.0
2025-02-01,Tijuana_Xoloitzcuintles,Cruz_Azul,2.0,3.0
2025-02-02,America,Juarez_FC,4.0,0.0
2025-02-02,Guadalajara,G.B._Querétaro,1.0,1.0
2025-02-02,Pachuca,Atlas,0.0,0.0
