date,home_team,away_team,home_score,away_score
2024-09-02,UNAN_Managua,Rancho_Santana,1.0,1.0
2024-09-15,Managua,Jalapa,4.0,1.0
2024-09-15,Walter_Ferretti,Matagalpa,1.0,1.0
2024-09-15,Diriangén,Real_Estelí,1.0,0.0
2024-09-15,Sébaco,UNAN_Managua,3.0,0.0
2024-09-16,Deportivo_Ocotal,Rancho_Santana,2.0,0.0
2024-09-21,Jalapa,Walter_Ferretti,0.0,1.0
2024-09-22,Diriangén,Rancho_Santana,2.0,3.0
2024-09-22,Real_Estelí,Managua,4.0,0.0
2024-09-22,Sébaco,Deportivo_Ocotal,4.0,0.0
2024-09-23,UNAN_Managua,Matagalpa,0.0,0.0
2024-09-30,Deportivo_Ocotal,Diriangén,0.0,2.0
2024-09-30,Walter_Ferretti,Managua,1.0,1.0
2024-10-05,Matagalpa,Diriangén,4.0,4.0
2024-10-06,Rancho_Santana,Real_Estelí,1.0,3.0
2024-10-06,Deportivo_Ocotal,Managua,2.0,1.0
2024-10-06,Jalapa,UNAN_Managua,1.0,0.0
2024-10-07,Walter_Ferretti,Sébaco,2.0,0.0
2024-10-20,Rancho_Santana,Jalapa,2.0,1.0
2024-10-20,Real_Estelí,Walter_Ferretti,1.0,1.0
2024-10-20,UNAN_Managua,Diriangén,0.0,4.0
2024-10-20,Sébaco,Managua,1.0,2.0
2024-10-21,Deportivo_Ocotal,Matagalpa,0.0,1.0
2024-10-26,Jalapa,Deportivo_Ocotal,3.0,0.0
2024-10-27,UNAN_Managua,Walter_Ferretti,1.0,0.0
2024-10-27,Managua,Rancho_Santana,3.0,0.0
2024-10-27,Matagalpa,Real_Estelí,4.0,1.0
2024-10-28,Diriangén,Sébaco,3.0,0.0
2024-11-02,Jalapa,Sébaco,,
2024-11-03,Walter_Ferretti,Diriangén,0.0,2.0
2024-11-03,Managua,UNAN_Managua,2.0,1.0
2024-11-03,Matagalpa,Rancho_Santana,1.0,0.0
2024-11-04,Deportivo_Ocotal,Real_Estelí,3.0,4.0
2024-11-03,Jalapa,Sébaco,,
2024-11-04,Jalapa,Sébaco,0.0,0.0
2024-11-07,Real_Estelí,Jalapa,5.0,1.0
2024-11-07,Diriangén,Managua,2.0,1.0
2024-11-08,Sébaco,Matagalpa,1.0,3.0
2024-11-08,Rancho_Santana,UNAN_Managua,2.0,3.0
2024-11-10,Real_Estelí,Diriangén,0.0,0.0
2024-11-10,Matagalpa,Walter_Ferretti,0.0,0.0
2024-11-10,Rancho_Santana,Deportivo_Ocotal,,
2024-11-11,Rancho_Santana,Deportivo_Ocotal,1.0,1.0
2024-11-13,Jalapa,Real_Estelí,0.0,1.0
2024-11-15,Walter_Ferretti,Deportivo_Ocotal,3.0,1.0
2024-11-15,UNAN_Managua,Sébaco,2.0,1.0
2024-11-20,Walter_Ferretti,Jalapa,0.0,0.0
2024-11-21,Deportivo_Ocotal,Sébaco,0.0,3.0
2024-11-21,Managua,Real_Estelí,0.0,1.0
2024-11-21,Matagalpa,UNAN_Managua,4.0,1.0
2024-11-22,Rancho_Santana,Diriangén,0.0,6.0
2024-12-01,Walter_Ferretti,Sébaco,1.0,0.0
2024-12-01,Matagalpa,Managua,1.0,5.0
2024-12-08,Managua,Diriangén,1.0,1.0
2024-12-09,Walter_Ferretti,Real_Estelí,1.0,4.0
2024-12-15,Real_Estelí,Walter_Ferretti,1.0,1.0
2024-12-15,Diriangén,Managua,2.0,1.0
2024-12-19,Real_Estelí,Diriangén,1.0,1.0
2024-12-22,Diriangén,Real_Estelí,3.0,2.0
2025-01-19,Rancho_Santana,Real_Estelí,3.0,2.0
2025-01-19,Walter_Ferretti,Sébaco,3.0,0.0
2025-01-19,Matagalpa,Diriangén,0.0,4.0
2025-01-22,Rancho_Santana,Jalapa,4.0,0.0
2025-01-23,Real_Estelí,Walter_Ferretti,2.0,0.0
2025-01-23,UNAN_Managua,Diriangén,0.0,2.0
2025-01-25,UNAN_Managua,Walter_Ferretti,1.0,0.0
2025-01-26,Real_Estelí,Matagalpa,2.0,0.0
2025-01-26,Diriangén,Sébaco,,
2025-02-02,Sébaco,Matagalpa,1.0,1.0
2025-02-02,Walter_Ferretti,Deportivo_Ocotal,5.0,2.0
2025-02-03,Diriangén,Managua,1.0,0.0
2025-02-06,Deportivo_Ocotal,Managua,2.0,3.0
2025-02-07,Walter_Ferretti,Diriangén,0.0,2.0
2025-02-09,Matagalpa,Walter_Ferretti,0.0,1.0
2025-02-10,Rancho_Santana,Deportivo_Ocotal,3.0,1.0
2025-02-10,UNAN_Managua,Sébaco,3.0,2.0
2025-02-12,Jalapa,Managua,0.0,0.0
2025-02-13,Deportivo_Ocotal,Matagalpa,0.0,1.0
2025-02-16,Deportivo_Ocotal,UNAN_Managua,3.0,2.0
2025-02-16,Diriangén,Jalapa,4.0,1.0
2025-02-17,Managua,Matagalpa,1.0,0.0
2025-02-17,Sébaco,Real_Estelí,1.0,3.0
2025-02-17,Walter_Ferretti,Rancho_Santana,0.0,0.0
2025-02-21,Rancho_Santana,Diriangén,0.0,1.0
2025-02-24,Diriangén,Deportivo_Ocotal,5.0,0.0
2025-02-26,Matagalpa,Rancho_Santana,2.0,1.0
2025-03-02,Managua,Deportivo_Ocotal,1.0,1.0
2025-03-02,Real_Estelí,Rancho_Santana,3.0,0.0
2025-03-02,UNAN_Managua,Jalapa,1.0,0.0
2025-03-02,Sébaco,Walter_Ferretti,1.0,0.0
2025-03-03,Diriangén,Matagalpa,3.0,1.0
2025-03-08,Matagalpa,Deportivo_Ocotal,3.0,0.0
2025-03-09,Managua,Sébaco,1.0,0.0
2025-03-09,Diriangén,UNAN_Managua,0.0,2.0
2025-03-09,Jalapa,Rancho_Santana,2.0,0.0
2025-03-10,Walter_Ferretti,Real_Estelí,0.0,1.0
2025-03-12,Matagalpa,Real_Estelí,2.0,4.0
2025-03-13,Sébaco,Diriangén,1.0,1.0
2025-03-16,Deportivo_Ocotal,Jalapa,2.0,0.0
2025-03-20,Walter_Ferretti,UNAN_Managua,3.0,0.0
2025-03-23,Rancho_Santana,Matagalpa,1.0,1.0
