date,home_team,away_team,home_score,away_score
2024-09-14,Twente_Enschede,Zwolle_FC,1.0,1.0
2024-09-14,Eindhoven_PSV,NEC_Nijmegen,2.0,0.0
2024-09-14,Groningen,Feyenoord,2.0,2.0
2024-09-14,Breda_NAC,Sittard_Fortuna,1.0,0.0
2024-09-14,Alkmaar_AZ,Heerenveen,9.0,1.0
2024-09-15,Sparta_Rotterdam,Deventer,1.0,2.0
2024-09-15,Tilburg_Willem,Waalwijk_RKC,3.0,0.0
2024-09-15,Heracles,Almere_City_FC,0.0,0.0
2024-09-17,Twente_Enschede,Heerenveen,2.0,0.0
2024-09-18,Ajax_Amsterdam,Sittard_Fortuna,5.0,0.0
2024-09-20,Zwolle_FC,Alkmaar_AZ,1.0,2.0
2024-09-21,Utrecht,Tilburg_Willem,3.0,2.0
2024-09-21,Waalwijk_RKC,Sparta_Rotterdam,1.0,2.0
2024-09-21,Deventer,Ajax_Amsterdam,1.0,1.0
2024-09-21,NEC_Nijmegen,Heracles,1.0,2.0
2024-09-22,Heerenveen,Groningen,2.0,1.0
2024-09-22,Almere_City_FC,Twente_Enschede,0.0,5.0
2024-09-22,Feyenoord,Breda_NAC,2.0,0.0
2024-09-22,Sittard_Fortuna,Eindhoven_PSV,1.0,3.0
2024-09-27,Heracles,Heerenveen,2.0,1.0
2024-09-28,NEC_Nijmegen,Feyenoord,1.0,1.0
2024-09-28,Sparta_Rotterdam,Sittard_Fortuna,1.0,1.0
2024-09-28,Tilburg_Willem,Eindhoven_PSV,0.0,2.0
2024-09-29,Zwolle_FC,Almere_City_FC,1.0,0.0
2024-09-29,Twente_Enschede,Breda_NAC,1.0,0.0
2024-09-29,Groningen,Deventer,0.0,1.0
2024-09-29,Waalwijk_RKC,Ajax_Amsterdam,0.0,2.0
2024-09-29,Alkmaar_AZ,Utrecht,1.0,2.0
2024-10-04,Breda_NAC,NEC_Nijmegen,,
2024-10-04,Almere_City_FC,Tilburg_Willem,0.0,1.0
2024-10-05,Heerenveen,Zwolle_FC,,
2024-10-05,Eindhoven_PSV,Sparta_Rotterdam,2.0,1.0
2024-10-05,Utrecht,Waalwijk_RKC,3.0,2.0
