date,home_team,away_team,home_score,away_score
2024-09-28,Wellington_Phoenix_II,Eastern_Suburbs,0,2
2024-09-28,Coastal_Spirit,Wellington_Olympic,0,0
2024-09-29,Western_Suburbs,Cashmere_Technical,0,4
2024-09-29,Auckland_City,Birkenhead_United,3,1
2024-09-29,Napier_City_Rovers,Western_Springs,4,0
2024-10-05,Birkenhead_United,Western_Suburbs,3,3
2024-10-05,Western_Springs,Coastal_Spirit,6,2
2024-10-05,Wellington_Olympic,Auckland_City,0,1
2024-10-06,Eastern_Suburbs,Napier_City_Rovers,2,2
2024-10-06,Cashmere_Technical,Wellington_Phoenix_II,0,4
2024-10-12,Wellington_Olympic,Eastern_Suburbs,4,1
2024-10-12,Western_Springs,Birkenhead_United,1,3
2024-10-13,Coastal_Spirit,Western_Suburbs,5,0
2024-10-13,Auckland_City,Cashmere_Technical,1,1
2024-10-13,Napier_City_Rovers,Wellington_Phoenix_II,1,1
2024-10-19,Wellington_Phoenix_II,Coastal_Spirit,0,3
2024-10-19,Cashmere_Technical,Wellington_Olympic,2,2
2024-10-19,Birkenhead_United,Napier_City_Rovers,4,2
2024-10-20,Western_Suburbs,Auckland_City,1,2
2024-10-20,Eastern_Suburbs,Western_Springs,0,1
2024-10-26,Western_Springs,Wellington_Olympic,2,3
2024-10-27,Cashmere_Technical,Coastal_Spirit,3,3
2024-10-27,Eastern_Suburbs,Auckland_City,0,3
2024-10-27,Western_Suburbs,Napier_City_Rovers,2,4
2024-10-27,Birkenhead_United,Wellington_Phoenix_II,4,2
2024-11-02,Napier_City_Rovers,Cashmere_Technical,2,1
2024-11-02,Wellington_Olympic,Birkenhead_United,1,2
2024-11-02,Coastal_Spirit,Eastern_Suburbs,2,1
2024-11-03,Auckland_City,Western_Springs,1,2
2024-11-03,Wellington_Phoenix_II,Western_Suburbs,2,0
2024-11-08,Wellington_Olympic,Western_Suburbs,4,1
2024-11-09,Western_Springs,Cashmere_Technical,4,3
2024-11-10,Coastal_Spirit,Napier_City_Rovers,1,3
2024-11-10,Auckland_City,Wellington_Phoenix_II,3,4
2024-11-10,Eastern_Suburbs,Birkenhead_United,2,2
2024-11-16,Cashmere_Technical,Eastern_Suburbs,1,0
2024-11-17,Napier_City_Rovers,Auckland_City,0,1
2024-11-17,Western_Suburbs,Western_Springs,0,4
2024-11-17,Birkenhead_United,Coastal_Spirit,2,1
2024-11-17,Wellington_Phoenix_II,Wellington_Olympic,3,1
2024-11-23,Cashmere_Technical,Birkenhead_United,1,2
2024-11-23,Wellington_Olympic,Napier_City_Rovers,2,3
2024-11-23,Western_Springs,Wellington_Phoenix_II,5,0
2024-11-24,Auckland_City,Coastal_Spirit,5,1
2024-11-24,Eastern_Suburbs,Western_Suburbs,0,2
2024-12-01,Birkenhead_United,Auckland_City,1,2
