date,home_team,away_team,home_score,away_score
2024-09-13,Motor_Lublin,Górnik_Zabrze,1.0,0.0
2024-09-13,Katowice_GKS,Widzew_Lódz,2.0,2.0
2024-09-14,Lechia_Gdaňsk,Radomiak_Radom,1.0,0.0
2024-09-14,Cracovia_Kraków,Pogon_Szczecin,2.0,1.0
2024-09-14,Lech_Poznan,Jagiellonia_Bialystok,5.0,0.0
2024-09-15,Piast_Gliwice,Puszcza_Niepołomice,1.0,1.0
2024-09-15,Korona_Kielce,Zaglebie_Lubin,2.0,0.0
2024-09-15,Legia_Warszawa,Rakow_Czestochowa,0.0,1.0
2024-09-16,Slask_Wroclaw,Stal_Mielec,,
2024-09-20,Radomiak_Radom,Korona_Kielce,4.0,0.0
2024-09-20,Pogon_Szczecin,Legia_Warszawa,1.0,0.0
2024-09-21,Puszcza_Niepołomice,Cracovia_Kraków,1.0,2.0
2024-09-21,Jagiellonia_Bialystok,Lechia_Gdaňsk,3.0,2.0
2024-09-21,Widzew_Lódz,Piast_Gliwice,1.0,0.0
2024-09-21,Górnik_Zabrze,Katowice_GKS,3.0,0.0
2024-09-22,Stal_Mielec,Motor_Lublin,1.0,0.0
2024-09-22,Rakow_Czestochowa,Zaglebie_Lubin,5.0,1.0
2024-09-22,Lech_Poznan,Slask_Wroclaw,1.0,0.0
2024-09-25,Motor_Lublin,Jagiellonia_Bialystok,0.0,2.0
2024-09-28,Cracovia_Kraków,Stal_Mielec,,
2024-09-28,Katowice_GKS,Pogon_Szczecin,,
2024-09-28,Lechia_Gdaňsk,Widzew_Lódz,,
2024-09-28,Legia_Warszawa,Górnik_Zabrze,1.0,1.0
2024-09-28,Motor_Lublin,Slask_Wroclaw,2.0,1.0
2024-09-28,Rakow_Czestochowa,Puszcza_Niepołomice,2.0,0.0
2024-09-29,Zaglebie_Lubin,Radomiak_Radom,1.0,0.0
2024-09-29,Korona_Kielce,Lech_Poznan,2.0,3.0
2024-09-29,Piast_Gliwice,Jagiellonia_Bialystok,0.0,1.0
2024-09-27,Katowice_GKS,Pogon_Szczecin,3.0,1.0
2024-09-27,Lechia_Gdaňsk,Widzew_Lódz,1.0,1.0
2024-09-30,Cracovia_Kraków,Stal_Mielec,1.0,1.0
2024-10-04,Puszcza_Niepołomice,Katowice_GKS,0.0,6.0
2024-10-04,Widzew_Lódz,Korona_Kielce,0.0,1.0
2024-10-05,Stal_Mielec,Lechia_Gdaňsk,2.0,1.0
2024-10-05,Radomiak_Radom,Rakow_Czestochowa,0.0,2.0
2024-10-05,Górnik_Zabrze,Zaglebie_Lubin,0.0,1.0
2024-10-05,Lech_Poznan,Motor_Lublin,1.0,2.0
2024-10-06,Slask_Wroclaw,Cracovia_Kraków,2.0,4.0
2024-10-06,Pogon_Szczecin,Piast_Gliwice,1.0,0.0
2024-10-06,Jagiellonia_Bialystok,Legia_Warszawa,1.0,1.0
2024-10-19,Cracovia_Kraków,Lech_Poznan,0.0,2.0
2024-10-19,Górnik_Zabrze,Stal_Mielec,,
2024-10-19,Korona_Kielce,Piast_Gliwice,,
2024-10-19,Lechia_Gdaňsk,Legia_Warszawa,,
2024-10-19,Motor_Lublin,Widzew_Lódz,3.0,4.0
2024-10-19,Radomiak_Radom,Puszcza_Niepołomice,,
2024-10-19,Rakow_Czestochowa,Pogon_Szczecin,,
2024-10-19,Zaglebie_Lubin,Jagiellonia_Bialystok,1.0,3.0
2024-10-20,Katowice_GKS,Slask_Wroclaw,0.0,0.0
2024-10-18,Korona_Kielce,Piast_Gliwice,0.0,2.0
2024-10-18,Lechia_Gdaňsk,Legia_Warszawa,0.0,2.0
2024-10-20,Górnik_Zabrze,Stal_Mielec,3.0,1.0
2024-10-20,Rakow_Czestochowa,Pogon_Szczecin,1.0,0.0
2024-10-21,Radomiak_Radom,Puszcza_Niepołomice,2.0,0.0
2024-10-23,Slask_Wroclaw,Stal_Mielec,2.0,1.0
2024-10-21,Katowice_GKS,Slask_Wroclaw,0.0,0.0
2024-10-25,Piast_Gliwice,Lechia_Gdaňsk,3.0,3.0
2024-10-25,Pogon_Szczecin,Puszcza_Niepołomice,2.0,1.0
2024-10-26,Cracovia_Kraków,Motor_Lublin,6.0,2.0
2024-10-26,Slask_Wroclaw,Rakow_Czestochowa,0.0,0.0
2024-10-26,Lech_Poznan,Radomiak_Radom,2.0,1.0
2024-10-27,Stal_Mielec,Zaglebie_Lubin,2.0,2.0
2024-10-27,Jagiellonia_Bialystok,Korona_Kielce,3.0,1.0
2024-10-27,Widzew_Lódz,Górnik_Zabrze,0.0,2.0
2024-10-27,Legia_Warszawa,Katowice_GKS,4.0,1.0
2024-11-02,Katowice_GKS,Korona_Kielce,,
2024-11-02,Górnik_Zabrze,Jagiellonia_Bialystok,,
2024-11-02,Lechia_Gdaňsk,Cracovia_Kraków,,
2024-11-02,Legia_Warszawa,Widzew_Lódz,,
2024-11-02,Motor_Lublin,Pogon_Szczecin,4.0,2.0
2024-11-02,Puszcza_Niepołomice,Lech_Poznan,2.0,0.0
2024-11-02,Radomiak_Radom,Piast_Gliwice,,
2024-11-02,Rakow_Czestochowa,Stal_Mielec,1.0,0.0
2024-11-02,Zaglebie_Lubin,Slask_Wroclaw,,
2024-11-03,Radomiak_Radom,Piast_Gliwice,1.0,1.0
2024-11-03,Górnik_Zabrze,Jagiellonia_Bialystok,0.0,2.0
2024-11-03,Lechia_Gdaňsk,Cracovia_Kraków,1.0,2.0
2024-11-03,Legia_Warszawa,Widzew_Lódz,2.0,1.0
2024-11-04,Katowice_GKS,Korona_Kielce,1.0,2.0
2024-11-04,Zaglebie_Lubin,Slask_Wroclaw,3.0,0.0
2024-11-08,Piast_Gliwice,Motor_Lublin,2.0,3.0
2024-11-08,Pogon_Szczecin,Radomiak_Radom,0.0,1.0
2024-11-09,Korona_Kielce,Lechia_Gdaňsk,0.0,0.0
