date,home_team,away_team,home_score,away_score
2024-09-13,Arouca,Sporting_Lisabon,0.0,3.0
2024-09-14,Casa_Pia,Moreirense,3.0,1.0
2024-09-14,AVS_Vila_das_Aves,Rio_Ave,1.0,0.0
2024-09-14,Benfica_Lisabon,Santa_Clara,4.0,1.0
2024-09-14,Famalicao,Gil_Vicente,1.0,1.0
2024-09-15,Porto_FC,Farense,2.0,1.0
2024-09-15,Estoril,Nacional,1.0,0.0
2024-09-15,Braga,Guimaraes,0.0,2.0
2024-09-16,Amadora,Boavista_Porto,2.0,2.0
2024-09-20,Nacional,Braga,0.0,3.0
2024-09-21,Rio_Ave,Estoril,2.0,2.0
2024-09-21,Santa_Clara,Amadora,1.0,0.0
2024-09-21,Guimaraes,Porto_FC,0.0,3.0
2024-09-21,Moreirense,Famalicao,0.0,0.0
2024-09-22,Gil_Vicente,Casa_Pia,1.0,1.0
2024-09-22,Farense,Arouca,0.0,1.0
2024-09-22,Sporting_Lisabon,AVS_Vila_das_Aves,3.0,0.0
2024-09-23,Boavista_Porto,Benfica_Lisabon,0.0,3.0
2024-09-28,Benfica_Lisabon,Gil_Vicente,5.0,1.0
2024-09-29,Famalicao,Nacional,0.0,0.0
2024-09-29,Casa_Pia,Guimaraes,,
2024-09-29,Estoril,Sporting_Lisabon,,
2024-09-29,Amadora,Moreirense,,
2024-09-29,Porto_FC,Arouca,4.0,0.0
2024-09-29,Braga,Rio_Ave,4.0,0.0
2024-09-29,Santa_Clara,Boavista_Porto,1.0,0.0
2024-09-30,AVS_Vila_das_Aves,Farense,0.0,0.0
2024-09-27,Estoril,Sporting_Lisabon,,
2024-09-28,Amadora,Moreirense,2.0,1.0
2024-09-28,Casa_Pia,Guimaraes,1.0,1.0
2024-09-28,Estoril,Sporting_Lisabon,0.0,3.0
2024-10-04,Rio_Ave,Famalicao,1.0,1.0
2024-10-05,Gil_Vicente,Amadora,3.0,0.0
2024-10-05,Moreirense,Santa_Clara,1.0,0.0
2024-10-05,Arouca,AVS_Vila_das_Aves,1.0,1.0
2024-10-05,Sporting_Lisabon,Casa_Pia,2.0,0.0
2024-10-06,Farense,Estoril,1.0,0.0
2024-10-06,Guimaraes,Boavista_Porto,2.0,2.0
2024-10-06,Nacional,Benfica_Lisabon,0.0,0.0
2024-10-06,Porto_FC,Braga,2.0,1.0
2024-10-25,Casa_Pia,Nacional,1.0,0.0
2024-10-25,Santa_Clara,Gil_Vicente,2.0,1.0
2024-10-26,Estoril,Arouca,4.0,1.0
2024-10-26,Boavista_Porto,Moreirense,0.0,2.0
2024-10-26,Famalicao,Sporting_Lisabon,0.0,3.0
2024-10-27,Braga,Farense,2.0,0.0
2024-10-27,Benfica_Lisabon,Rio_Ave,5.0,0.0
2024-10-27,Amadora,Guimaraes,2.0,2.0
2024-10-28,AVS_Vila_das_Aves,Porto_FC,0.0,5.0
2024-11-02,Rio_Ave,Casa_Pia,2.0,2.0
2024-11-02,Farense,Benfica_Lisabon,1.0,2.0
2024-11-02,Gil_Vicente,Boavista_Porto,1.0,2.0
2024-11-03,Arouca,Braga,1.0,2.0
2024-11-03,Sporting_Lisabon,Amadora,,
2024-11-03,Guimaraes,Moreirense,1.0,0.0
2024-11-03,AVS_Vila_das_Aves,Famalicao,2.0,3.0
2024-11-03,Porto_FC,Estoril,4.0,0.0
2024-11-04,Nacional,Santa_Clara,2.0,0.0
2024-11-01,Sporting_Lisabon,Amadora,5.0,1.0
2024-11-08,Moreirense,Gil_Vicente,3.0,2.0
2024-11-09,Casa_Pia,Farense,1.0,1.0
2024-11-09,Estoril,AVS_Vila_das_Aves,0.0,0.0
2024-11-09,Famalicao,Arouca,0.0,0.0
2024-11-09,Boavista_Porto,Rio_Ave,0.0,2.0
2024-11-10,Amadora,Nacional,2.0,0.0
2024-11-10,Santa_Clara,Guimaraes,1.0,0.0
2024-11-10,Braga,Sporting_Lisabon,2.0,4.0
2024-11-10,Benfica_Lisabon,Porto_FC,4.0,1.0
2024-11-29,Farense,Amadora,1.0,0.0
2024-11-30,Rio_Ave,Moreirense,3.0,2.0
2024-11-30,Nacional,Boavista_Porto,0.0,0.0
2024-11-30,Sporting_Lisabon,Santa_Clara,0.0,1.0
2024-12-01,Estoril,Famalicao,2.0,1.0
2024-12-01,Arouca,Benfica_Lisabon,0.0,2.0
2024-12-01,AVS_Vila_das_Aves,Braga,0.0,1.0
2024-12-02,Guimaraes,Gil_Vicente,4.0,0.0
2024-12-02,Porto_FC,Casa_Pia,2.0,0.0
2024-12-08,Braga,Estoril,,
2024-12-08,Moreirense,Sporting_Lisabon,,
2024-12-05,Moreirense,Sporting_Lisabon,2.0,1.0
2024-12-06,Braga,Estoril,2.0,2.0
2024-12-07,Gil_Vicente,Nacional,2.0,1.0
2024-12-07,Benfica_Lisabon,Guimaraes,1.0,0.0
2024-12-07,Santa_Clara,Rio_Ave,1.0,0.0
2024-12-07,Famalicao,Porto_FC,1.0,1.0
2024-12-08,Boavista_Porto,Farense,1.0,1.0
2024-12-08,Casa_Pia,AVS_Vila_das_Aves,1.0,1.0
2024-12-09,Amadora,Arouca,2.0,1.0
2024-12-14,Farense,Gil_Vicente,0.0,1.0
2024-12-14,Nacional,Moreirense,1.0,0.0
2024-12-14,Sporting_Lisabon,Boavista_Porto,3.0,2.0
2024-12-15,Arouca,Santa_Clara,1.0,0.0
2024-12-15,AVS_Vila_das_Aves,Benfica_Lisabon,1.0,1.0
2024-12-15,Braga,Famalicao,,
2024-12-15,Estoril,Casa_Pia,0.0,2.0
2024-12-15,Porto_FC,Amadora,,
2024-12-15,Rio_Ave,Guimaraes,,
2024-12-16,Braga,Famalicao,3.0,3.0
2024-12-16,Porto_FC,Amadora,2.0,0.0
2024-12-16,Rio_Ave,Guimaraes,2.0,2.0
2024-12-20,Casa_Pia,Arouca,3.0,1.0
2024-12-21,Famalicao,Farense,1.0,2.0
2024-12-21,Boavista_Porto,AVS_Vila_das_Aves,0.0,0.0
2024-12-21,Moreirense,Porto_FC,0.0,3.0
2024-12-22,Santa_Clara,Braga,0.0,2.0
2024-12-22,Gil_Vicente,Sporting_Lisabon,0.0,0.0
2024-12-23,Benfica_Lisabon,Estoril,3.0,0.0
2024-12-23,Guimaraes,Nacional,2.0,2.0
2024-12-23,Amadora,Rio_Ave,1.0,0.0
2024-12-27,Arouca,Gil_Vicente,1.0,1.0
2024-12-28,AVS_Vila_das_Aves,Amadora,1.0,1.0
2024-12-28,Estoril,Moreirense,2.0,2.0
2024-12-28,Porto_FC,Boavista_Porto,4.0,0.0
2024-12-29,Rio_Ave,Nacional,2.0,1.0
2024-12-29,Farense,Guimaraes,2.0,2.0
2024-12-29,Braga,Casa_Pia,1.0,2.0
2024-12-29,Sporting_Lisabon,Benfica_Lisabon,1.0,0.0
2024-12-30,Famalicao,Santa_Clara,1.0,2.0
2025-01-03,Nacional,Porto_FC,,
2025-01-03,Guimaraes,Sporting_Lisabon,4.0,4.0
2025-01-04,Moreirense,AVS_Vila_das_Aves,1.0,1.0
2025-01-04,Benfica_Lisabon,Braga,1.0,2.0
2025-01-04,Boavista_Porto,Arouca,1.0,3.0
2025-01-05,Santa_Clara,Farense,0.0,0.0
2025-01-05,Casa_Pia,Famalicao,1.0,1.0
2025-01-05,Amadora,Estoril,2.0,4.0
2025-01-06,Gil_Vicente,Rio_Ave,1.0,1.0
2025-01-12,Nacional,Porto_FC,2.0,0.0
2025-01-17,Benfica_Lisabon,Famalicao,4.0,0.0
2025-01-18,Santa_Clara,Estoril,2.0,3.0
2025-01-18,Rio_Ave,Sporting_Lisabon,0.0,3.0
2025-01-18,Guimaraes,Arouca,2.0,2.0
2025-01-19,Moreirense,Farense,0.0,0.0
2025-01-19,Nacional,AVS_Vila_das_Aves,3.0,1.0
2025-01-19,Amadora,Braga,0.0,1.0
2025-01-19,Gil_Vicente,Porto_FC,3.0,1.0
2025-01-20,Boavista_Porto,Casa_Pia,2.0,3.0
2025-01-24,Arouca,Moreirense,1.0,0.0
2025-01-25,Famalicao,Amadora,0.0,0.0
2025-01-25,Farense,Rio_Ave,1.0,2.0
2025-01-25,Casa_Pia,Benfica_Lisabon,3.0,1.0
2025-01-25,Sporting_Lisabon,Nacional,2.0,0.0
2025-01-26,Estoril,Guimaraes,1.0,0.0
2025-01-26,Porto_FC,Santa_Clara,,
2025-01-26,Braga,Boavista_Porto,,
2025-01-27,AVS_Vila_das_Aves,Gil_Vicente,1.0,0.0
2025-01-31,Boavista_Porto,Famalicao,0.0,2.0
2025-02-01,Nacional,Arouca,1.0,2.0
2025-02-01,Santa_Clara,Casa_Pia,2.0,1.0
2025-02-01,Gil_Vicente,Estoril,1.0,2.0
2025-02-01,Guimaraes,AVS_Vila_das_Aves,2.0,0.0
2025-02-02,Sporting_Lisabon,Farense,3.0,1.0
2025-02-02,Amadora,Benfica_Lisabon,2.0,3.0
2025-02-03,Moreirense,Braga,1.0,2.0
2025-02-03,Rio_Ave,Porto_FC,2.0,2.0
2025-02-09,AVS_Vila_das_Aves,Santa_Clara,,
2025-02-09,Casa_Pia,Amadora,1.0,0.0
2025-02-09,Estoril,Boavista_Porto,2.0,1.0
2025-02-09,Famalicao,Guimaraes,,
2025-02-09,Farense,Nacional,0.0,2.0
2025-02-07,Porto_FC,Sporting_Lisabon,1.0,1.0
2025-02-08,AVS_Vila_das_Aves,Santa_Clara,1.0,2.0
2025-02-08,Benfica_Lisabon,Moreirense,3.0,2.0
2025-02-08,Famalicao,Guimaraes,0.0,0.0
2025-02-09,Braga,Gil_Vicente,2.0,0.0
2025-02-10,Arouca,Rio_Ave,1.0,1.0
2025-02-15,Moreirense,Casa_Pia,3.0,2.0
2025-02-15,Nacional,Estoril,2.0,2.0
2025-02-15,Santa_Clara,Benfica_Lisabon,0.0,1.0
2025-02-15,Sporting_Lisabon,Arouca,2.0,2.0
2025-02-16,Rio_Ave,AVS_Vila_das_Aves,1.0,1.0
2025-02-16,Boavista_Porto,Amadora,,
2025-02-16,Gil_Vicente,Famalicao,,
2025-02-16,Farense,Porto_FC,0.0,1.0
2025-02-16,Guimaraes,Braga,0.0,0.0
2025-02-14,Boavista_Porto,Amadora,0.0,1.0
2025-02-17,Gil_Vicente,Famalicao,0.0,2.0
2025-02-21,Braga,Nacional,1.0,0.0
2025-02-22,Casa_Pia,Gil_Vicente,1.0,0.0
2025-02-22,Benfica_Lisabon,Boavista_Porto,3.0,0.0
2025-02-22,Estoril,Rio_Ave,2.0,1.0
2025-02-23,Arouca,Farense,2.0,2.0
2025-02-23,Amadora,Santa_Clara,0.0,0.0
