date,home_team,away_team,home_score,away_score
2024-09-14,Salzburg_RB,Austria_Klagenfurt,,
2024-09-14,Wolfsberger_AC,Rapid_Wien,1.0,1.0
2024-09-14,Blau-Weiss_Linz,LASK_Linz,1.0,0.0
2024-09-15,Grazer_AK,Rheindorf_Altach_SC,1.0,1.0
2024-09-15,Hartberg_TSV,Wattens,,
2024-09-15,Austria_Wien,Sturm_Graz,,
2024-09-21,Austria_Klagenfurt,Hartberg_TSV,2.0,2.0
2024-09-21,Rheindorf_Altach_SC,Blau-Weiss_Linz,0.0,1.0
2024-09-21,LASK_Linz,Grazer_AK,4.0,2.0
2024-09-22,Sturm_Graz,Wolfsberger_AC,0.0,3.0
2024-09-22,Wattens,Salzburg_RB,0.0,0.0
2024-09-22,Rapid_Wien,Austria_Wien,2.0,1.0
2024-09-25,Austria_Wien,Sturm_Graz,2.0,2.0
2024-09-26,Hartberg_TSV,Wattens,1.0,0.0
2024-09-28,Blau-Weiss_Linz,Sturm_Graz,1.0,2.0
2024-09-28,Rapid_Wien,LASK_Linz,1.0,1.0
2024-09-28,Salzburg_RB,Austria_Wien,2.0,0.0
2024-09-29,Hartberg_TSV,Rheindorf_Altach_SC,2.0,0.0
2024-09-29,Wolfsberger_AC,Wattens,1.0,3.0
2024-09-29,Grazer_AK,Austria_Klagenfurt,0.0,1.0
2024-10-05,Austria_Wien,Grazer_AK,2.0,1.0
2024-10-05,Wattens,Blau-Weiss_Linz,1.0,1.0
2024-10-05,Wolfsberger_AC,Hartberg_TSV,2.0,3.0
2024-10-06,Rheindorf_Altach_SC,Rapid_Wien,0.0,1.0
2024-10-06,LASK_Linz,Austria_Klagenfurt,4.0,0.0
2024-10-06,Sturm_Graz,Salzburg_RB,5.0,0.0
2024-10-19,Blau-Weiss_Linz,Wolfsberger_AC,0.0,1.0
2024-10-19,Salzburg_RB,Rheindorf_Altach_SC,2.0,1.0
2024-10-19,Sturm_Graz,Grazer_AK,5.0,2.0
2024-10-20,Austria_Klagenfurt,Austria_Wien,0.0,1.0
2024-10-20,Wattens,LASK_Linz,1.0,2.0
2024-10-20,Rapid_Wien,Hartberg_TSV,2.0,1.0
2024-10-26,Rheindorf_Altach_SC,Austria_Klagenfurt,2.0,2.0
2024-10-26,Austria_Wien,Wattens,3.0,0.0
2024-10-26,Hartberg_TSV,Blau-Weiss_Linz,2.0,1.0
2024-10-27,Grazer_AK,Rapid_Wien,1.0,1.0
2024-10-27,Wolfsberger_AC,Salzburg_RB,0.0,0.0
2024-10-27,LASK_Linz,Sturm_Graz,1.0,2.0
2024-11-02,LASK_Linz,Hartberg_TSV,1.0,1.0
2024-11-02,Salzburg_RB,Grazer_AK,0.0,0.0
2024-11-02,Sturm_Graz,Rapid_Wien,1.0,1.0
2024-11-03,Austria_Klagenfurt,Wolfsberger_AC,2.0,1.0
2024-11-03,Wattens,Rheindorf_Altach_SC,1.0,0.0
2024-11-03,Austria_Wien,Blau-Weiss_Linz,2.0,1.0
2024-11-09,Grazer_AK,Wattens,2.0,1.0
2024-11-09,Hartberg_TSV,Sturm_Graz,1.0,2.0
2024-11-09,Wolfsberger_AC,Austria_Wien,0.0,1.0
2024-11-10,Rheindorf_Altach_SC,LASK_Linz,1.0,2.0
2024-11-10,Blau-Weiss_Linz,Salzburg_RB,2.0,0.0
2024-11-10,Rapid_Wien,Austria_Klagenfurt,2.0,0.0
2024-11-23,Salzburg_RB,LASK_Linz,1.0,2.0
2024-11-23,Sturm_Graz,Austria_Klagenfurt,7.0,0.0
2024-11-23,Wattens,Rapid_Wien,0.0,0.0
2024-11-24,Blau-Weiss_Linz,Grazer_AK,1.0,2.0
2024-11-24,Wolfsberger_AC,Rheindorf_Altach_SC,2.0,0.0
2024-11-24,Austria_Wien,Hartberg_TSV,1.0,0.0
2024-11-30,Rheindorf_Altach_SC,Sturm_Graz,1.0,1.0
2024-11-30,Grazer_AK,Wolfsberger_AC,3.0,4.0
2024-11-30,Hartberg_TSV,Salzburg_RB,1.0,1.0
2024-12-01,Austria_Klagenfurt,Wattens,0.0,3.0
2024-12-01,Rapid_Wien,Blau-Weiss_Linz,0.0,1.0
2024-12-01,LASK_Linz,Austria_Wien,1.0,3.0
2024-12-04,Salzburg_RB,Hartberg_TSV,4.0,0.0
2024-12-07,Salzburg_RB,Rapid_Wien,2.0,2.0
2024-12-07,Wattens,Sturm_Graz,0.0,3.0
2024-12-07,Wolfsberger_AC,LASK_Linz,2.0,1.0
2024-12-08,Blau-Weiss_Linz,Austria_Klagenfurt,2.0,1.0
2024-12-08,Grazer_AK,Hartberg_TSV,0.0,3.0
2024-12-08,Austria_Wien,Rheindorf_Altach_SC,3.0,0.0
2024-12-14,Salzburg_RB,Austria_Klagenfurt,3.0,0.0
2025-02-07,Sturm_Graz,Austria_Wien,2.0,2.0
2025-02-08,Rheindorf_Altach_SC,Grazer_AK,1.0,2.0
2025-02-08,Rapid_Wien,Wolfsberger_AC,1.0,3.0
2025-02-09,Austria_Klagenfurt,Salzburg_RB,0.0,0.0
2025-02-09,Wattens,Hartberg_TSV,0.0,0.0
2025-02-09,LASK_Linz,Blau-Weiss_Linz,0.0,0.0
2025-02-15,Blau-Weiss_Linz,Rheindorf_Altach_SC,1.0,3.0
2025-02-15,Salzburg_RB,Wattens,1.0,1.0
2025-02-15,Wolfsberger_AC,Sturm_Graz,3.0,0.0
2025-02-16,Grazer_AK,LASK_Linz,0.0,0.0
2025-02-16,Hartberg_TSV,Austria_Klagenfurt,1.0,1.0
