date,home_team,away_team,home_score,away_score
2024-09-04,Aguila,Municipal_Limeno,,
2024-09-05,Alianza,Luis_Angel_Firpo,,
2024-09-08,Isidro_Metapán,Luis_Angel_Firpo,1.0,2.0
2024-09-08,FAS_CD,Cacahuatique,1.0,0.0
2024-09-08,Fuerte_San_Francisco,Once_Deportivo,1.0,0.0
2024-09-08,Platense,Municipal_Limeno,1.0,1.0
2024-09-12,Aguila,Alianza,3.0,0.0
2024-09-14,Cacahuatique,Platense,2.0,1.0
2024-09-14,Once_Deportivo,Isidro_Metapán,1.0,2.0
2024-09-15,Alianza,FAS_CD,1.0,0.0
2024-09-15,Dragon_CD,Fuerte_San_Francisco,1.0,1.0
2024-09-15,Luis_Angel_Firpo,Aguila,1.0,0.0
2024-09-19,Fuerte_San_Francisco,Alianza,0.0,2.0
2024-09-21,Aguila,Once_Deportivo,1.0,2.0
2024-09-22,Isidro_Metapán,Dragon_CD,4.0,0.0
2024-09-22,FAS_CD,Luis_Angel_Firpo,4.0,1.0
2024-09-22,Platense,Alianza,0.0,2.0
2024-09-23,Municipal_Limeno,Cacahuatique,,
2024-09-26,Alianza,Luis_Angel_Firpo,3.0,0.0
2024-09-27,Municipal_Limeno,Cacahuatique,1.0,2.0
2024-09-28,Isidro_Metapán,Fuerte_San_Francisco,0.0,2.0
2024-09-29,FAS_CD,Once_Deportivo,,
2024-09-29,Platense,Luis_Angel_Firpo,,
2024-09-30,Municipal_Limeno,Alianza,1.0,0.0
2024-10-01,Dragon_CD,FAS_CD,1.0,0.0
2024-10-02,Luis_Angel_Firpo,Municipal_Limeno,2.0,0.0
2024-10-02,Once_Deportivo,Platense,1.0,0.0
2024-10-04,Alianza,Cacahuatique,0.0,1.0
2024-10-05,Cacahuatique,Luis_Angel_Firpo,1.0,0.0
2024-10-05,Aguila,Isidro_Metapán,1.0,4.0
2024-10-06,Municipal_Limeno,Once_Deportivo,0.0,2.0
2024-10-06,FAS_CD,Fuerte_San_Francisco,4.0,0.0
2024-10-06,Platense,Dragon_CD,0.0,3.0
2024-10-13,Isidro_Metapán,FAS_CD,2.0,1.0
2024-10-13,Once_Deportivo,Cacahuatique,1.0,0.0
2024-10-13,Dragon_CD,Municipal_Limeno,1.0,1.0
2024-10-13,Fuerte_San_Francisco,Platense,1.0,1.0
2024-10-13,Luis_Angel_Firpo,Alianza,0.0,0.0
2024-10-16,Aguila,Dragon_CD,3.0,0.0
2024-10-17,Platense,Luis_Angel_Firpo,1.0,2.0
2024-10-20,FAS_CD,Aguila,3.0,4.0
2024-10-20,Municipal_Limeno,Fuerte_San_Francisco,4.0,0.0
