date,home_team,away_team,home_score,away_score
2024-09-13,Al_Taawon_Buraidah,Al_Khaleej,2.0,0.0
2024-09-13,Dhamk,Al_Akhdoud,3.0,1.0
2024-09-13,Al_Nasr_Riyadh,Al_Ahli_Jeddah,1.0,1.0
2024-09-14,Al_Fateh,Al_Ittifaq_Dammam,1.0,2.0
2024-09-14,Al_Feiha,Al_Raed,0.0,5.0
2024-09-14,Al_Riyadh,Al_Hilal_Riyadh,0.0,3.0
2024-09-15,Al_Ittihad_Jeddah,Al_Wahda_Mecca,7.0,1.0
2024-09-15,Al_Quadisiya_Khobar,Al_Shabab_Riyadh,0.0,1.0
2024-09-15,Al_Kholood,Al_Orubah,3.0,3.0
2024-09-19,Al_Akhdoud,Al_Quadisiya_Khobar,0.0,0.0
2024-09-19,Al_Orubah,Al_Fateh,1.0,0.0
2024-09-19,Al_Wahda_Mecca,Al_Kholood,0.0,1.0
2024-09-20,Al_Khaleej,Al_Feiha,0.0,0.0
2024-09-20,Al_Ahli_Jeddah,Dhamk,4.0,2.0
2024-09-20,Al_Ittifaq_Dammam,Al_Nasr_Riyadh,0.0,3.0
2024-09-21,Al_Shabab_Riyadh,Al_Taawon_Buraidah,1.0,0.0
2024-09-21,Al_Raed,Al_Riyadh,1.0,2.0
2024-09-21,Al_Hilal_Riyadh,Al_Ittihad_Jeddah,3.0,1.0
2024-09-26,Al_Shabab_Riyadh,Al_Raed,,
2024-09-26,Al_Taawon_Buraidah,Al_Ittifaq_Dammam,,
2024-09-27,Al_Nasr_Riyadh,Al_Wahda_Mecca,2.0,0.0
2024-09-27,Al_Ittihad_Jeddah,Al_Khaleej,4.0,1.0
2024-09-27,Al_Quadisiya_Khobar,Al_Ahli_Jeddah,1.0,0.0
2024-09-28,Al_Fateh,Al_Akhdoud,2.0,4.0
2024-09-28,Al_Orubah,Dhamk,1.0,0.0
2024-09-28,Al_Kholood,Al_Hilal_Riyadh,2.0,4.0
2024-09-29,Al_Feiha,Al_Riyadh,2.0,0.0
2024-09-29,Al_Shabab_Riyadh,Al_Raed,2.0,1.0
2024-09-29,Al_Taawon_Buraidah,Al_Ittifaq_Dammam,1.0,1.0
2024-10-03,Al_Ittifaq_Dammam,Al_Raed,0.0,1.0
2024-10-03,Al_Akhdoud,Al_Ittihad_Jeddah,1.0,2.0
2024-10-03,Al_Wahda_Mecca,Al_Feiha,2.0,2.0
2024-10-04,Al_Khaleej,Al_Kholood,1.0,0.0
2024-10-04,Al_Riyadh,Al_Quadisiya_Khobar,2.0,1.0
2024-10-04,Dhamk,Al_Shabab_Riyadh,1.0,0.0
2024-10-05,Al_Nasr_Riyadh,Al_Orubah,3.0,0.0
2024-10-05,Al_Taawon_Buraidah,Al_Fateh,2.0,0.0
2024-10-05,Al_Ahli_Jeddah,Al_Hilal_Riyadh,1.0,2.0
2024-10-18,Al_Khaleej,Al_Ahli_Jeddah,0.0,3.0
2024-10-18,Al_Hilal_Riyadh,Al_Feiha,3.0,0.0
2024-10-18,Al_Shabab_Riyadh,Al_Nasr_Riyadh,1.0,2.0
2024-10-19,Al_Raed,Al_Wahda_Mecca,2.0,2.0
2024-10-19,Dhamk,Al_Taawon_Buraidah,2.0,2.0
2024-10-19,Al_Ittihad_Jeddah,Al_Quadisiya_Khobar,3.0,1.0
2024-10-20,Al_Fateh,Al_Kholood,1.0,1.0
2024-10-20,Al_Akhdoud,Al_Riyadh,0.0,1.0
2024-10-20,Al_Ittifaq_Dammam,Al_Orubah,2.0,3.0
2024-10-24,Al_Orubah,Al_Shabab_Riyadh,0.0,3.0
2024-10-24,Al_Feiha,Al_Ittifaq_Dammam,,
2024-10-24,Al_Hilal_Riyadh,Al_Taawon_Buraidah,,
2024-10-24,Al_Raed,Al_Fateh,,
2024-10-24,Al_Riyadh,Al_Ittihad_Jeddah,0.0,1.0
2024-10-24,Al_Wahda_Mecca,Al_Khaleej,1.0,3.0
2024-10-25,Al_Quadisiya_Khobar,Dhamk,2.0,1.0
2024-10-25,Al_Kholood,Al_Nasr_Riyadh,3.0,3.0
2024-10-25,Al_Ahli_Jeddah,Al_Akhdoud,1.0,1.0
2024-10-26,Al_Feiha,Al_Ittifaq_Dammam,1.0,1.0
2024-10-26,Al_Raed,Al_Fateh,2.0,1.0
2024-10-26,Al_Hilal_Riyadh,Al_Taawon_Buraidah,2.0,0.0
2024-10-31,Al_Shabab_Riyadh,Al_Wahda_Mecca,3.0,1.0
2024-10-31,Al_Akhdoud,Al_Orubah,4.0,0.0
2024-10-31,Al_Fateh,Al_Feiha,,
2024-10-31,Al_Ittihad_Jeddah,Al_Ahli_Jeddah,1.0,0.0
2024-11-01,Al_Khaleej,Al_Raed,4.0,0.0
2024-11-01,Dhamk,Al_Riyadh,2.0,2.0
2024-11-01,Al_Nasr_Riyadh,Al_Hilal_Riyadh,1.0,1.0
2024-11-02,Al_Taawon_Buraidah,Al_Kholood,1.0,1.0
2024-11-02,Al_Ittifaq_Dammam,Al_Quadisiya_Khobar,0.0,2.0
2024-11-02,Al_Fateh,Al_Feiha,1.0,1.0
2024-11-07,Al_Quadisiya_Khobar,Al_Feiha,2.0,0.0
2024-11-07,Al_Kholood,Al_Shabab_Riyadh,0.0,2.0
2024-11-07,Al_Orubah,Al_Ittihad_Jeddah,0.0,2.0
2024-11-08,Al_Hilal_Riyadh,Al_Ittifaq_Dammam,3.0,1.0
2024-11-08,Al_Ahli_Jeddah,Al_Raed,2.0,0.0
2024-11-08,Al_Riyadh,Al_Nasr_Riyadh,0.0,1.0
2024-11-09,Al_Fateh,Al_Khaleej,1.0,2.0
2024-11-09,Al_Wahda_Mecca,Dhamk,2.0,3.0
2024-11-09,Al_Taawon_Buraidah,Al_Akhdoud,1.0,0.0
2024-11-22,Al_Feiha,Al_Ahli_Jeddah,0.0,1.0
2024-11-22,Al_Akhdoud,Al_Shabab_Riyadh,1.0,1.0
2024-11-22,Al_Nasr_Riyadh,Al_Quadisiya_Khobar,1.0,2.0
2024-11-23,Al_Raed,Al_Orubah,3.0,1.0
2024-11-23,Al_Wahda_Mecca,Al_Taawon_Buraidah,1.0,0.0
2024-11-23,Al_Khaleej,Al_Hilal_Riyadh,3.0,2.0
2024-11-24,Dhamk,Al_Kholood,2.0,1.0
2024-11-24,Al_Riyadh,Al_Ittifaq_Dammam,0.0,0.0
2024-11-24,Al_Ittihad_Jeddah,Al_Fateh,2.0,0.0
2024-11-28,Al_Feiha,Al_Orubah,0.0,1.0
2024-11-28,Al_Akhdoud,Al_Kholood,1.0,2.0
2024-11-28,Al_Fateh,Al_Riyadh,1.0,2.0
2024-11-29,Al_Quadisiya_Khobar,Al_Khaleej,1.0,0.0
2024-11-29,Al_Nasr_Riyadh,Dhamk,2.0,0.0
2024-11-29,Al_Ahli_Jeddah,Al_Wahda_Mecca,1.0,0.0
2024-11-30,Al_Raed,Al_Taawon_Buraidah,0.0,1.0
2024-11-30,Al_Ittifaq_Dammam,Al_Ittihad_Jeddah,0.0,4.0
2024-11-30,Al_Shabab_Riyadh,Al_Hilal_Riyadh,1.0,2.0
2024-12-05,Dhamk,Al_Feiha,2.0,2.0
2024-12-05,Al_Wahda_Mecca,Al_Akhdoud,2.0,3.0
2024-12-05,Al_Shabab_Riyadh,Al_Fateh,2.0,2.0
2024-12-06,Al_Kholood,Al_Quadisiya_Khobar,0.0,3.0
2024-12-06,Al_Orubah,Al_Riyadh,0.0,1.0
2024-12-06,Al_Ittihad_Jeddah,Al_Nasr_Riyadh,2.0,1.0
2024-12-07,Al_Khaleej,Al_Ittifaq_Dammam,1.0,2.0
2024-12-07,Al_Hilal_Riyadh,Al_Raed,3.0,2.0
2024-12-07,Al_Taawon_Buraidah,Al_Ahli_Jeddah,2.0,4.0
2025-01-09,Al_Fateh,Al_Wahda_Mecca,1.0,2.0
2025-01-09,Al_Riyadh,Al_Khaleej,2.0,2.0
2025-01-09,Al_Nasr_Riyadh,Al_Akhdoud,3.0,1.0
2025-01-10,Al_Ittifaq_Dammam,Al_Kholood,2.0,3.0
2025-01-10,Al_Raed,Dhamk,0.0,2.0
2025-01-10,Al_Ahli_Jeddah,Al_Shabab_Riyadh,3.0,2.0
2025-01-11,Al_Orubah,Al_Hilal_Riyadh,0.0,5.0
2025-01-11,Al_Quadisiya_Khobar,Al_Taawon_Buraidah,0.0,3.0
2025-01-11,Al_Feiha,Al_Ittihad_Jeddah,1.0,1.0
2025-01-15,Al_Shabab_Riyadh,Al_Riyadh,2.0,1.0
2025-01-15,Dhamk,Al_Ittifaq_Dammam,0.0,3.0
2025-01-15,Al_Kholood,Al_Ahli_Jeddah,1.0,0.0
2025-01-16,Al_Akhdoud,Al_Feiha,1.0,2.0
2025-01-16,Al_Hilal_Riyadh,Al_Fateh,9.0,0.0
2025-01-16,Al_Ittihad_Jeddah,Al_Raed,4.0,1.0
2025-01-17,Al_Khaleej,Al_Orubah,3.0,0.0
2025-01-17,Al_Wahda_Mecca,Al_Quadisiya_Khobar,0.0,3.0
2025-01-17,Al_Taawon_Buraidah,Al_Nasr_Riyadh,1.0,1.0
2025-01-22,Al_Ittifaq_Dammam,Al_Ahli_Jeddah,,
2025-01-22,Al_Fateh,Dhamk,2.0,1.0
2025-01-22,Al_Feiha,Al_Kholood,,
2025-01-22,Al_Hilal_Riyadh,Al_Wahda_Mecca,,
2025-01-22,Al_Ittihad_Jeddah,Al_Shabab_Riyadh,2.0,1.0
2025-01-22,Al_Khaleej,Al_Nasr_Riyadh,,
2025-01-22,Al_Orubah,Al_Quadisiya_Khobar,0.0,2.0
2025-01-22,Al_Raed,Al_Akhdoud,,
2025-01-22,Al_Riyadh,Al_Taawon_Buraidah,,
2025-01-20,Al_Feiha,Al_Kholood,1.0,0.0
2025-01-20,Al_Raed,Al_Akhdoud,0.0,2.0
2025-01-20,Al_Ittifaq_Dammam,Al_Ahli_Jeddah,1.0,2.0
2025-01-21,Al_Khaleej,Al_Nasr_Riyadh,1.0,3.0
2025-01-21,Al_Riyadh,Al_Taawon_Buraidah,1.0,0.0
2025-01-21,Al_Hilal_Riyadh,Al_Wahda_Mecca,4.0,1.0
2025-01-25,Al_Kholood,Al_Raed,2.0,1.0
2025-01-25,Al_Wahda_Mecca,Al_Ittifaq_Dammam,2.0,2.0
2025-01-26,Al_Taawon_Buraidah,Al_Orubah,0.0,0.0
2025-01-26,Al_Ahli_Jeddah,Al_Riyadh,5.0,0.0
2025-01-26,Al_Nasr_Riyadh,Al_Fateh,3.0,1.0
2025-01-27,Dhamk,Al_Ittihad_Jeddah,2.0,1.0
2025-01-27,Al_Shabab_Riyadh,Al_Feiha,2.0,1.0
2025-01-27,Al_Quadisiya_Khobar,Al_Hilal_Riyadh,2.0,1.0
2025-01-30,Al_Orubah,Al_Ahli_Jeddah,0.0,2.0
2025-01-30,Al_Riyadh,Al_Wahda_Mecca,1.0,0.0
2025-01-30,Al_Raed,Al_Nasr_Riyadh,1.0,2.0
2025-01-31,Al_Feiha,Al_Taawon_Buraidah,0.0,0.0
2025-01-31,Al_Hilal_Riyadh,Al_Akhdoud,4.0,0.0
2025-01-31,Al_Ittifaq_Dammam,Al_Shabab_Riyadh,3.0,1.0
2025-02-01,Al_Khaleej,Dhamk,1.0,1.0
2025-02-01,Al_Fateh,Al_Quadisiya_Khobar,1.0,1.0
2025-02-01,Al_Ittihad_Jeddah,Al_Kholood,4.0,3.0
2025-02-06,Al_Quadisiya_Khobar,Al_Raed,2.0,0.0
2025-02-06,Al_Shabab_Riyadh,Al_Khaleej,5.0,1.0
2025-02-06,Al_Taawon_Buraidah,Al_Ittihad_Jeddah,1.0,2.0
2025-02-07,Al_Orubah,Al_Wahda_Mecca,4.0,2.0
2025-02-07,Al_Nasr_Riyadh,Al_Feiha,3.0,0.0
2025-02-07,Al_Ahli_Jeddah,Al_Fateh,2.0,0.0
2025-02-08,Al_Kholood,Al_Riyadh,3.0,2.0
2025-02-08,Al_Akhdoud,Al_Ittifaq_Dammam,0.0,2.0
2025-02-08,Dhamk,Al_Hilal_Riyadh,2.0,2.0
2025-02-13,Al_Akhdoud,Dhamk,0.0,0.0
2025-02-13,Al_Shabab_Riyadh,Al_Quadisiya_Khobar,2.0,3.0
2025-02-13,Al_Ahli_Jeddah,Al_Nasr_Riyadh,2.0,3.0
2025-02-14,Al_Orubah,Al_Kholood,2.0,0.0
2025-02-14,Al_Ittifaq_Dammam,Al_Fateh,1.0,2.0
2025-02-14,Al_Hilal_Riyadh,Al_Riyadh,1.0,1.0
2025-02-15,Al_Khaleej,Al_Taawon_Buraidah,0.0,1.0
2025-02-15,Al_Raed,Al_Feiha,0.0,2.0
2025-02-15,Al_Wahda_Mecca,Al_Ittihad_Jeddah,1.0,4.0
2025-02-20,Al_Fateh,Al_Orubah,1.0,0.0
2025-02-20,Al_Feiha,Al_Khaleej,0.0,0.0
2025-02-20,Al_Riyadh,Al_Raed,1.0,3.0
2025-02-21,Dhamk,Al_Ahli_Jeddah,0.0,2.0
2025-02-21,Al_Quadisiya_Khobar,Al_Akhdoud,2.0,0.0
2025-02-21,Al_Nasr_Riyadh,Al_Ittifaq_Dammam,2.0,3.0
2025-02-22,Al_Kholood,Al_Wahda_Mecca,1.0,0.0
2025-02-22,Al_Taawon_Buraidah,Al_Shabab_Riyadh,2.0,2.0
2025-02-22,Al_Ittihad_Jeddah,Al_Hilal_Riyadh,4.0,1.0
2025-02-24,Al_Akhdoud,Al_Fateh,1.0,3.0
2025-02-24,Dhamk,Al_Orubah,1.0,2.0
2025-02-25,Al_Raed,Al_Shabab_Riyadh,1.0,2.0
2025-02-25,Al_Hilal_Riyadh,Al_Kholood,5.0,1.0
2025-02-25,Al_Wahda_Mecca,Al_Nasr_Riyadh,0.0,2.0
2025-02-25,Al_Ahli_Jeddah,Al_Quadisiya_Khobar,4.0,1.0
2025-02-26,Al_Ittifaq_Dammam,Al_Taawon_Buraidah,1.0,0.0
2025-02-26,Al_Riyadh,Al_Feiha,0.0,0.0
2025-02-26,Al_Khaleej,Al_Ittihad_Jeddah,1.0,1.0
2025-02-28,Al_Hilal_Riyadh,Al_Ahli_Jeddah,2.0,3.0
2025-02-28,Al_Orubah,Al_Nasr_Riyadh,2.0,1.0
2025-02-28,Al_Shabab_Riyadh,Dhamk,2.0,0.0
2025-03-01,Al_Fateh,Al_Taawon_Buraidah,1.0,2.0
2025-03-01,Al_Feiha,Al_Wahda_Mecca,0.0,0.0
2025-03-01,Al_Kholood,Al_Khaleej,2.0,1.0
2025-03-02,Al_Ittihad_Jeddah,Al_Akhdoud,1.0,1.0
2025-03-02,Al_Quadisiya_Khobar,Al_Riyadh,1.0,0.0
2025-03-02,Al_Raed,Al_Ittifaq_Dammam,1.0,1.0
2025-03-06,Al_Kholood,Al_Fateh,2.0,1.0
2025-03-06,Al_Quadisiya_Khobar,Al_Ittihad_Jeddah,1.0,1.0
2025-03-06,Al_Wahda_Mecca,Al_Raed,3.0,1.0
2025-03-07,Al_Ahli_Jeddah,Al_Khaleej,2.0,2.0
2025-03-07,Al_Feiha,Al_Hilal_Riyadh,0.0,2.0
2025-03-07,Al_Nasr_Riyadh,Al_Shabab_Riyadh,2.0,2.0
2025-03-08,Al_Orubah,Al_Ittifaq_Dammam,1.0,2.0
2025-03-08,Al_Riyadh,Al_Akhdoud,1.0,0.0
2025-03-08,Al_Taawon_Buraidah,Dhamk,3.0,0.0
2025-03-13,Al_Fateh,Al_Raed,3.0,1.0
2025-03-13,Al_Ittihad_Jeddah,Al_Riyadh,2.0,1.0
2025-03-13,Al_Shabab_Riyadh,Al_Orubah,6.0,0.0
2025-03-14,Al_Khaleej,Al_Wahda_Mecca,0.0,2.0
2025-03-14,Al_Nasr_Riyadh,Al_Kholood,3.0,1.0
2025-03-14,Dhamk,Al_Quadisiya_Khobar,1.0,0.0
2025-03-15,Al_Akhdoud,Al_Ahli_Jeddah,2.0,1.0
2025-03-15,Al_Ittifaq_Dammam,Al_Feiha,0.0,2.0
2025-03-15,Al_Taawon_Buraidah,Al_Hilal_Riyadh,0.0,2.0
2025-04-04,Al_Kholood,Al_Taawon_Buraidah,0.0,2.0
2025-04-04,Al_Orubah,Al_Akhdoud,0.0,1.0
2025-04-04,Al_Hilal_Riyadh,Al_Nasr_Riyadh,1.0,3.0
2025-04-05,Al_Quadisiya_Khobar,Al_Ittifaq_Dammam,1.0,1.0
2025-04-05,Al_Riyadh,Dhamk,0.0,0.0
2025-04-05,Al_Ahli_Jeddah,Al_Ittihad_Jeddah,2.0,2.0
2025-04-06,Al_Feiha,Al_Fateh,1.0,1.0
2025-04-06,Al_Raed,Al_Khaleej,1.0,2.0
2025-04-06,Al_Wahda_Mecca,Al_Shabab_Riyadh,1.0,3.0
