date,home_team,away_team,home_score,away_score
2024-09-07,Carrick_Rangers,Portadown_FC,0.0,1.0
2024-09-07,Dungannon_Swifts,Glentoran_Belfast,1.0,0.0
2024-09-07,Glenavon_Lurgan,Loughgall,2.0,2.0
2024-09-07,Larne,Ballymena_United,0.0,1.0
2024-09-13,Portadown_FC,Dungannon_Swifts,2.0,1.0
2024-09-14,Ballymena_United,Glentoran_Belfast,1.0,0.0
2024-09-14,Coleraine_Belfast,Carrick_Rangers,3.0,1.0
2024-09-14,Crusaders_Belfast,Glenavon_Lurgan,0.0,1.0
2024-09-14,Linfield_Belfast,Larne,0.0,1.0
2024-09-14,Loughgall,Cliftonville,1.0,5.0
2024-09-17,Carrick_Rangers,Ballymena_United,1.0,4.0
2024-09-17,Cliftonville,Linfield_Belfast,0.0,0.0
2024-09-17,Dungannon_Swifts,Crusaders_Belfast,1.0,0.0
2024-09-17,Glenavon_Lurgan,Larne,0.0,0.0
2024-09-17,Glentoran_Belfast,Loughgall,2.0,0.0
2024-09-17,Portadown_FC,Coleraine_Belfast,2.0,2.0
2024-09-20,Larne,Glentoran_Belfast,2.0,0.0
2024-09-21,Crusaders_Belfast,Portadown_FC,0.0,3.0
2024-09-21,Ballymena_United,Cliftonville,3.0,2.0
2024-09-21,Coleraine_Belfast,Loughgall,2.0,0.0
2024-09-21,Glenavon_Lurgan,Dungannon_Swifts,1.0,1.0
2024-09-21,Linfield_Belfast,Carrick_Rangers,1.0,0.0
2024-09-24,Larne,Loughgall,2.0,0.0
2024-09-27,Cliftonville,Larne,1.0,3.0
2024-09-28,Coleraine_Belfast,Linfield_Belfast,0.0,3.0
2024-09-28,Dungannon_Swifts,Carrick_Rangers,4.0,0.0
2024-09-28,Glentoran_Belfast,Glenavon_Lurgan,0.0,0.0
2024-09-28,Loughgall,Crusaders_Belfast,0.0,4.0
2024-09-28,Portadown_FC,Ballymena_United,0.0,1.0
2024-10-04,Linfield_Belfast,Glentoran_Belfast,1.0,3.0
2024-10-05,Ballymena_United,Loughgall,4.0,1.0
2024-10-05,Carrick_Rangers,Cliftonville,2.0,0.0
2024-10-05,Crusaders_Belfast,Coleraine_Belfast,2.0,1.0
2024-10-05,Glenavon_Lurgan,Portadown_FC,2.0,1.0
2024-10-06,Larne,Dungannon_Swifts,0.0,3.0
2024-10-12,Crusaders_Belfast,Linfield_Belfast,2.0,3.0
2024-10-12,Glenavon_Lurgan,Ballymena_United,0.0,1.0
2024-10-12,Glentoran_Belfast,Dungannon_Swifts,2.0,0.0
2024-10-12,Portadown_FC,Loughgall,1.0,0.0
2024-10-12,Carrick_Rangers,Coleraine_Belfast,2.0,1.0
2024-10-18,Loughgall,Linfield_Belfast,1.0,3.0
2024-10-19,Cliftonville,Glenavon_Lurgan,0.0,0.0
2024-10-19,Ballymena_United,Coleraine_Belfast,0.0,1.0
2024-10-19,Dungannon_Swifts,Portadown_FC,2.0,0.0
2024-10-19,Glentoran_Belfast,Carrick_Rangers,1.0,1.0
2024-10-19,Larne,Crusaders_Belfast,1.0,1.0
2024-10-22,Cliftonville,Coleraine_Belfast,2.0,1.0
2024-10-26,Coleraine_Belfast,Glentoran_Belfast,2.0,1.0
2024-10-26,Crusaders_Belfast,Ballymena_United,1.0,0.0
