date,home_team,away_team,home_score,away_score
2024-09-13,Brunei_DPMM,Balestier_Khalsa,2,2
2024-09-14,Tampines_Rovers,Young_Lions,2,2
2024-09-14,Tanjong_Pagar_United,Lion_City_Sailors,0,6
2024-09-15,Geylang_United,Albirex_Niigata,5,1
2024-09-20,Albirex_Niigata,Tanjong_Pagar_United,4,1
2024-09-21,Young_Lions,Hougang_United,4,4
2024-09-22,Lion_City_Sailors,Balestier_Khalsa,3,1
2024-09-22,Brunei_DPMM,Tampines_Rovers,3,2
2024-09-27,Hougang_United,Brunei_DPMM,2,2
2024-09-28,Balestier_Khalsa,Albirex_Niigata,2,3
2024-09-28,Tanjong_Pagar_United,Geylang_United,2,7
2024-09-29,Tampines_Rovers,Lion_City_Sailors,2,2
2024-10-18,Brunei_DPMM,Young_Lions,0,3
2024-10-19,Lion_City_Sailors,Hougang_United,3,1
2024-10-19,Tampines_Rovers,Albirex_Niigata,2,3
2024-10-20,Balestier_Khalsa,Geylang_United,1,4
2024-10-28,Tanjong_Pagar_United,Balestier_Khalsa,0,5
2024-10-29,Albirex_Niigata,Hougang_United,2,1
2024-10-29,Geylang_United,Tampines_Rovers,0,3
2024-11-01,Hougang_United,Tanjong_Pagar_United,6,0
2024-11-02,Albirex_Niigata,Brunei_DPMM,2,3
2024-11-02,Tampines_Rovers,Balestier_Khalsa,3,1
2024-11-03,Geylang_United,Young_Lions,4,0
2024-11-22,Tampines_Rovers,Tanjong_Pagar_United,5,0
2024-11-23,Young_Lions,Albirex_Niigata,0,1
2024-11-24,Hougang_United,Geylang_United,2,3
2025-01-13,Brunei_DPMM,Lion_City_Sailors,2,4
2025-01-17,Lion_City_Sailors,Albirex_Niigata,6,0
2025-01-18,Young_Lions,Tanjong_Pagar_United,1,1
2025-01-18,Brunei_DPMM,Geylang_United,0,2
2025-01-19,Hougang_United,Balestier_Khalsa,3,1
2025-01-25,Balestier_Khalsa,Young_Lions,2,3
2025-01-25,Tampines_Rovers,Hougang_United,2,4
2025-01-26,Geylang_United,Lion_City_Sailors,1,2
2025-01-26,Tanjong_Pagar_United,Brunei_DPMM,3,0
2025-02-07,Brunei_DPMM,Balestier_Khalsa,2,3
2025-02-08,Young_Lions,Tampines_Rovers,1,5
2025-02-09,Lion_City_Sailors,Tanjong_Pagar_United,4,1
2025-02-09,Albirex_Niigata,Geylang_United,1,1
2025-02-21,Tanjong_Pagar_United,Albirex_Niigata,1,2
2025-02-22,Hougang_United,Young_Lions,3,3
2025-02-23,Balestier_Khalsa,Lion_City_Sailors,1,5
2025-02-23,Tampines_Rovers,Brunei_DPMM,1,0
2025-02-26,Lion_City_Sailors,Tampines_Rovers,1,0
2025-02-26,Brunei_DPMM,Hougang_United,2,1
2025-02-27,Albirex_Niigata,Balestier_Khalsa,4,0
2025-02-27,Geylang_United,Tanjong_Pagar_United,5,0
2025-03-07,Geylang_United,Balestier_Khalsa,3,4
2025-03-08,Young_Lions,Brunei_DPMM,1,1
2025-03-09,Albirex_Niigata,Tampines_Rovers,0,4
2025-03-09,Hougang_United,Lion_City_Sailors,1,1
2025-04-04,Tampines_Rovers,Geylang_United,3,1
2025-04-05,Balestier_Khalsa,Tanjong_Pagar_United,3,3
2025-04-05,Hougang_United,Albirex_Niigata,1,0
2025-04-06,Young_Lions,Lion_City_Sailors,0,8
