date,home_team,away_team,home_score,away_score
2024-09-07,Banská_Bystrica,Ružomberok,1,2
2024-09-07,Trenčín,Žilina,0,4
2024-09-14,Ružomberok,Trnava,1,0
2024-09-14,Žilina,Prešov,0,4
2024-09-21,Trnava,Komárno,1,1
2024-09-21,Trenčín,Myjava,0,9
2024-09-21,Prešov,Petržalka,2,0
2024-09-21,Banská_Bystrica,Žilina,1,2
2024-09-24,Petržalka,Myjava,0,5
2024-09-28,Trnava,Žilina,1,0
2024-09-28,Myjava,Ružomberok,5,0
2024-09-28,Petržalka,Banská_Bystrica,2,0
2024-10-02,Myjava,Slovan_Bratislava,4,2
2024-10-05,Banská_Bystrica,Trenčín,4,0
2024-10-05,Prešov,Myjava,0,5
2024-10-05,Ružomberok,Komárno,1,1
2024-10-05,Trnava,Petržalka,0,0
2024-10-05,Slovan_Bratislava,Žilina,5,0
2024-10-09,Petržalka,Trenčín,2,2
2024-10-12,Slovan_Bratislava,Petržalka,8,1
2024-10-12,Ružomberok,Žilina,2,1
2024-10-12,Banská_Bystrica,Prešov,0,5
2024-10-12,Trnava,Trenčín,3,2
2024-10-12,Myjava,Komárno,3,0
2024-10-19,Prešov,Trnava,3,2
2024-10-19,Trenčín,Slovan_Bratislava,0,8
2024-10-19,Žilina,Komárno,1,4
2024-10-19,Banská_Bystrica,Myjava,1,7
2024-10-19,Petržalka,Ružomberok,2,1
2024-10-31,Slovan_Bratislava,Prešov,1,3
2024-11-02,Ružomberok,Trenčín,5,1
2024-11-02,Trnava,Banská_Bystrica,2,1
2024-11-02,Myjava,Žilina,11,1
2024-11-03,Komárno,Petržalka,2,0
2024-11-09,Trnava,Myjava,0,6
2024-11-09,Trenčín,Komárno,3,4
2024-11-09,Prešov,Ružomberok,3,2
2024-11-09,Petržalka,Žilina,2,4
2024-11-16,Komárno,Prešov,2,0
2024-11-16,Ružomberok,Banská_Bystrica,2,0
2024-11-16,Slovan_Bratislava,Trnava,5,2
2024-11-16,Žilina,Trenčín,1,1
2024-11-16,Myjava,Petržalka,11,0
2024-11-20,Banská_Bystrica,Slovan_Bratislava,0,3
2024-11-23,Prešov,Žilina,4,1
2024-11-23,Trenčín,Petržalka,2,3
2024-11-23,Slovan_Bratislava,Myjava,3,4
2024-11-23,Trnava,Ružomberok,2,2
2024-11-23,Banská_Bystrica,Komárno,2,0
2025-02-16,Slovan_Bratislava,Komárno,6,0
2025-03-01,Komárno,Trnava,0,1
2025-03-01,Petržalka,Prešov,0,1
2025-03-01,Žilina,Banská_Bystrica,1,1
2025-03-01,Ružomberok,Slovan_Bratislava,3,0
2025-03-01,Myjava,Trenčín,8,0
2025-03-08,Banská_Bystrica,Petržalka,1,3
2025-03-08,Prešov,Trenčín,0,0
2025-03-08,Žilina,Trnava,2,1
2025-03-15,Petržalka,Trnava,1,1
2025-03-15,Komárno,Ružomberok,4,2
2025-03-15,Trenčín,Banská_Bystrica,1,0
2025-03-15,Myjava,Prešov,4,2
2025-03-15,Žilina,Slovan_Bratislava,0,6
2025-03-22,Prešov,Slovan_Bratislava,2,2
2025-03-22,Komárno,Ružomberok,0,1
2025-03-22,Žilina,Banská_Bystrica,2,1
2025-03-22,Petržalka,Trenčín,2,2
2025-03-29,Trnava,Petržalka,1,1
2025-03-29,Slovan_Bratislava,Komárno,4,2
2025-03-29,Trenčín,Žilina,3,2
2025-03-29,Myjava,Prešov,4,0
