date,home_team,away_team,home_score,away_score
2024-09-12,Port_FC,Buriram_United_FC,0.0,0.0
2024-09-14,Nakhon_Pathom,Chiangrai_United,,
2024-09-15,Muang_Thong_United,Sukhothai,4.0,2.0
2024-09-15,Prachuap,Khon_Kaen_United,1.0,0.0
2024-09-14,Nakhon_Ratchasima,Bangkok_United,1.0,1.0
2024-09-14,Pathum_United_BG,Nong_Bua_Pitchaya,1.0,1.0
2024-09-15,Uthai_Thani,Rayong_PTT,3.0,1.0
2024-09-15,Lamphun_Warrior,Ratchaburi,1.0,0.0
2024-09-20,Khon_Kaen_United,Nakhon_Pathom,0.0,0.0
2024-09-21,Nong_Bua_Pitchaya,Uthai_Thani,3.0,2.0
2024-09-21,Ratchaburi,Nakhon_Ratchasima,4.0,0.0
2024-09-21,Sukhothai,Lamphun_Warrior,4.0,0.0
2024-09-22,Rayong_PTT,Bangkok_United,0.0,3.0
2024-09-22,Port_FC,Pathum_United_BG,1.0,2.0
2024-09-22,Buriram_United_FC,Prachuap,6.0,0.0
2024-09-26,Nakhon_Pathom,Sukhothai,,
2024-09-27,Muang_Thong_United,Khon_Kaen_United,0.0,0.0
2024-09-27,Bangkok_United,Ratchaburi,0.0,0.0
2024-09-28,Nakhon_Ratchasima,Nong_Bua_Pitchaya,2.0,1.0
2024-09-28,Prachuap,Port_FC,0.0,0.0
2024-09-29,Lamphun_Warrior,Rayong_PTT,4.0,1.0
2024-09-28,Nakhon_Pathom,Sukhothai,0.0,1.0
2024-09-29,Uthai_Thani,Chiangrai_United,3.0,0.0
2024-10-04,Chiangrai_United,Lamphun_Warrior,2.0,0.0
2024-10-05,Prachuap,Pathum_United_BG,2.0,2.0
2024-10-05,Sukhothai,Nakhon_Ratchasima,1.0,0.0
2024-10-05,Khon_Kaen_United,Uthai_Thani,0.0,1.0
2024-10-05,Ratchaburi,Rayong_PTT,2.0,0.0
2024-10-06,Nong_Bua_Pitchaya,Bangkok_United,2.0,3.0
2024-10-17,Buriram_United_FC,Uthai_Thani,1.0,0.0
2024-10-19,Nakhon_Ratchasima,Port_FC,2.0,3.0
2024-10-19,Lamphun_Warrior,Khon_Kaen_United,0.0,1.0
2024-10-19,Muang_Thong_United,Pathum_United_BG,1.0,1.0
2024-10-20,Ratchaburi,Chiangrai_United,1.0,0.0
2024-10-20,Bangkok_United,Sukhothai,4.0,1.0
2024-10-20,Nakhon_Pathom,Prachuap,1.0,1.0
2024-10-21,Rayong_PTT,Nong_Bua_Pitchaya,3.0,1.0
2024-10-25,Nong_Bua_Pitchaya,Ratchaburi,5.0,3.0
2024-10-26,Buriram_United_FC,Lamphun_Warrior,1.0,1.0
2024-10-26,Sukhothai,Rayong_PTT,3.0,1.0
2024-10-26,Khon_Kaen_United,Nakhon_Ratchasima,0.0,0.0
2024-10-26,Pathum_United_BG,Nakhon_Pathom,3.0,1.0
2024-10-27,Port_FC,Muang_Thong_United,1.0,1.0
2024-10-27,Prachuap,Uthai_Thani,3.0,0.0
2024-10-27,Chiangrai_United,Bangkok_United,1.0,2.0
2024-11-02,Ratchaburi,Sukhothai,2.0,2.0
2024-11-02,Muang_Thong_United,Prachuap,0.0,2.0
2024-11-02,Bangkok_United,Port_FC,2.0,0.0
2024-11-03,Uthai_Thani,Nakhon_Pathom,2.0,1.0
2024-11-03,Rayong_PTT,Chiangrai_United,2.0,0.0
2024-11-03,Nong_Bua_Pitchaya,Khon_Kaen_United,6.0,1.0
2024-11-04,Lamphun_Warrior,Pathum_United_BG,2.0,2.0
2024-11-08,Sukhothai,Nong_Bua_Pitchaya,5.0,2.0
2024-11-09,Prachuap,Ratchaburi,3.0,2.0
2024-11-09,Chiangrai_United,Nakhon_Ratchasima,0.0,2.0
2024-11-09,Pathum_United_BG,Uthai_Thani,2.0,1.0
2024-11-10,Rayong_PTT,Buriram_United_FC,1.0,1.0
2024-11-10,Khon_Kaen_United,Bangkok_United,2.0,3.0
2024-11-11,Muang_Thong_United,Nakhon_Pathom,3.0,1.0
2024-11-22,Buriram_United_FC,Sukhothai,2.0,0.0
2024-11-23,Uthai_Thani,Port_FC,1.0,1.0
2024-11-23,Rayong_PTT,Nakhon_Pathom,2.0,2.0
2024-11-23,Muang_Thong_United,Bangkok_United,2.0,1.0
2024-11-24,Nong_Bua_Pitchaya,Chiangrai_United,0.0,2.0
2024-11-24,Ratchaburi,Khon_Kaen_United,2.0,0.0
2024-11-24,Nakhon_Ratchasima,Pathum_United_BG,1.0,0.0
2024-11-24,Lamphun_Warrior,Prachuap,0.0,0.0
2024-11-29,Prachuap,Nakhon_Ratchasima,2.0,2.0
2024-11-30,Khon_Kaen_United,Rayong_PTT,0.0,1.0
2024-11-30,Nakhon_Pathom,Lamphun_Warrior,0.0,3.0
2024-11-30,Chiangrai_United,Sukhothai,0.0,0.0
2024-12-01,Port_FC,Nong_Bua_Pitchaya,2.0,1.0
2024-12-01,Pathum_United_BG,Bangkok_United,1.0,0.0
2024-12-07,Nakhon_Pathom,Chiangrai_United,2.0,1.0
2024-12-08,Buriram_United_FC,Ratchaburi,6.0,0.0
2024-12-14,Nakhon_Ratchasima,Buriram_United_FC,1.0,5.0
2024-12-15,Chiangrai_United,Muang_Thong_United,3.0,1.0
2024-12-22,Buriram_United_FC,Muang_Thong_United,1.0,0.0
2024-12-29,Pathum_United_BG,Buriram_United_FC,0.0,2.0
2025-01-08,Port_FC,Lamphun_Warrior,2.0,1.0
2025-01-10,Nong_Bua_Pitchaya,Prachuap,1.0,0.0
2025-01-11,Nakhon_Ratchasima,Nakhon_Pathom,0.0,3.0
2025-01-11,Uthai_Thani,Ratchaburi,1.0,2.0
2025-01-11,Sukhothai,Khon_Kaen_United,1.0,0.0
2025-01-11,Lamphun_Warrior,Muang_Thong_United,1.0,5.0
2025-01-12,Chiangrai_United,Port_FC,1.0,0.0
2025-01-12,Rayong_PTT,Pathum_United_BG,1.0,1.0
2025-01-12,Bangkok_United,Buriram_United_FC,3.0,2.0
2025-01-14,Lamphun_Warrior,Nakhon_Ratchasima,3.0,0.0
2025-01-14,Nakhon_Pathom,Nong_Bua_Pitchaya,1.0,1.0
2025-01-15,Port_FC,Khon_Kaen_United,1.0,2.0
2025-01-15,Prachuap,Sukhothai,1.0,1.0
2025-01-15,Buriram_United_FC,Chiangrai_United,8.0,0.0
2025-01-15,Pathum_United_BG,Ratchaburi,1.0,2.0
2025-01-16,Uthai_Thani,Bangkok_United,0.0,2.0
2025-01-16,Muang_Thong_United,Rayong_PTT,4.0,0.0
2025-01-18,Chiangrai_United,Pathum_United_BG,1.0,0.0
2025-01-18,Nong_Bua_Pitchaya,Lamphun_Warrior,0.0,0.0
2025-01-19,Buriram_United_FC,Khon_Kaen_United,9.0,0.0
2025-01-19,Ratchaburi,Muang_Thong_United,1.0,0.0
2025-01-19,Nakhon_Ratchasima,Uthai_Thani,3.0,2.0
2025-01-19,Rayong_PTT,Prachuap,3.0,2.0
2025-01-20,Sukhothai,Port_FC,3.0,2.0
2025-01-20,Bangkok_United,Nakhon_Pathom,1.0,1.0
2025-01-24,Port_FC,Ratchaburi,3.0,3.0
2025-01-25,Lamphun_Warrior,Bangkok_United,0.0,1.0
2025-01-25,Nakhon_Ratchasima,Rayong_PTT,3.0,3.0
2025-01-25,Muang_Thong_United,Nong_Bua_Pitchaya,2.0,1.0
2025-01-26,Prachuap,Chiangrai_United,2.0,0.0
2025-01-26,Uthai_Thani,Sukhothai,3.0,0.0
2025-01-26,Nakhon_Pathom,Buriram_United_FC,1.0,3.0
2025-01-26,Pathum_United_BG,Khon_Kaen_United,4.0,1.0
2025-01-29,Prachuap,Buriram_United_FC,1.0,2.0
2025-02-01,Nong_Bua_Pitchaya,Pathum_United_BG,1.0,1.0
2025-02-01,Ratchaburi,Lamphun_Warrior,1.0,1.0
2025-02-01,Rayong_PTT,Uthai_Thani,2.0,3.0
2025-02-02,Buriram_United_FC,Port_FC,0.0,1.0
2025-02-02,Bangkok_United,Nakhon_Ratchasima,2.0,1.0
2025-02-02,Khon_Kaen_United,Prachuap,1.0,4.0
2025-02-02,Sukhothai,Muang_Thong_United,1.0,3.0
2025-02-08,Bangkok_United,Rayong_PTT,,
2025-02-08,Muang_Thong_United,Chiangrai_United,2.0,1.0
2025-02-08,Nakhon_Ratchasima,Ratchaburi,1.0,1.0
2025-02-07,Bangkok_United,Rayong_PTT,2.0,2.0
2025-02-09,Lamphun_Warrior,Sukhothai,1.0,0.0
