date,home_team,away_team,home_score,away_score
2024-09-14,Gafsa_EGS,Esperance_Zarzis,1.0,3.0
2024-09-15,Tataouine,Bizertin_CA,2.0,0.0
2024-09-22,Club_Africain,Jeunesse_Sportive_Omrane,2.0,0.0
2024-09-25,Sfaxien_Club_Sportif,Ben_Guerdane,1.0,0.0
2024-09-25,Slimane,Espérance,1.0,2.0
2024-09-26,Stade_Tunis,Métlaoui,1.0,0.0
2024-09-26,Monastir_US,Etoile_de_Sahel,1.0,0.0
2024-09-28,Bizertin_CA,Slimane,0.0,0.0
2024-09-28,Gafsa_EGS,Club_Africain,0.0,3.0
2024-09-28,Jeunesse_Sportive_Omrane,Sfaxien_Club_Sportif,,
2024-09-29,Ben_Guerdane,Olympique_Béja,0.0,1.0
2024-09-29,Etoile_de_Sahel,Tataouine,2.0,0.0
2024-09-29,Gabes_AS,Monastir_US,0.0,0.0
2024-09-29,Esperance_Zarzis,Métlaoui,1.0,0.0
2024-09-29,Jeunesse_Sportive_Omrane,Sfaxien_Club_Sportif,1.0,0.0
2024-09-29,Espérance,Stade_Tunis,2.0,2.0
2024-10-03,Slimane,Etoile_de_Sahel,0.0,0.0
2024-10-03,Sfaxien_Club_Sportif,Gafsa_EGS,2.0,0.0
2024-10-03,Métlaoui,Espérance,1.0,1.0
2024-10-03,Monastir_US,Ben_Guerdane,2.0,1.0
2024-10-03,Stade_Tunis,Bizertin_CA,1.0,0.0
2024-10-03,Tataouine,Gabes_AS,1.0,2.0
2024-10-03,Club_Africain,Esperance_Zarzis,1.0,0.0
2024-10-19,Bizertin_CA,Métlaoui,1.0,1.0
2024-10-19,Jeunesse_Sportive_Omrane,Monastir_US,1.0,2.0
2024-10-19,Club_Africain,Sfaxien_Club_Sportif,0.0,0.0
2024-10-20,Ben_Guerdane,Tataouine,2.0,0.0
2024-10-20,Etoile_de_Sahel,Stade_Tunis,0.0,1.0
2024-10-20,Gafsa_EGS,Olympique_Béja,0.0,2.0
2024-10-26,Métlaoui,Etoile_de_Sahel,0.0,0.0
2024-10-26,Olympique_Béja,Club_Africain,1.0,1.0
2024-10-26,Tataouine,Jeunesse_Sportive_Omrane,2.0,4.0
2024-10-26,Espérance,Bizertin_CA,0.0,0.0
2024-10-27,Sfaxien_Club_Sportif,Esperance_Zarzis,1.0,1.0
2024-10-27,Monastir_US,Gafsa_EGS,2.0,0.0
2024-10-27,Slimane,Ben_Guerdane,0.0,0.0
2024-10-27,Stade_Tunis,Gabes_AS,2.0,1.0
2024-11-02,Jeunesse_Sportive_Omrane,Slimane,0.0,0.0
2024-11-02,Ben_Guerdane,Stade_Tunis,0.0,0.0
2024-11-02,Gabes_AS,Métlaoui,1.0,0.0
2024-11-02,Club_Africain,Monastir_US,0.0,0.0
