date,home_team,away_team,home_score,away_score
2024-09-14,Samsunspor,Kombassan_Konyaspor,0.0,1.0
2024-09-14,Sivasspor,Gaziantepspor_BB,3.0,2.0
2024-09-14,Bodrumspor,Istanbul_Büyüksehir,0.0,1.0
2024-09-14,Galatasaray,Caykur_Rizespor,5.0,0.0
2024-09-15,Kasimpasa_SK_Istanbul,Fenerbahce,0.0,2.0
2024-09-15,Kayserispor_II,Eyüp_SK_Istanbul,2.0,2.0
2024-09-15,Alanyaspor_K,Hatayspor_Antakya,0.0,0.0
2024-09-15,Trabzonspor,Besiktas,1.0,1.0
2024-09-16,Antalyaspor,Demirspor,2.0,1.0
2024-09-15,Samsunspor,Kombassan_Konyaspor,0.0,1.0
2024-09-15,Bodrumspor,Istanbul_Büyüksehir,0.0,1.0
2024-09-15,Galatasaray,Caykur_Rizespor,5.0,0.0
2024-09-15,Sivasspor,Gaziantepspor_BB,3.0,2.0
2024-09-17,Galatasaray,Gaziantepspor_BB,3.0,1.0
2024-09-18,Samsunspor,Istanbul_Büyüksehir,2.0,0.0
2024-09-19,Trabzonspor,Kayserispor_II,2.0,2.0
2024-09-20,Hatayspor_Antakya,Bodrumspor,0.0,1.0
2024-09-21,Kombassan_Konyaspor,Sivasspor,0.0,0.0
2024-09-21,Fenerbahce,Galatasaray,1.0,3.0
2024-09-22,Kasimpasa_SK_Istanbul,Antalyaspor,0.0,0.0
2024-09-22,Caykur_Rizespor,Samsunspor,0.0,1.0
2024-09-22,Demirspor,Alanyaspor_K,0.0,2.0
2024-09-22,Besiktas,Eyüp_SK_Istanbul,2.0,1.0
2024-09-23,Gaziantepspor_BB,Trabzonspor,0.0,0.0
2024-09-23,Göztepe,Kayserispor_II,3.0,0.0
2024-09-28,Samsunspor,Göztepe,4.0,3.0
2024-09-28,Alanyaspor_K,Caykur_Rizespor,1.0,0.0
2024-09-28,Galatasaray,Kasimpasa_SK_Istanbul,3.0,3.0
2024-09-29,Trabzonspor,Kombassan_Konyaspor,3.0,2.0
2024-09-29,Antalyaspor,Fenerbahce,0.0,2.0
2024-09-29,Bodrumspor,Demirspor,3.0,1.0
2024-09-29,Eyüp_SK_Istanbul,Gaziantepspor_BB,3.0,2.0
2024-09-29,Sivasspor,Istanbul_Büyüksehir,,
2024-09-30,Kayserispor_II,Besiktas,0.0,3.0
2024-09-27,Sivasspor,Istanbul_Büyüksehir,1.0,2.0
2024-10-04,Caykur_Rizespor,Antalyaspor,2.0,1.0
2024-10-05,Göztepe,Sivasspor,3.0,2.0
2024-10-05,Istanbul_Büyüksehir,Kayserispor_II,1.0,1.0
2024-10-05,Hatayspor_Antakya,Trabzonspor,1.0,1.0
2024-10-06,Kombassan_Konyaspor,Eyüp_SK_Istanbul,2.0,1.0
2024-10-06,Demirspor,Samsunspor,1.0,3.0
2024-10-06,Galatasaray,Alanyaspor_K,1.0,0.0
2024-10-06,Gaziantepspor_BB,Besiktas,1.0,1.0
2024-10-06,Kasimpasa_SK_Istanbul,Bodrumspor,,
2024-10-05,Kasimpasa_SK_Istanbul,Bodrumspor,0.0,0.0
2024-10-19,Kayserispor_II,Gaziantepspor_BB,2.0,2.0
2024-10-19,Trabzonspor,Istanbul_Büyüksehir,1.0,0.0
2024-10-19,Antalyaspor,Galatasaray,0.0,3.0
2024-10-20,Besiktas,Kombassan_Konyaspor,2.0,0.0
2024-10-19,Eyüp_SK_Istanbul,Göztepe,1.0,0.0
2024-10-20,Sivasspor,Hatayspor_Antakya,3.0,2.0
2024-10-20,Alanyaspor_K,Kasimpasa_SK_Istanbul,1.0,2.0
2024-10-20,Samsunspor,Fenerbahce,2.0,2.0
2024-10-21,Bodrumspor,Caykur_Rizespor,0.0,1.0
2024-10-25,Demirspor,Sivasspor,2.0,4.0
2024-10-26,Hatayspor_Antakya,Kayserispor_II,0.0,1.0
2024-10-26,Kasimpasa_SK_Istanbul,Samsunspor,1.0,4.0
2024-10-26,Göztepe,Trabzonspor,2.0,1.0
2024-10-27,Gaziantepspor_BB,Kombassan_Konyaspor,3.0,1.0
2024-10-27,Alanyaspor_K,Antalyaspor,1.0,2.0
2024-10-27,Fenerbahce,Bodrumspor,2.0,0.0
2024-10-27,Galatasaray,Besiktas,,
2024-10-28,Istanbul_Büyüksehir,Eyüp_SK_Istanbul,1.0,1.0
2024-10-28,Galatasaray,Besiktas,2.0,1.0
2024-11-01,Gaziantepspor_BB,Göztepe,2.0,1.0
2024-11-02,Sivasspor,Caykur_Rizespor,2.0,1.0
2024-11-02,Kayserispor_II,Demirspor,0.0,0.0
2024-11-02,Besiktas,Kasimpasa_SK_Istanbul,1.0,3.0
2024-11-03,Kombassan_Konyaspor,Istanbul_Büyüksehir,3.0,2.0
2024-11-03,Eyüp_SK_Istanbul,Hatayspor_Antakya,2.0,0.0
2024-11-03,Trabzonspor,Fenerbahce,2.0,3.0
2024-11-03,Bodrumspor,Alanyaspor_K,0.0,0.0
2024-11-03,Samsunspor,Antalyaspor,,
2024-11-04,Samsunspor,Antalyaspor,2.0,0.0
