date,home_team,away_team,home_score,away_score
2024-09-07,Racing_Montevideo,Montevideo_Wanderers,0.0,1.0
2024-09-07,Cerro,Defensor_Sporting,1.0,1.0
2024-09-07,Miramar_Misiones,Peňarol,1.0,2.0
2024-09-08,Deportivo_Maldonado,River_Plate_(URU),0.0,1.0
2024-09-08,Rampla_Juniors,Progreso,2.0,0.0
2024-09-08,Fénix,Cerro_Largo,1.0,0.0
2024-09-08,Danubio,Boston_River,2.0,0.0
2024-09-08,Nacional,Liverpool_Montevideo,1.0,0.0
2024-09-14,Defensor_Sporting,Racing_Montevideo,1.0,2.0
2024-09-14,Cerro_Largo,Miramar_Misiones,1.0,2.0
2024-09-14,Progreso,Cerro,0.0,1.0
2024-09-15,Peňarol,Rampla_Juniors,4.0,0.0
2024-09-15,Danubio,River_Plate_(URU),3.0,0.0
2024-09-15,Deportivo_Maldonado,Liverpool_Montevideo,0.0,1.0
2024-09-16,Montevideo_Wanderers,Nacional,0.0,2.0
2024-09-17,Boston_River,Fénix,2.0,0.0
2024-09-21,Deportivo_Maldonado,Montevideo_Wanderers,1.0,3.0
2024-09-21,Rampla_Juniors,Cerro_Largo,2.0,0.0
2024-09-21,Racing_Montevideo,Progreso,1.0,0.0
2024-09-22,Nacional,Defensor_Sporting,1.0,1.0
2024-09-22,Fénix,Miramar_Misiones,0.0,0.0
2024-09-22,Boston_River,River_Plate_(URU),3.0,1.0
2024-09-22,Danubio,Liverpool_Montevideo,1.0,0.0
2024-09-23,Cerro,Peňarol,0.0,5.0
2024-09-28,Miramar_Misiones,Rampla_Juniors,0.0,0.0
2024-09-28,Cerro_Largo,Cerro,3.0,1.0
2024-09-29,Montevideo_Wanderers,Danubio,2.0,2.0
2024-09-29,River_Plate_(URU),Fénix,4.0,3.0
2024-09-29,Liverpool_Montevideo,Boston_River,1.0,1.0
2024-09-29,Defensor_Sporting,Deportivo_Maldonado,3.0,1.0
2024-09-30,Progreso,Nacional,0.0,3.0
2024-10-01,Peňarol,Racing_Montevideo,0.0,0.0
2024-10-04,River_Plate_(URU),Liverpool_Montevideo,1.0,1.0
2024-10-05,Cerro,Miramar_Misiones,0.0,1.0
2024-10-05,Racing_Montevideo,Cerro_Largo,0.0,0.0
2024-10-05,Danubio,Defensor_Sporting,1.0,1.0
2024-10-05,Boston_River,Montevideo_Wanderers,3.0,2.0
2024-10-06,Fénix,Rampla_Juniors,1.0,0.0
2024-10-06,Nacional,Peňarol,2.0,1.0
2024-10-06,Deportivo_Maldonado,Progreso,2.0,2.0
2024-10-11,Liverpool_Montevideo,Fénix,1.0,2.0
2024-10-12,Peňarol,Deportivo_Maldonado,2.0,0.0
2024-10-12,Progreso,Danubio,0.0,0.0
2024-10-12,Rampla_Juniors,Cerro,1.0,1.0
2024-10-12,Defensor_Sporting,Boston_River,1.0,2.0
2024-10-13,Montevideo_Wanderers,River_Plate_(URU),0.0,1.0
2024-10-13,Miramar_Misiones,Racing_Montevideo,2.0,2.0
2024-10-13,Cerro_Largo,Nacional,0.0,1.0
2024-10-13,Rampla_Juniors,Cerro,1.0,1.0
2024-10-15,Liverpool_Montevideo,Montevideo_Wanderers,1.0,1.0
2024-10-16,Racing_Montevideo,Rampla_Juniors,2.0,1.0
2024-10-16,Danubio,Peňarol,0.0,1.0
2024-10-16,Boston_River,Progreso,1.0,0.0
2024-10-17,River_Plate_(URU),Defensor_Sporting,0.0,1.0
2024-10-17,Cerro_Largo,Deportivo_Maldonado,1.0,0.0
2024-10-17,Fénix,Cerro,1.0,3.0
2024-10-18,Nacional,Miramar_Misiones,5.0,1.0
2024-10-19,Progreso,River_Plate_(URU),2.0,0.0
2024-10-20,Peňarol,Boston_River,2.0,0.0
2024-10-20,Cerro_Largo,Danubio,0.0,0.0
2024-10-20,Cerro,Racing_Montevideo,1.0,1.0
2024-10-20,Rampla_Juniors,Nacional,2.0,1.0
2024-10-21,Montevideo_Wanderers,Fénix,1.0,2.0
2024-10-21,Miramar_Misiones,Deportivo_Maldonado,1.0,0.0
2024-10-22,Defensor_Sporting,Liverpool_Montevideo,2.0,1.0
2024-11-01,Deportivo_Maldonado,Rampla_Juniors,1.0,1.0
2024-11-02,Danubio,Miramar_Misiones,1.0,0.0
2024-11-02,Nacional,Cerro,2.0,0.0
2024-11-03,Liverpool_Montevideo,Progreso,2.0,1.0
2024-11-03,Fénix,Racing_Montevideo,0.0,2.0
2024-11-03,River_Plate_(URU),Peňarol,0.0,1.0
2024-11-04,Montevideo_Wanderers,Defensor_Sporting,1.0,1.0
2024-11-03,Boston_River,Cerro_Largo,3.0,0.0
2024-11-09,Racing_Montevideo,Nacional,0.0,2.0
2024-11-09,Rampla_Juniors,Danubio,0.0,2.0
2024-11-09,Cerro_Largo,River_Plate_(URU),1.0,0.0
2024-11-09,Peňarol,Liverpool_Montevideo,2.0,0.0
2024-11-10,Miramar_Misiones,Boston_River,1.0,0.0
2024-11-10,Progreso,Montevideo_Wanderers,0.0,0.0
2024-11-10,Defensor_Sporting,Fénix,1.0,0.0
2024-11-08,Cerro,Deportivo_Maldonado,0.0,0.0
2024-11-13,River_Plate_(URU),Miramar_Misiones,0.0,0.0
2024-11-13,Cerro_Largo,Liverpool_Montevideo,0.0,0.0
2024-11-14,Deportivo_Maldonado,Racing_Montevideo,,
2024-11-14,Defensor_Sporting,Progreso,3.0,0.0
2024-11-14,Danubio,Cerro,0.0,0.0
2024-11-14,Boston_River,Rampla_Juniors,1.0,0.0
2024-11-14,Fénix,Nacional,,
2024-11-14,Montevideo_Wanderers,Peňarol,0.0,2.0
2024-11-12,Deportivo_Maldonado,Racing_Montevideo,0.0,1.0
2024-11-13,Fénix,Nacional,0.0,6.0
2024-11-16,Nacional,Deportivo_Maldonado,5.0,2.0
2024-11-17,Miramar_Misiones,Liverpool_Montevideo,2.0,2.0
2024-11-17,Racing_Montevideo,Danubio,0.0,0.0
2024-11-17,Peňarol,Defensor_Sporting,2.0,0.0
2024-11-17,Progreso,Fénix,,
2024-11-18,Cerro,Boston_River,0.0,0.0
2024-11-18,Progreso,Fénix,2.0,2.0
2024-11-19,Cerro_Largo,Montevideo_Wanderers,4.0,0.0
2024-11-19,Rampla_Juniors,River_Plate_(URU),0.0,3.0
2024-11-26,River_Plate_(URU),Cerro,1.0,0.0
2024-11-26,Rampla_Juniors,Liverpool_Montevideo,0.0,1.0
2024-11-26,Montevideo_Wanderers,Miramar_Misiones,2.0,0.0
2024-11-27,Progreso,Peňarol,1.0,5.0
2024-11-27,Fénix,Deportivo_Maldonado,1.0,2.0
2024-11-27,Boston_River,Racing_Montevideo,1.0,2.0
2024-11-27,Cerro_Largo,Defensor_Sporting,3.0,0.0
2024-11-28,Danubio,Nacional,0.0,0.0
2024-11-30,Cerro,Liverpool_Montevideo,1.0,3.0
2024-11-30,Cerro_Largo,Progreso,2.0,1.0
2024-11-30,Miramar_Misiones,Defensor_Sporting,0.0,0.0
2024-11-30,Rampla_Juniors,Montevideo_Wanderers,1.0,1.0
2024-12-01,Racing_Montevideo,River_Plate_(URU),2.0,0.0
2024-12-01,Nacional,Boston_River,3.0,1.0
2024-12-01,Peňarol,Fénix,3.0,1.0
2024-12-02,Deportivo_Maldonado,Danubio,3.0,1.0
2025-01-31,Cerro_Largo,Juventud,1.0,1.0
2025-02-01,Defensor_Sporting,Boston_River,2.0,0.0
2025-02-01,Danubio,Liverpool_Montevideo,1.0,1.0
2025-02-02,Progreso,Peňarol,1.0,3.0
2025-02-02,Miramar_Misiones,Plaza_Colonia,0.0,1.0
2025-02-02,Montevideo_City_Torque,Nacional,1.0,0.0
2025-02-03,Montevideo_Wanderers,Racing_Montevideo,0.0,0.0
2025-02-03,Cerro,River_Plate_(URU),1.0,1.0
2025-02-07,Cerro_Largo,Progreso,4.0,1.0
2025-02-08,Plaza_Colonia,Montevideo_Wanderers,2.0,0.0
2025-02-08,Liverpool_Montevideo,Miramar_Misiones,2.0,1.0
2025-02-08,Racing_Montevideo,Cerro,0.0,1.0
2025-02-08,River_Plate_(URU),Defensor_Sporting,0.0,1.0
2025-02-09,Juventud,Danubio,2.0,2.0
2025-02-09,Boston_River,Montevideo_City_Torque,0.0,0.0
2025-02-09,Nacional,Peňarol,1.0,1.0
2025-02-14,Cerro,Plaza_Colonia,0.0,1.0
2025-02-15,Montevideo_Wanderers,Liverpool_Montevideo,1.0,1.0
2025-02-15,Miramar_Misiones,Juventud,,
2025-02-15,Peňarol,Boston_River,1.0,1.0
2025-02-15,Danubio,Cerro_Largo,0.0,0.0
