date,home_team,away_team,home_score,away_score
2024-09-13,Qizilqum_Zarafshon,Sogdiyona_Jizzax,1,1
2024-09-13,Pakhtakor,Neftchi_Fargona,0,0
2024-09-14,Dinamo_Samarkand,Quruvchi_Bunyodkor,2,3
2024-09-14,Navbahor_Namangan,Nasaf_Qarshi,0,1
2024-09-15,Andijon_FK,Lokomotiv_Tashkent,1,2
2024-09-16,Olympic_Tashkent,Metallurg_Bekobod,1,1
2024-09-16,Olmaliq_FK,Surkhon_Termez,1,0
2024-09-19,Neftchi_Fargona,Qizilqum_Zarafshon,2,2
2024-09-20,Lokomotiv_Tashkent,Navbahor_Namangan,0,1
2024-09-20,Sogdiyona_Jizzax,Andijon_FK,1,1
2024-09-21,Metallurg_Bekobod,Pakhtakor,3,2
2024-09-21,Olympic_Tashkent,Dinamo_Samarkand,0,3
2024-09-23,Nasaf_Qarshi,Olmaliq_FK,2,0
2024-09-25,Pakhtakor,Olympic_Tashkent,6,0
2024-09-25,Andijon_FK,Neftchi_Fargona,0,0
2024-09-26,Navbahor_Namangan,Sogdiyona_Jizzax,0,3
2024-09-26,Dinamo_Samarkand,Surkhon_Termez,3,0
2024-09-27,Qizilqum_Zarafshon,Metallurg_Bekobod,1,0
2024-09-27,Olmaliq_FK,Lokomotiv_Tashkent,1,0
2024-09-28,Quruvchi_Bunyodkor,Nasaf_Qarshi,2,2
2024-10-06,Pakhtakor,Dinamo_Samarkand,4,2
2024-10-18,Nasaf_Qarshi,Surkhon_Termez,1,1
2024-10-19,Lokomotiv_Tashkent,Quruvchi_Bunyodkor,2,3
2024-10-19,Metallurg_Bekobod,Andijon_FK,0,0
2024-10-20,Neftchi_Fargona,Navbahor_Namangan,2,2
2024-10-20,Olympic_Tashkent,Qizilqum_Zarafshon,1,0
2024-10-21,Sogdiyona_Jizzax,Olmaliq_FK,1,1
2024-10-25,Surkhon_Termez,Lokomotiv_Tashkent,2,1
2024-10-25,Navbahor_Namangan,Metallurg_Bekobod,1,0
2024-10-26,Qizilqum_Zarafshon,Pakhtakor,2,0
2024-10-26,Andijon_FK,Olympic_Tashkent,1,0
2024-10-27,Quruvchi_Bunyodkor,Sogdiyona_Jizzax,1,1
2024-10-28,Olmaliq_FK,Neftchi_Fargona,1,2
2024-10-28,Dinamo_Samarkand,Nasaf_Qarshi,1,2
2024-10-31,Pakhtakor,Andijon_FK,3,1
2024-11-01,Lokomotiv_Tashkent,Nasaf_Qarshi,0,1
2024-11-01,Sogdiyona_Jizzax,Surkhon_Termez,2,4
2024-11-02,Olympic_Tashkent,Navbahor_Namangan,1,2
2024-11-02,Qizilqum_Zarafshon,Dinamo_Samarkand,1,2
2024-11-03,Neftchi_Fargona,Quruvchi_Bunyodkor,2,1
2024-11-03,Metallurg_Bekobod,Olmaliq_FK,1,1
2024-11-07,Dinamo_Samarkand,Lokomotiv_Tashkent,1,2
2024-11-08,Quruvchi_Bunyodkor,Metallurg_Bekobod,1,1
2024-11-10,Andijon_FK,Qizilqum_Zarafshon,0,0
2024-11-21,Pakhtakor,Olmaliq_FK,0,2
2024-11-22,Neftchi_Fargona,Nasaf_Qarshi,2,0
2024-11-22,Qizilqum_Zarafshon,Navbahor_Namangan,1,5
2024-11-23,Olympic_Tashkent,Quruvchi_Bunyodkor,0,1
2024-11-23,Andijon_FK,Dinamo_Samarkand,3,0
2024-11-24,Metallurg_Bekobod,Surkhon_Termez,1,0
2024-11-30,Surkhon_Termez,Olympic_Tashkent,3,0
2024-11-30,Nasaf_Qarshi,Metallurg_Bekobod,1,2
2024-11-30,Navbahor_Namangan,Andijon_FK,3,3
2024-11-30,Quruvchi_Bunyodkor,Pakhtakor,2,0
2024-11-30,Lokomotiv_Tashkent,Neftchi_Fargona,2,3
2024-11-30,Dinamo_Samarkand,Sogdiyona_Jizzax,1,0
2024-11-30,Olmaliq_FK,Qizilqum_Zarafshon,1,0
2025-03-07,Olmaliq_FK,Buxoro_FK,2,1
2025-03-08,Qizilqum_Zarafshon,Surkhon_Termez,2,0
2025-03-08,Kokand-1912,Andijon_FK,1,1
2025-03-08,Quruvchi_Bunyodkor,Neftchi_Fargona,2,2
2025-03-09,Xorazm_Urganch,Shortan_Guzor,2,0
2025-03-09,Navbahor_Namangan,Dinamo_Samarkand,0,0
2025-03-09,Nasaf_Qarshi,Sogdiyona_Jizzax,1,0
2025-03-14,Buxoro_FK,Qizilqum_Zarafshon,2,0
2025-03-14,Neftchi_Fargona,Kokand-1912,0,0
2025-03-15,Shortan_Guzor,Quruvchi_Bunyodkor,0,2
2025-03-15,Andijon_FK,Nasaf_Qarshi,1,1
2025-03-15,Dinamo_Samarkand,Mashal_Muborak,1,0
2025-03-16,Surkhon_Termez,Xorazm_Urganch,0,2
2025-03-16,Sogdiyona_Jizzax,Navbahor_Namangan,2,3
2025-03-16,Olmaliq_FK,Pakhtakor,2,0
