date,home_team,away_team,home_score,away_score
2024-09-02,Estudiantes_FC,Metropolitanos_FC,4.0,0.0
2024-09-03,Deportivo_La_Guaira,UCV_FC,2.0,0.0
2024-09-03,Deportivo_Táchira,Angostura_FC,2.0,0.0
2024-09-04,Zamora_FC,Carabobo_FC,2.0,0.0
2024-09-04,Rayo_Zuliano,Monagas_SC,1.0,2.0
2024-09-04,Caracas_FC,Academia_Puerto_Cabello,0.0,0.0
2024-09-05,Portuguesa_FC,Inter_de_Barinas,2.0,1.0
2024-09-13,Metropolitanos_FC,Portuguesa_FC,2.0,1.0
2024-09-14,Academia_Puerto_Cabello,Zamora_FC,1.0,0.0
2024-09-14,Inter_de_Barinas,Rayo_Zuliano,0.0,1.0
2024-09-14,UCV_FC,Estudiantes_FC,3.0,1.0
2024-09-15,Angostura_FC,Caracas_FC,0.0,0.0
2024-09-15,Monagas_SC,Deportivo_Táchira,0.0,0.0
2024-09-16,Carabobo_FC,Deportivo_La_Guaira,3.0,1.0
2024-09-20,Caracas_FC,Monagas_SC,1.0,2.0
2024-09-21,Academia_Puerto_Cabello,Angostura_FC,1.0,1.0
2024-09-21,Rayo_Zuliano,Metropolitanos_FC,2.0,2.0
2024-09-21,Deportivo_Táchira,Inter_de_Barinas,4.0,1.0
2024-09-22,Portuguesa_FC,UCV_FC,1.0,1.0
2024-09-22,Estudiantes_FC,Carabobo_FC,0.0,0.0
2024-09-23,Zamora_FC,Deportivo_La_Guaira,0.0,0.0
2024-09-27,UCV_FC,Rayo_Zuliano,1.0,0.0
2024-09-27,Monagas_SC,Academia_Puerto_Cabello,2.0,1.0
2024-09-28,Deportivo_La_Guaira,Estudiantes_FC,1.0,1.0
2024-09-28,Angostura_FC,Zamora_FC,1.0,2.0
2024-09-29,Inter_de_Barinas,Caracas_FC,1.0,2.0
2024-09-29,Carabobo_FC,Portuguesa_FC,1.0,0.0
2024-09-30,Metropolitanos_FC,Deportivo_Táchira,1.0,1.0
2024-10-04,Angostura_FC,Monagas_SC,0.0,2.0
2024-10-05,Portuguesa_FC,Deportivo_La_Guaira,2.0,1.0
2024-10-05,Rayo_Zuliano,Carabobo_FC,2.0,1.0
2024-10-05,Zamora_FC,Estudiantes_FC,1.0,0.0
2024-10-06,Academia_Puerto_Cabello,Inter_de_Barinas,2.0,0.0
2024-10-06,Deportivo_Táchira,UCV_FC,2.0,0.0
2024-10-07,Caracas_FC,Metropolitanos_FC,2.0,1.0
2024-10-12,Deportivo_La_Guaira,Rayo_Zuliano,3.0,2.0
2024-10-12,Zamora_FC,Monagas_SC,2.0,4.0
2024-10-12,Estudiantes_FC,Portuguesa_FC,2.0,0.0
2024-10-13,Inter_de_Barinas,Angostura_FC,1.0,2.0
2024-10-13,Metropolitanos_FC,Academia_Puerto_Cabello,1.0,1.0
2024-10-13,Carabobo_FC,Deportivo_Táchira,1.0,1.0
2024-10-14,UCV_FC,Caracas_FC,1.0,3.0
2024-10-18,Academia_Puerto_Cabello,UCV_FC,,
2024-10-18,Angostura_FC,Metropolitanos_FC,,
2024-10-18,Deportivo_Táchira,Deportivo_La_Guaira,,
2024-10-18,Portuguesa_FC,Zamora_FC,,
2024-10-18,Rayo_Zuliano,Estudiantes_FC,,
2024-10-19,Caracas_FC,Carabobo_FC,0.0,0.0
2024-10-19,Monagas_SC,Inter_de_Barinas,2.0,2.0
2024-10-19,Academia_Puerto_Cabello,UCV_FC,3.0,3.0
2024-10-19,Angostura_FC,Metropolitanos_FC,0.0,2.0
2024-10-19,Deportivo_Táchira,Deportivo_La_Guaira,1.0,0.0
2024-10-19,Portuguesa_FC,Zamora_FC,2.0,3.0
2024-10-19,Rayo_Zuliano,Estudiantes_FC,2.0,1.0
2024-10-26,Caracas_FC,Rayo_Zuliano,0.0,1.0
2024-10-27,Zamora_FC,Deportivo_Táchira,0.0,2.0
2024-10-27,Carabobo_FC,Estudiantes_FC,2.0,0.0
2024-10-28,Deportivo_La_Guaira,Monagas_SC,3.0,1.0
2024-10-29,Deportivo_Táchira,Caracas_FC,,
2024-10-29,Rayo_Zuliano,Zamora_FC,3.0,0.0
2024-10-30,Deportivo_Táchira,Caracas_FC,2.0,0.0
2024-10-30,Monagas_SC,Carabobo_FC,1.0,1.0
2024-10-31,Estudiantes_FC,Deportivo_La_Guaira,0.0,1.0
2024-11-02,Rayo_Zuliano,Deportivo_Táchira,1.0,2.0
2024-11-03,Zamora_FC,Caracas_FC,2.0,1.0
2024-11-03,Estudiantes_FC,Monagas_SC,2.0,0.0
2024-11-04,Deportivo_La_Guaira,Carabobo_FC,0.0,1.0
2024-10-31,Monagas_SC,Carabobo_FC,1.0,1.0
2024-11-09,Caracas_FC,Zamora_FC,3.0,1.0
2024-11-09,Deportivo_Táchira,Rayo_Zuliano,,
2024-11-10,Carabobo_FC,Deportivo_La_Guaira,1.0,1.0
2024-11-10,Monagas_SC,Estudiantes_FC,,
2024-11-10,Deportivo_Táchira,Rayo_Zuliano,3.0,1.0
2024-11-11,Monagas_SC,Estudiantes_FC,2.0,3.0
2024-11-12,Caracas_FC,Deportivo_Táchira,0.0,4.0
2024-11-12,Zamora_FC,Rayo_Zuliano,3.0,3.0
2024-11-13,Carabobo_FC,Monagas_SC,1.0,0.0
2024-11-13,Deportivo_La_Guaira,Estudiantes_FC,3.0,1.0
2024-11-14,Carabobo_FC,Monagas_SC,1.0,0.0
2024-11-14,Deportivo_La_Guaira,Estudiantes_FC,3.0,1.0
2024-11-16,Rayo_Zuliano,Caracas_FC,0.0,3.0
2024-11-17,Deportivo_Táchira,Zamora_FC,1.0,1.0
2024-11-17,Estudiantes_FC,Carabobo_FC,0.0,3.0
2024-11-17,Monagas_SC,Deportivo_La_Guaira,0.0,2.0
2024-11-25,Deportivo_Táchira,Carabobo_FC,4.0,1.0
2024-12-02,Deportivo_Táchira,Carabobo_FC,1.0,1.0
2024-12-08,Carabobo_FC,Deportivo_Táchira,0.0,0.0
2025-01-24,Metropolitanos_FC,Academia_Puerto_Cabello,2.0,1.0
2025-01-25,Monagas_SC,Deportivo_La_Guaira,1.0,1.0
2025-01-25,Estudiantes_FC,Carabobo_FC,0.0,2.0
2025-01-26,Rayo_Zuliano,Caracas_FC,,
2025-01-26,Deportivo_Táchira,Zamora_FC,,
2025-01-31,Monagas_SC,Deportivo_Táchira,1.0,4.0
2025-02-01,Academia_Anzoátegui,Rayo_Zuliano,3.0,1.0
2025-02-01,Yaracuyanos_FC,Academia_Puerto_Cabello,0.0,3.0
2025-02-02,Zamora_FC,Estudiantes_FC,2.0,1.0
2025-02-02,Deportivo_La_Guaira,UCV_FC,2.0,2.0
2025-02-03,Carabobo_FC,Portuguesa_FC,0.0,0.0
2025-02-04,Caracas_FC,Metropolitanos_FC,1.0,0.0
2025-02-07,Estudiantes_FC,Monagas_SC,2.0,0.0
2025-02-08,Portuguesa_FC,Zamora_FC,2.0,1.0
2025-02-08,Rayo_Zuliano,Deportivo_La_Guaira,1.0,1.0
2025-02-09,Academia_Puerto_Cabello,Carabobo_FC,1.0,3.0
2025-02-09,Yaracuyanos_FC,Metropolitanos_FC,0.0,0.0
2025-02-09,Caracas_FC,Academia_Anzoátegui,1.0,0.0
