date,home_team,away_team,home_score,away_score
2024-09-14,Hong_Linh_Ha_Tinh,Nam_Dinh,1,0
2024-09-14,Thanh_Hoa,Binh_Duong,1,2
2024-09-14,TT_Ha_Noi,Binh_Dinh_Qui_Nhon,1,0
2024-09-15,Quang_Nam,Gia_Lai_Plei_Ku,0,4
2024-09-15,Song_Lam_Nghe_An_Vinh,Da_Nang,0,0
2024-09-15,Hai_Phong,Cong_An_Nhan_Dan,1,1
2024-09-15,Ho_Chi_Minh,Viettel,0,0
2024-09-20,Cong_An_Nhan_Dan,Thanh_Hoa,0,1
2024-09-21,Gia_Lai_Plei_Ku,Song_Lam_Nghe_An_Vinh,2,0
2024-09-21,Binh_Duong,Hai_Phong,1,1
2024-09-22,Binh_Dinh_Qui_Nhon,Ho_Chi_Minh,1,2
2024-09-22,Da_Nang,Hong_Linh_Ha_Tinh,1,3
2024-09-22,Viettel,TT_Ha_Noi,2,1
2024-09-23,Nam_Dinh,Quang_Nam,1,0
2024-09-28,Gia_Lai_Plei_Ku,Nam_Dinh,0,0
2024-09-28,Viettel,Binh_Dinh_Qui_Nhon,0,1
2024-09-29,Quang_Nam,Da_Nang,3,2
2024-09-29,Song_Lam_Nghe_An_Vinh,Hong_Linh_Ha_Tinh,1,1
2024-09-29,Ho_Chi_Minh,TT_Ha_Noi,0,2
2024-09-30,Thanh_Hoa,Hai_Phong,3,1
2024-09-30,Cong_An_Nhan_Dan,Binh_Duong,1,0
2024-10-03,Da_Nang,Gia_Lai_Plei_Ku,1,1
2024-10-03,Hong_Linh_Ha_Tinh,Quang_Nam,0,0
2024-10-04,Binh_Dinh_Qui_Nhon,Thanh_Hoa,1,4
2024-10-04,Binh_Duong,Ho_Chi_Minh,3,0
2024-10-04,Hai_Phong,Viettel,2,3
2024-10-19,Nam_Dinh,Song_Lam_Nghe_An_Vinh,4,1
2024-10-19,TT_Ha_Noi,Cong_An_Nhan_Dan,1,1
2024-10-25,Viettel,Binh_Duong,1,0
2024-10-26,Gia_Lai_Plei_Ku,Thanh_Hoa,1,1
2024-10-26,Ho_Chi_Minh,Quang_Nam,0,0
2024-10-27,Binh_Dinh_Qui_Nhon,Song_Lam_Nghe_An_Vinh,2,2
2024-10-27,TT_Ha_Noi,Hong_Linh_Ha_Tinh,1,1
2024-10-28,Da_Nang,Hai_Phong,0,0
2024-10-28,Nam_Dinh,Cong_An_Nhan_Dan,0,3
2024-11-01,Hai_Phong,Nam_Dinh,1,2
2024-11-02,Hong_Linh_Ha_Tinh,Binh_Dinh_Qui_Nhon,0,0
2024-11-02,Binh_Duong,Gia_Lai_Plei_Ku,4,1
2024-11-02,Song_Lam_Nghe_An_Vinh,Ho_Chi_Minh,0,0
2024-11-03,Quang_Nam,Viettel,0,0
2024-11-03,Thanh_Hoa,TT_Ha_Noi,1,1
2024-11-03,Cong_An_Nhan_Dan,Da_Nang,3,0
2024-11-09,Gia_Lai_Plei_Ku,Cong_An_Nhan_Dan,1,0
2024-11-09,Da_Nang,Binh_Duong,1,1
2024-11-09,TT_Ha_Noi,Hai_Phong,2,2
2024-11-10,Binh_Dinh_Qui_Nhon,Quang_Nam,1,0
2024-11-10,Song_Lam_Nghe_An_Vinh,Thanh_Hoa,0,1
2024-11-10,Viettel,Hong_Linh_Ha_Tinh,1,1
2024-11-11,Ho_Chi_Minh,Nam_Dinh,0,3
2024-11-14,Binh_Dinh_Qui_Nhon,Hai_Phong,1,0
2024-11-14,TT_Ha_Noi,Binh_Duong,1,0
2024-11-15,Hong_Linh_Ha_Tinh,Gia_Lai_Plei_Ku,1,0
2024-11-15,Quang_Nam,Song_Lam_Nghe_An_Vinh,1,1
