date,home_team,away_team,home_score,away_score
2024-09-13,Sepahan,Malavan_Anzali,1,0
2024-09-13,Shams_Azar_Qazvin,Esteghlal_Khuzestan,2,2
2024-09-13,Teraktor-Sazi,Zob-Ahan,0,1
2024-09-14,Aluminium_Arak,Havadar,0,0
2024-09-14,Foolad_Ahvaz,Kheybar_Khorramabad,1,1
2024-09-20,Nassaji_Mazandaran,Esteghlal_Tehran,2,2
2024-09-20,Mes_Rafsanjan,Gol_Gohar_Sirjan,0,0
2024-09-20,Malavan_Anzali,Shams_Azar_Qazvin,2,0
2024-09-20,Persepolis,Aluminium_Arak,2,0
2024-09-21,Havadar,Foolad_Ahvaz,0,1
2024-09-21,Esteghlal_Khuzestan,Chadormalu_SC,1,1
2024-09-22,Kheybar_Khorramabad,Teraktor-Sazi,1,2
2024-09-22,Zob-Ahan,Sepahan,1,1
2024-09-25,Esteghlal_Tehran,Persepolis,0,1
2024-09-26,Shams_Azar_Qazvin,Nassaji_Mazandaran,0,0
2024-09-27,Gol_Gohar_Sirjan,Havadar,0,0
2024-09-27,Aluminium_Arak,Kheybar_Khorramabad,1,0
2024-09-27,Chadormalu_SC,Mes_Rafsanjan,1,0
2024-09-27,Malavan_Anzali,Esteghlal_Khuzestan,1,0
2024-09-27,Sepahan,Teraktor-Sazi,0,1
2024-09-28,Foolad_Ahvaz,Zob-Ahan,1,0
2024-10-04,Kheybar_Khorramabad,Gol_Gohar_Sirjan,0,0
2024-10-04,Zob-Ahan,Aluminium_Arak,0,4
2024-10-04,Mes_Rafsanjan,Shams_Azar_Qazvin,0,1
2024-10-04,Nassaji_Mazandaran,Malavan_Anzali,1,1
2024-10-05,Persepolis,Chadormalu_SC,1,0
2024-10-05,Esteghlal_Khuzestan,Sepahan,0,1
2024-10-05,Havadar,Esteghlal_Tehran,1,2
2024-10-06,Teraktor-Sazi,Foolad_Ahvaz,1,2
2024-10-17,Chadormalu_SC,Kheybar_Khorramabad,1,0
2024-10-17,Shams_Azar_Qazvin,Havadar,1,1
2024-10-17,Esteghlal_Khuzestan,Mes_Rafsanjan,3,2
2024-10-18,Esteghlal_Tehran,Zob-Ahan,0,3
2024-10-20,Aluminium_Arak,Foolad_Ahvaz,4,2
2024-10-25,Nassaji_Mazandaran,Esteghlal_Khuzestan,0,0
2024-10-25,Zob-Ahan,Gol_Gohar_Sirjan,0,2
2024-10-25,Havadar,Chadormalu_SC,0,1
2024-10-25,Mes_Rafsanjan,Malavan_Anzali,1,1
2024-10-26,Kheybar_Khorramabad,Esteghlal_Tehran,3,1
2024-10-26,Persepolis,Shams_Azar_Qazvin,2,0
2024-10-27,Teraktor-Sazi,Aluminium_Arak,2,0
2024-10-27,Foolad_Ahvaz,Sepahan,2,2
2024-10-30,Esteghlal_Khuzestan,Persepolis,1,0
2024-10-31,Esteghlal_Tehran,Teraktor-Sazi,0,2
