date,home_team,away_team,home_score,away_score
2024-09-14,Lamia,Kallithea,0.0,0.0
2024-09-14,Asteras_Tripolis,Atromitos_Athinon_FC,1.0,2.0
2024-09-15,Panserraikos,Levad_Levadia,2.0,2.0
2024-09-15,Olympiakos_Piraeus,Panetolikos,0.0,0.0
2024-09-15,OFI_Crete,Aris_Saloniki,3.0,2.0
2024-09-15,PAOK_Saloniki,Panathinaikos_Athens,0.0,0.0
2024-09-16,Athens_AEK,Volos_NFC,2.0,0.0
2024-09-15,Asteras_Tripolis,Atromitos_Athinon_FC,1.0,2.0
2024-09-15,Lamia,Kallithea,0.0,0.0
2024-09-22,Levad_Levadia,OFI_Crete,1.0,1.0
2024-09-22,Panathinaikos_Athens,Panserraikos,3.0,1.0
2024-09-22,Aris_Saloniki,Olympiakos_Piraeus,2.0,1.0
2024-09-22,Panetolikos,Asteras_Tripolis,1.0,1.0
2024-09-22,Volos_NFC,PAOK_Saloniki,1.0,4.0
2024-09-22,Atromitos_Athinon_FC,Lamia,4.0,2.0
2024-09-22,Kallithea,Athens_AEK,0.0,0.0
2024-09-28,Volos_NFC,Kallithea,1.0,1.0
2024-09-28,Asteras_Tripolis,Levad_Levadia,1.0,1.0
2024-09-29,OFI_Crete,Panetolikos,1.0,2.0
2024-09-29,Olympiakos_Piraeus,Atromitos_Athinon_FC,2.0,0.0
2024-09-29,Athens_AEK,Panathinaikos_Athens,2.0,0.0
2024-09-29,PAOK_Saloniki,Aris_Saloniki,0.0,1.0
2024-09-30,Lamia,Panserraikos,1.0,2.0
2024-10-05,Atromitos_Athinon_FC,Volos_NFC,1.0,2.0
2024-10-05,Panetolikos,Athens_AEK,1.0,0.0
2024-10-05,Aris_Saloniki,Lamia,2.0,0.0
2024-10-06,Panserraikos,OFI_Crete,2.0,3.0
2024-10-06,Kallithea,Asteras_Tripolis,1.0,3.0
2024-10-06,Levad_Levadia,PAOK_Saloniki,0.0,2.0
2024-10-06,Panathinaikos_Athens,Olympiakos_Piraeus,0.0,0.0
2024-10-19,Volos_NFC,Panserraikos,0.0,1.0
2024-10-19,Atromitos_Athinon_FC,Panetolikos,0.0,2.0
2024-10-19,Lamia,Asteras_Tripolis,0.0,0.0
2024-10-20,Olympiakos_Piraeus,Levad_Levadia,2.0,2.0
2024-10-20,OFI_Crete,Panathinaikos_Athens,0.0,1.0
2024-10-20,Aris_Saloniki,Kallithea,2.0,0.0
2024-10-20,Athens_AEK,PAOK_Saloniki,1.0,1.0
2024-10-26,Panetolikos,Volos_NFC,0.0,1.0
2024-10-26,Levad_Levadia,Lamia,2.0,2.0
2024-10-26,Panserraikos,Athens_AEK,1.0,0.0
2024-10-27,Asteras_Tripolis,Olympiakos_Piraeus,1.0,0.0
2024-10-27,Panathinaikos_Athens,Aris_Saloniki,1.0,1.0
2024-10-27,PAOK_Saloniki,OFI_Crete,1.0,2.0
2024-10-27,Kallithea,Atromitos_Athinon_FC,0.0,3.0
2024-11-02,Olympiakos_Piraeus,Panserraikos,2.0,1.0
2024-11-02,Kallithea,Panetolikos,1.0,1.0
2024-11-03,Aris_Saloniki,Levad_Levadia,3.0,1.0
2024-11-03,Volos_NFC,Panathinaikos_Athens,0.0,1.0
2024-11-03,Atromitos_Athinon_FC,Athens_AEK,0.0,1.0
2024-11-03,Lamia,PAOK_Saloniki,1.0,2.0
2024-11-04,Asteras_Tripolis,OFI_Crete,3.0,0.0
2024-11-09,Panetolikos,Aris_Saloniki,2.0,1.0
2024-11-09,Panserraikos,Atromitos_Athinon_FC,2.0,3.0
2024-11-09,Athens_AEK,Asteras_Tripolis,3.0,0.0
2024-11-10,OFI_Crete,Kallithea,2.0,2.0
2024-11-10,Levad_Levadia,Volos_NFC,3.0,2.0
2024-11-10,Panathinaikos_Athens,Lamia,1.0,0.0
2024-11-10,PAOK_Saloniki,Olympiakos_Piraeus,2.0,3.0
2024-11-22,Kallithea,Panserraikos,1.0,2.0
2024-11-23,Lamia,OFI_Crete,1.0,1.0
2024-11-23,Aris_Saloniki,Volos_NFC,0.0,1.0
2024-11-24,Panetolikos,Panathinaikos_Athens,1.0,2.0
2024-11-24,Asteras_Tripolis,PAOK_Saloniki,1.0,2.0
2024-11-24,Olympiakos_Piraeus,Athens_AEK,4.0,1.0
2024-11-25,Atromitos_Athinon_FC,Levad_Levadia,2.0,1.0
2024-11-30,Volos_NFC,Lamia,0.0,0.0
2024-11-30,Levad_Levadia,Panetolikos,1.0,1.0
2024-11-30,Athens_AEK,Aris_Saloniki,4.0,0.0
2024-12-01,Panserraikos,Asteras_Tripolis,2.0,1.0
2024-12-01,OFI_Crete,Olympiakos_Piraeus,0.0,2.0
