date,home_team,away_team,home_score,away_score
2024-09-13,Club_Brugge_II,RFC_Seraing,1.0,1.0
2024-09-14,Francs_Borains,Lommel,1.0,3.0
2024-09-14,RFC_de_Liege,Anderlecht_II,3.0,3.0
2024-09-15,Waasland,Genk_II,3.0,2.0
2024-09-13,Lokeren-Temse,Patro_Eisden,2.0,2.0
2024-09-14,RWDM,Lierse_Kempenzonen,3.0,0.0
2024-09-15,Eupen,Waregem,1.0,3.0
2024-09-15,Deinze,RAAL_La_Louviere,1.0,2.0
2024-09-20,Lommel,Anderlecht_II,2.0,1.0
2024-09-20,Waasland,RFC_Seraing,0.0,0.0
2024-09-21,Lierse_Kempenzonen,Eupen,3.0,0.0
2024-09-21,Genk_II,RWDM,0.0,3.0
2024-09-21,Patro_Eisden,Francs_Borains,4.0,1.0
2024-09-22,Waregem,RFC_de_Liege,3.0,1.0
2024-09-22,Deinze,Club_Brugge_II,2.0,0.0
2024-09-22,RAAL_La_Louviere,Lokeren-Temse,2.0,0.0
2024-09-27,Eupen,Genk_II,3.0,1.0
2024-09-27,Francs_Borains,RWDM,1.0,2.0
2024-09-28,Club_Brugge_II,Waasland,2.0,0.0
2024-09-28,Lommel,Lierse_Kempenzonen,1.0,1.0
2024-09-28,RAAL_La_Louviere,Patro_Eisden,,
2024-09-28,Lokeren-Temse,Deinze,0.0,0.0
2024-09-29,RFC_Seraing,RFC_de_Liege,0.0,3.0
2024-09-29,Anderlecht_II,Waregem,2.0,3.0
2024-09-29,RAAL_La_Louviere,Patro_Eisden,0.0,2.0
2024-10-04,Patro_Eisden,Deinze,3.0,1.0
2024-10-04,RFC_de_Liege,Lommel,1.0,1.0
2024-10-05,Waasland,Lokeren-Temse,0.0,1.0
2024-10-05,RFC_Seraing,Eupen,1.0,2.0
2024-10-05,RWDM,RAAL_La_Louviere,1.0,1.0
2024-10-06,Genk_II,Anderlecht_II,1.0,0.0
2024-10-06,Waregem,Club_Brugge_II,2.0,1.0
2024-10-06,Lierse_Kempenzonen,Francs_Borains,4.0,0.0
2024-10-18,Francs_Borains,RFC_de_Liege,1.0,2.0
2024-10-18,RAAL_La_Louviere,Waasland,2.0,0.0
2024-10-19,Club_Brugge_II,Lierse_Kempenzonen,3.0,1.0
2024-10-19,Deinze,Genk_II,1.0,0.0
2024-10-19,Lommel,Eupen,1.0,1.0
2024-10-20,Anderlecht_II,RWDM,2.0,1.0
2024-10-20,Patro_Eisden,Waregem,0.0,1.0
2024-10-20,Lokeren-Temse,RFC_Seraing,0.0,1.0
2024-10-25,Genk_II,Lommel,0.0,4.0
2024-10-25,RFC_Seraing,Patro_Eisden,0.0,0.0
2024-10-26,RWDM,Deinze,3.0,2.0
2024-10-26,Waasland,Anderlecht_II,1.0,1.0
2024-10-26,Waregem,Francs_Borains,2.0,2.0
2024-10-27,Lierse_Kempenzonen,RAAL_La_Louviere,1.0,2.0
2024-10-27,RFC_de_Liege,Club_Brugge_II,1.0,1.0
2024-10-27,Eupen,Lokeren-Temse,0.0,1.0
2024-11-01,RWDM,Waregem,2.0,1.0
2024-11-02,Club_Brugge_II,Lommel,,
2024-11-02,Anderlecht_II,Eupen,2.0,2.0
2024-11-02,RAAL_La_Louviere,RFC_de_Liege,3.0,1.0
2024-11-02,Lokeren-Temse,Genk_II,,
2024-11-03,Francs_Borains,RFC_Seraing,0.0,1.0
2024-11-03,Patro_Eisden,Lierse_Kempenzonen,3.0,3.0
2024-11-03,Deinze,Waasland,3.0,1.0
2024-11-01,Club_Brugge_II,Lommel,1.0,3.0
2024-11-03,Lokeren-Temse,Genk_II,4.0,0.0
2024-11-08,Lierse_Kempenzonen,Lokeren-Temse,2.0,2.0
2024-11-08,RFC_de_Liege,RWDM,2.0,1.0
2024-11-09,Genk_II,Club_Brugge_II,1.0,2.0
2024-11-09,Lommel,Deinze,1.0,1.0
2024-11-09,Waasland,Francs_Borains,4.0,0.0
2024-11-10,Waregem,RAAL_La_Louviere,,
2024-11-10,RFC_Seraing,Anderlecht_II,2.0,2.0
2024-11-10,Eupen,Patro_Eisden,0.0,4.0
2024-11-22,Club_Brugge_II,Eupen,0.0,4.0
2024-11-22,Lierse_Kempenzonen,Genk_II,2.0,2.0
2024-11-23,Deinze,Francs_Borains,0.0,3.0
2024-11-23,Patro_Eisden,RFC_de_Liege,,
2024-11-23,RAAL_La_Louviere,Lommel,,
2024-11-23,RWDM,Waasland,0.0,2.0
2024-11-23,Lokeren-Temse,Anderlecht_II,0.0,1.0
2024-11-24,Patro_Eisden,RFC_de_Liege,2.0,0.0
2024-11-24,RAAL_La_Louviere,Lommel,5.0,1.0
2024-11-24,Waregem,RFC_Seraing,5.0,1.0
2024-11-29,Lommel,Lokeren-Temse,1.0,1.0
2024-11-29,Genk_II,Waregem,2.0,3.0
2024-11-30,Anderlecht_II,Lierse_Kempenzonen,2.0,0.0
2024-11-30,Waasland,Patro_Eisden,0.0,0.0
2024-12-01,RFC_Seraing,RWDM,4.0,4.0
2024-12-01,Eupen,RAAL_La_Louviere,3.0,4.0
2024-12-01,Francs_Borains,Club_Brugge_II,1.0,2.0
2024-12-07,RAAL_La_Louviere,Genk_II,2.0,1.0
2024-12-07,Club_Brugge_II,Anderlecht_II,,
2024-12-07,Lierse_Kempenzonen,RFC_de_Liege,,
2024-12-07,Waregem,Waasland,4.0,0.0
2024-12-08,Francs_Borains,Eupen,3.0,2.0
2024-12-08,Lokeren-Temse,RWDM,1.0,4.0
2024-12-08,Patro_Eisden,Lommel,4.0,0.0
2024-12-06,Club_Brugge_II,Anderlecht_II,3.0,0.0
2024-12-06,Deinze,RFC_Seraing,0.0,1.0
2024-12-06,Lierse_Kempenzonen,RFC_de_Liege,2.0,1.0
2024-12-13,RFC_Seraing,RAAL_La_Louviere,0.0,1.0
2024-12-13,Waasland,Lierse_Kempenzonen,1.0,0.0
2024-12-14,Lommel,Waregem,1.0,2.0
2024-12-14,RFC_de_Liege,Lokeren-Temse,,
2024-12-14,RWDM,Club_Brugge_II,,
2024-12-14,Anderlecht_II,Francs_Borains,0.0,1.0
2024-12-15,Genk_II,Patro_Eisden,1.0,3.0
2024-12-15,RFC_de_Liege,Lokeren-Temse,0.0,1.0
2024-12-15,RWDM,Club_Brugge_II,1.0,0.0
2024-12-20,Club_Brugge_II,Waregem,0.0,3.0
2024-12-20,Francs_Borains,Genk_II,2.0,2.0
2024-12-21,Eupen,RFC_de_Liege,0.0,1.0
2024-12-21,RAAL_La_Louviere,RWDM,0.0,0.0
2024-12-22,Lokeren-Temse,Waasland,0.0,1.0
2024-12-22,Patro_Eisden,RFC_Seraing,2.0,3.0
2024-12-22,Lierse_Kempenzonen,Lommel,1.0,0.0
2025-01-10,Lommel,Francs_Borains,,
2025-01-10,Lokeren-Temse,Eupen,,
2025-01-11,Anderlecht_II,Genk_II,,
2025-01-11,RFC_Seraing,Lierse_Kempenzonen,,
2025-01-11,Waasland,RAAL_La_Louviere,,
2025-01-11,RWDM,RFC_de_Liege,2.0,1.0
2025-01-11,Waregem,Patro_Eisden,3.0,2.0
2025-01-12,Waasland,RAAL_La_Louviere,0.0,0.0
2025-01-17,Patro_Eisden,Lokeren-Temse,4.0,1.0
2025-01-18,Eupen,RWDM,0.0,1.0
2025-01-18,Francs_Borains,Waasland,0.0,0.0
2025-01-18,RAAL_La_Louviere,Anderlecht_II,2.0,2.0
2025-01-19,RFC_de_Liege,Waregem,1.0,1.0
2025-01-19,Lierse_Kempenzonen,Club_Brugge_II,1.0,3.0
2025-01-19,Genk_II,RFC_Seraing,2.0,2.0
2025-01-25,RFC_Seraing,Francs_Borains,1.0,1.0
2025-01-25,RWDM,Genk_II,,
2025-01-25,Lokeren-Temse,Lierse_Kempenzonen,,
2025-01-25,Waregem,Eupen,3.0,2.0
2025-01-26,Lommel,RFC_de_Liege,0.0,2.0
2025-01-26,Club_Brugge_II,RAAL_La_Louviere,2.0,1.0
2025-01-24,Lokeren-Temse,Lierse_Kempenzonen,1.0,1.0
2025-01-25,Anderlecht_II,Patro_Eisden,1.0,1.0
2025-01-28,Anderlecht_II,Genk_II,4.0,1.0
2025-01-28,RFC_Seraing,Lierse_Kempenzonen,0.0,2.0
2025-01-28,Lokeren-Temse,Eupen,0.0,0.0
2025-01-29,Lommel,Francs_Borains,1.0,2.0
2025-01-31,RFC_de_Liege,RFC_Seraing,2.0,1.0
2025-02-01,Anderlecht_II,Club_Brugge_II,2.0,3.0
2025-02-01,Eupen,Lommel,3.0,2.0
2025-02-01,Lierse_Kempenzonen,RWDM,0.0,0.0
2025-02-02,Francs_Borains,Patro_Eisden,1.0,3.0
2025-02-02,RAAL_La_Louviere,Waregem,0.0,0.0
2025-02-02,Genk_II,Waasland,3.0,3.0
2025-02-08,Eupen,Lierse_Kempenzonen,,
2025-02-08,Lommel,Club_Brugge_II,,
2025-02-08,Patro_Eisden,Genk_II,1.0,0.0
2025-02-08,RFC_de_Liege,Francs_Borains,0.0,1.0
2025-02-08,RFC_Seraing,Waasland,,
2025-02-08,RWDM,Anderlecht_II,1.0,0.0
2025-02-08,Lokeren-Temse,RAAL_La_Louviere,,
2025-02-07,Lommel,Club_Brugge_II,0.0,2.0
