date,home_team,away_team,home_score,away_score
2024-09-13,Cesena,Modena,,
2024-09-14,Cosenza,Sampdoria_Genoa,,
2024-09-14,Bari,Mantova,2.0,0.0
2024-09-14,Brescia,Frosinone,4.0,0.0
2024-09-14,Cittadella,Catanzaro,0.0,0.0
2024-09-14,Cremonese,Spezia,1.0,1.0
2024-09-14,Juve_Stabia,Palermo,1.0,3.0
2024-09-15,Carrarese,Sassuolo,0.0,2.0
2024-09-15,Reggiana,Sudtirol_Bolzano_FC,1.0,3.0
2024-09-15,Salernitana,Pisa_AC,2.0,3.0
2024-09-15,Cosenza,Sampdoria_Genoa,2.0,1.0
2024-09-20,Catanzaro,Cremonese,1.0,2.0
2024-09-21,Cosenza,Sassuolo,0.0,1.0
2024-09-21,Palermo,Cesena,0.0,0.0
2024-09-21,Pisa_AC,Brescia,2.0,1.0
2024-09-21,Reggiana,Salernitana,0.0,0.0
2024-09-21,Sampdoria_Genoa,Sudtirol_Bolzano_FC,1.0,0.0
2024-09-21,Modena,Juve_Stabia,3.0,0.0
2024-09-22,Frosinone,Bari,0.0,3.0
2024-09-22,Mantova,Cittadella,1.0,0.0
2024-09-22,Spezia,Carrarese,4.0,2.0
2024-09-27,Cittadella,Frosinone,1.0,2.0
2024-09-28,Cesena,Mantova,,
2024-09-28,Juve_Stabia,Pisa_AC,,
2024-09-28,Modena,Sampdoria_Genoa,,
2024-09-28,Bari,Cosenza,1.0,1.0
2024-09-28,Carrarese,Reggiana,0.0,0.0
2024-09-28,Sassuolo,Spezia,0.0,0.0
2024-09-29,Salernitana,Catanzaro,0.0,0.0
2024-09-28,Sudtirol_Bolzano_FC,Palermo,,
2024-09-30,Brescia,Cremonese,3.0,2.0
2024-09-29,Cesena,Mantova,4.0,2.0
2024-09-29,Juve_Stabia,Pisa_AC,2.0,0.0
2024-09-29,Modena,Sampdoria_Genoa,1.0,3.0
2024-09-30,Sudtirol_Bolzano_FC,Palermo,1.0,3.0
2024-10-04,Sampdoria_Genoa,Juve_Stabia,1.0,2.0
2024-10-05,Frosinone,Carrarese,0.0,1.0
2024-10-05,Pisa_AC,Cesena,3.0,1.0
2024-10-05,Sassuolo,Cittadella,6.0,1.0
2024-10-05,Spezia,Reggiana,1.0,0.0
2024-10-06,Catanzaro,Modena,2.0,2.0
2024-10-06,Cosenza,Sudtirol_Bolzano_FC,0.0,2.0
