date,home_team,away_team,home_score,away_score
2024-09-07,Shimizu,V-Varen-Nagasaki,1.0,1.0
2024-09-07,JEF_United,Mito_Hollyhock,4.0,0.0
2024-09-07,Ehime_FC,Yokohama_FC,1.0,4.0
2024-09-07,Fujieda_MYFC,Tochigi_SC,1.0,0.0
2024-09-07,Kagoshima,Iwaki,1.0,3.0
2024-09-07,Trinita_Oita,Montedio_Yamagata,0.0,3.0
2024-09-07,Renofa-Yamaguchi,Tokushima_Vortis,1.0,2.0
2024-09-07,Thespa_Kusatsu,Vegalta_Sendai,0.0,0.0
2024-09-08,Okayama_Fagiano,Blaublitz-Akita,0.0,1.0
2024-09-14,Blaublitz-Akita,JEF_United,1.0,0.0
2024-09-14,Montedio_Yamagata,Thespa_Kusatsu,4.0,1.0
2024-09-14,Okayama_Fagiano,Ehime_FC,3.0,0.0
2024-09-14,Shimizu,Renofa-Yamaguchi,4.0,1.0
2024-09-14,Tokushima_Vortis,Trinita_Oita,3.0,1.0
2024-09-14,Vegalta_Sendai,Fujieda_MYFC,2.0,3.0
2024-09-14,Yokohama_FC,Ventforet_Kofu,,
2024-09-15,Iwaki,V-Varen-Nagasaki,0.0,2.0
2024-09-15,Kagoshima,Rosso_Kumamoto,0.0,2.0
2024-09-15,Tochigi_SC,Mito_Hollyhock,2.0,3.0
2024-09-15,Yokohama_FC,Ventforet_Kofu,1.0,0.0
2024-09-18,Tokushima_Vortis,Shimizu,1.0,2.0
2024-09-21,Ehime_FC,Montedio_Yamagata,1.0,3.0
2024-09-21,JEF_United,Renofa-Yamaguchi,4.0,1.0
2024-09-21,Rosso_Kumamoto,Blaublitz-Akita,3.0,1.0
2024-09-21,Vegalta_Sendai,Ventforet_Kofu,2.0,2.0
2024-09-21,Yokohama_FC,Trinita_Oita,1.0,1.0
2024-09-22,Mito_Hollyhock,Okayama_Fagiano,0.0,0.0
2024-09-22,V-Varen-Nagasaki,Thespa_Kusatsu,2.0,0.0
2024-09-22,Fujieda_MYFC,Shimizu,2.0,3.0
2024-09-22,Tokushima_Vortis,Iwaki,0.0,1.0
2024-09-22,Tochigi_SC,Kagoshima,2.0,1.0
2024-09-25,Ventforet_Kofu,Rosso_Kumamoto,2.0,4.0
