date,home_team,away_team,home_score,away_score
2024-09-14,Chungbuk_Cheongju,Seoul_E-Land_FC,1.0,2.0
2024-09-14,Chungnam_Asan,Ansan_Greeners,1.0,1.0
2024-09-14,Suwon_Bluewings,Cheonan_City,1.0,2.0
2024-09-15,Gyeongnam,Bucheon_FC,1.0,4.0
2024-09-15,Chunnam_Dragons,Busan_I'Park,1.0,2.0
2024-09-15,Gimpo_Citizen,Anyang,1.0,2.0
2024-09-21,Chungnam_Asan,Chunnam_Dragons,2.0,1.0
2024-09-21,Anyang,Ansan_Greeners,2.0,1.0
2024-09-21,Cheonan_City,Chungbuk_Cheongju,1.0,0.0
2024-09-22,Bucheon_FC,Gimpo_Citizen,2.0,0.0
2024-09-22,Seongnam_Ilhwa,Suwon_Bluewings,1.0,2.0
2024-09-22,Busan_I'Park,Gyeongnam,1.0,1.0
2024-09-24,Ansan_Greeners,Chungbuk_Cheongju,3.0,2.0
2024-09-24,Chungnam_Asan,Cheonan_City,2.0,0.0
2024-09-24,Seoul_E-Land_FC,Anyang,1.0,0.0
2024-09-25,Bucheon_FC,Seongnam_Ilhwa,3.0,0.0
2024-09-25,Gyeongnam,Gimpo_Citizen,1.0,1.0
2024-09-25,Suwon_Bluewings,Busan_I'Park,0.0,1.0
2024-09-28,Anyang,Chungnam_Asan,0.0,1.0
2024-09-28,Gyeongnam,Suwon_Bluewings,1.0,1.0
2024-09-29,Ansan_Greeners,Busan_I'Park,0.0,5.0
2024-09-29,Chungbuk_Cheongju,Seongnam_Ilhwa,1.0,1.0
2024-09-30,Chunnam_Dragons,Bucheon_FC,3.0,1.0
2024-09-30,Seoul_E-Land_FC,Gimpo_Citizen,0.0,2.0
2024-10-05,Cheonan_City,Gyeongnam,3.0,1.0
2024-10-05,Busan_I'Park,Seoul_E-Land_FC,0.0,0.0
2024-10-05,Gimpo_Citizen,Chungnam_Asan,3.0,0.0
2024-10-05,Bucheon_FC,Chungbuk_Cheongju,0.0,0.0
2024-10-05,Seongnam_Ilhwa,Chunnam_Dragons,0.0,1.0
2024-10-06,Suwon_Bluewings,Anyang,1.0,0.0
2024-10-19,Bucheon_FC,Suwon_Bluewings,1.0,1.0
2024-10-19,Chungbuk_Cheongju,Gimpo_Citizen,0.0,1.0
2024-10-19,Chunnam_Dragons,Ansan_Greeners,1.0,1.0
2024-10-20,Cheonan_City,Seoul_E-Land_FC,0.0,3.0
2024-10-20,Seongnam_Ilhwa,Chungnam_Asan,2.0,3.0
2024-10-20,Anyang,Busan_I'Park,4.0,1.0
2024-10-26,Chunnam_Dragons,Cheonan_City,0.0,2.0
2024-10-26,Ansan_Greeners,Bucheon_FC,1.0,0.0
2024-10-26,Chungbuk_Cheongju,Anyang,0.0,2.0
2024-10-27,Gimpo_Citizen,Suwon_Bluewings,0.0,0.0
2024-10-27,Seoul_E-Land_FC,Chungnam_Asan,1.0,2.0
2024-10-27,Gyeongnam,Seongnam_Ilhwa,5.0,1.0
2024-10-29,Anyang,Chunnam_Dragons,1.0,1.0
2024-10-29,Busan_I'Park,Chungbuk_Cheongju,0.0,1.0
2024-10-29,Cheonan_City,Bucheon_FC,1.0,1.0
2024-10-30,Ansan_Greeners,Gyeongnam,1.0,1.0
2024-10-30,Seoul_E-Land_FC,Seongnam_Ilhwa,1.0,0.0
2024-10-30,Suwon_Bluewings,Chungnam_Asan,2.0,1.0
2024-11-02,Bucheon_FC,Anyang,0.0,0.0
2024-11-02,Cheonan_City,Busan_I'Park,2.0,3.0
2024-11-03,Gyeongnam,Seoul_E-Land_FC,0.0,3.0
