date,home_team,away_team,home_score,away_score
2024-09-02,Asane,Kongsvinger,2.0,1.0
2024-09-02,Levanger,Egersunds_IK,2.0,1.0
2024-09-02,Ranheim,Start_Kristiansand,2.0,3.0
2024-09-02,Raufoss,Sogndal,4.0,1.0
2024-09-15,Sogndal,Lyn_SFK,0.0,1.0
2024-09-16,Egersunds_IK,Ranheim,0.0,2.0
2024-09-16,Aalesund,Sandnes_Ulf,2.0,0.0
2024-09-16,Kongsvinger,Moss,0.0,0.0
2024-09-16,Mjondalen_IF,Bryne_IL,1.0,1.0
2024-09-16,Stabaek,Raufoss,1.0,2.0
2024-09-16,Start_Kristiansand,Levanger,1.0,1.0
2024-09-16,Valerengen,Asane,5.0,0.0
2024-09-21,Kongsvinger,Aalesund,1.0,5.0
2024-09-21,Asane,Mjondalen_IF,5.0,0.0
2024-09-21,Bryne_IL,Valerengen,1.0,1.0
2024-09-21,Levanger,Raufoss,0.0,1.0
2024-09-21,Ranheim,Moss,1.0,0.0
2024-09-21,Sandnes_Ulf,Sogndal,1.0,0.0
2024-09-21,Stabaek,Start_Kristiansand,2.0,3.0
2024-09-25,Egersunds_IK,Stabaek,2.0,1.0
2024-09-25,Levanger,Lyn_SFK,1.0,3.0
2024-09-25,Mjondalen_IF,Kongsvinger,1.0,2.0
2024-09-25,Moss,Sandnes_Ulf,6.0,1.0
2024-09-25,Raufoss,Ranheim,1.0,1.0
2024-09-25,Sogndal,Bryne_IL,2.0,3.0
2024-09-25,Start_Kristiansand,Asane,3.0,1.0
2024-09-24,Valerengen,Aalesund,4.0,1.0
2024-09-25,Valerengen,Aalesund,4.0,1.0
2024-09-28,Aalesund,Mjondalen_IF,0.0,1.0
2024-09-28,Asane,Egersunds_IK,1.0,2.0
2024-09-28,Bryne_IL,Moss,3.0,0.0
2024-09-28,Kongsvinger,Valerengen,2.0,2.0
2024-09-28,Ranheim,Levanger,1.0,1.0
2024-09-28,Sandnes_Ulf,Start_Kristiansand,0.0,4.0
2024-09-28,Stabaek,Sogndal,2.0,0.0
2024-09-29,Lyn_SFK,Raufoss,1.0,2.0
2024-10-02,Lyn_SFK,Egersunds_IK,2.0,1.0
2024-10-02,Levanger,Stabaek,1.0,2.0
2024-10-02,Raufoss,Sandnes_Ulf,1.0,1.0
2024-10-02,Valerengen,Mjondalen_IF,4.0,2.0
2024-10-05,Sogndal,Aalesund,0.0,1.0
2024-10-05,Start_Kristiansand,Bryne_IL,2.0,1.0
2024-10-06,Egersunds_IK,Kongsvinger,0.0,1.0
2024-10-06,Moss,Asane,1.0,1.0
2024-10-06,Ranheim,Lyn_SFK,1.0,1.0
2024-10-21,Aalesund,Start_Kristiansand,3.0,1.0
2024-10-21,Asane,Ranheim,1.0,2.0
2024-10-21,Bryne_IL,Raufoss,1.0,0.0
2024-10-21,Kongsvinger,Stabaek,1.0,3.0
2024-10-21,Mjondalen_IF,Sogndal,0.0,0.0
2024-10-21,Moss,Levanger,5.0,1.0
2024-10-21,Sandnes_Ulf,Lyn_SFK,0.0,1.0
2024-10-21,Valerengen,Egersunds_IK,4.0,0.0
2024-10-27,Egersunds_IK,Mjondalen_IF,,
2024-10-27,Levanger,Sandnes_Ulf,,
2024-10-27,Lyn_SFK,Bryne_IL,,
2024-10-27,Ranheim,Aalesund,,
2024-10-27,Raufoss,Kongsvinger,,
2024-10-27,Sogndal,Asane,,
2024-10-27,Stabaek,Valerengen,,
2024-10-27,Start_Kristiansand,Moss,,
2024-10-25,Stabaek,Valerengen,1.0,2.0
2024-10-26,Egersunds_IK,Mjondalen_IF,3.0,1.0
2024-10-26,Levanger,Sandnes_Ulf,4.0,0.0
2024-10-26,Lyn_SFK,Bryne_IL,1.0,0.0
2024-10-26,Ranheim,Aalesund,0.0,1.0
2024-10-26,Raufoss,Kongsvinger,1.0,1.0
2024-10-26,Sogndal,Asane,0.0,2.0
2024-10-26,Start_Kristiansand,Moss,1.0,1.0
2024-11-02,Aalesund,Levanger,4.0,3.0
2024-11-02,Asane,Lyn_SFK,3.0,2.0
2024-11-02,Bryne_IL,Egersunds_IK,2.0,1.0
2024-11-02,Kongsvinger,Sogndal,0.0,1.0
2024-11-02,Mjondalen_IF,Stabaek,3.0,0.0
2024-11-02,Moss,Raufoss,3.0,2.0
2024-11-02,Sandnes_Ulf,Ranheim,2.0,6.0
2024-11-02,Valerengen,Start_Kristiansand,1.0,1.0
2024-11-09,Egersunds_IK,Sandnes_Ulf,3.0,1.0
2024-11-09,Levanger,Asane,2.0,3.0
2024-11-09,Lyn_SFK,Moss,1.0,2.0
2024-11-09,Ranheim,Bryne_IL,1.0,4.0
2024-11-09,Raufoss,Mjondalen_IF,0.0,1.0
2024-11-09,Sogndal,Valerengen,0.0,3.0
