date,home_team,away_team,home_score,away_score
2024-09-13,Karlsruher,Schalke_04,2.0,0.0
2024-09-13,Münster,Paderborn,3.0,3.0
2024-09-14,Darmstatd_98,Braunschweig,1.0,1.0
2024-09-14,Ulm,Nürnberg_FC,1.0,2.0
2024-09-14,Hannover_96,Kaiserslautern,3.0,1.0
2024-09-14,Köln,Magdeburg_FC,1.0,2.0
2024-09-15,Fürth,Elversberg_07,0.0,0.0
2024-09-15,Hamburg_SV,Regensburg_SG,5.0,0.0
2024-09-15,Hertha_Berlin,Düsseldorf,0.0,2.0
2024-09-20,Schalke_04,Darmstatd_98,3.0,5.0
2024-09-21,Braunschweig,Fürth,2.0,0.0
2024-09-21,Düsseldorf,Köln,2.0,2.0
2024-09-21,Nürnberg_FC,Hertha_Berlin,0.0,2.0
2024-09-21,Kaiserslautern,Hamburg_SV,2.0,2.0
2024-09-22,Elversberg_07,Ulm,1.0,3.0
2024-09-22,Magdeburg_FC,Karlsruher,2.0,2.0
2024-09-22,Paderborn,Hannover_96,,
2024-09-22,Regensburg_SG,Münster,0.0,3.0
2024-09-20,Paderborn,Hannover_96,2.0,1.0
2024-09-28,Darmstatd_98,Magdeburg_FC,1.0,2.0
2024-09-28,Regensburg_SG,Kaiserslautern,0.0,0.0
2024-09-28,Münster,Schalke_04,1.0,2.0
2024-09-29,Köln,Karlsruher,4.0,4.0
2024-09-29,Fürth,Düsseldorf,,
2024-09-29,Hamburg_SV,Paderborn,,
2024-09-29,Hannover_96,Nürnberg_FC,2.0,0.0
2024-09-29,Hertha_Berlin,Elversberg_07,1.0,4.0
2024-09-29,Ulm,Braunschweig,,
2024-09-27,Fürth,Düsseldorf,1.0,2.0
2024-09-27,Ulm,Braunschweig,3.0,1.0
2024-09-28,Hamburg_SV,Paderborn,2.0,2.0
2024-10-04,Karlsruher,Darmstatd_98,3.0,3.0
2024-10-04,Paderborn,Regensburg_SG,3.0,0.0
2024-10-06,Köln,Ulm,,
2024-10-06,Braunschweig,Hannover_96,2.0,0.0
2024-10-06,Düsseldorf,Hamburg_SV,0.0,3.0
2024-10-06,Elversberg_07,Kaiserslautern,,
2024-10-06,Magdeburg_FC,Fürth,2.0,2.0
2024-10-06,Nürnberg_FC,Münster,,
2024-10-06,Schalke_04,Hertha_Berlin,,
2024-10-05,Köln,Ulm,2.0,0.0
2024-10-05,Elversberg_07,Kaiserslautern,1.0,0.0
2024-10-05,Nürnberg_FC,Münster,3.0,2.0
2024-10-05,Schalke_04,Hertha_Berlin,2.0,2.0
2024-10-18,Darmstatd_98,Köln,5.0,1.0
2024-10-19,Münster,Elversberg_07,1.0,1.0
2024-10-19,Kaiserslautern,Paderborn,3.0,0.0
2024-10-20,Fürth,Nürnberg_FC,0.0,4.0
2024-10-20,Hamburg_SV,Magdeburg_FC,3.0,1.0
2024-10-20,Hannover_96,Schalke_04,,
2024-10-20,Hertha_Berlin,Braunschweig,,
2024-10-20,Regensburg_SG,Düsseldorf,,
2024-10-20,Ulm,Karlsruher,0.0,1.0
2024-10-18,Hertha_Berlin,Braunschweig,3.0,1.0
2024-10-19,Hannover_96,Schalke_04,1.0,0.0
2024-10-19,Regensburg_SG,Düsseldorf,0.0,3.0
2024-10-25,Köln,Paderborn,1.0,2.0
2024-10-25,Nürnberg_FC,Regensburg_SG,8.0,3.0
2024-10-27,Braunschweig,Münster,1.0,1.0
2024-10-27,Darmstatd_98,Ulm,1.0,1.0
2024-10-27,Düsseldorf,Kaiserslautern,,
2024-10-27,Elversberg_07,Hamburg_SV,,
2024-10-27,Karlsruher,Hertha_Berlin,,
2024-10-27,Magdeburg_FC,Hannover_96,0.0,3.0
2024-10-27,Schalke_04,Fürth,,
2024-10-26,Elversberg_07,Hamburg_SV,4.0,2.0
2024-10-26,Karlsruher,Hertha_Berlin,1.0,3.0
2024-10-26,Schalke_04,Fürth,3.0,4.0
2024-10-26,Düsseldorf,Kaiserslautern,3.0,4.0
2024-11-01,Münster,Düsseldorf,1.0,0.0
2024-11-01,Ulm,Schalke_04,0.0,0.0
2024-11-02,Fürth,Darmstatd_98,1.0,5.0
2024-11-02,Hannover_96,Karlsruher,2.0,1.0
2024-11-02,Regensburg_SG,Elversberg_07,1.0,0.0
2024-11-02,Hertha_Berlin,Köln,0.0,1.0
2024-11-03,Hamburg_SV,Nürnberg_FC,1.0,1.0
2024-11-03,Kaiserslautern,Magdeburg_FC,2.0,2.0
2024-11-03,Paderborn,Braunschweig,0.0,0.0
2024-11-08,Braunschweig,Hamburg_SV,3.0,1.0
2024-11-08,Nürnberg_FC,Kaiserslautern,0.0,0.0
2024-11-09,Köln,Fürth,1.0,0.0
2024-11-09,Darmstatd_98,Hertha_Berlin,3.0,1.0
2024-11-09,Magdeburg_FC,Ulm,0.0,0.0
2024-11-09,Düsseldorf,Paderborn,1.0,1.0
2024-11-10,Elversberg_07,Hannover_96,3.0,1.0
2024-11-10,Karlsruher,Münster,1.0,1.0
2024-11-10,Schalke_04,Regensburg_SG,2.0,0.0
2024-11-22,Paderborn,Nürnberg_FC,3.0,2.0
2024-11-22,Münster,Köln,0.0,1.0
2024-11-23,Düsseldorf,Elversberg_07,0.0,2.0
2024-11-23,Hannover_96,Darmstatd_98,1.0,2.0
2024-11-24,Fürth,Karlsruher,,
2024-11-24,Hamburg_SV,Schalke_04,,
2024-11-24,Hertha_Berlin,Ulm,,
2024-11-24,Kaiserslautern,Braunschweig,3.0,2.0
2024-11-24,Regensburg_SG,Magdeburg_FC,0.0,1.0
2024-11-23,Fürth,Karlsruher,2.0,3.0
2024-11-23,Hertha_Berlin,Ulm,2.0,2.0
2024-11-23,Hamburg_SV,Schalke_04,2.0,2.0
2024-11-29,Magdeburg_FC,Hertha_Berlin,1.0,3.0
2024-11-29,Schalke_04,Kaiserslautern,0.0,3.0
2024-12-01,Köln,Hannover_96,,
2024-12-01,Braunschweig,Regensburg_SG,,
2024-12-01,Darmstatd_98,Münster,,
2024-12-01,Elversberg_07,Paderborn,,
2024-12-01,Karlsruher,Hamburg_SV,1.0,3.0
2024-12-01,Nürnberg_FC,Düsseldorf,2.0,2.0
2024-12-01,Ulm,Fürth,1.0,1.0
2024-11-30,Köln,Hannover_96,2.0,2.0
2024-11-30,Braunschweig,Regensburg_SG,0.0,0.0
2024-11-30,Elversberg_07,Paderborn,1.0,3.0
2024-11-30,Darmstatd_98,Münster,0.0,0.0
2024-12-07,Fürth,Hertha_Berlin,2.0,1.0
2024-12-07,Hannover_96,Ulm,3.0,2.0
2024-12-07,Kaiserslautern,Karlsruher,3.0,1.0
2024-12-07,Münster,Magdeburg_FC,1.0,2.0
2024-12-08,Düsseldorf,Braunschweig,5.0,0.0
2024-12-08,Elversberg_07,Nürnberg_FC,,
2024-12-08,Hamburg_SV,Darmstatd_98,2.0,2.0
2024-12-08,Paderborn,Schalke_04,,
2024-12-08,Regensburg_SG,Köln,0.0,1.0
2024-12-06,Elversberg_07,Nürnberg_FC,2.0,1.0
2024-12-06,Paderborn,Schalke_04,2.0,4.0
2024-12-13,Hertha_Berlin,Münster,1.0,2.0
2024-12-13,Karlsruher,Regensburg_SG,4.0,2.0
2024-12-14,Magdeburg_FC,Paderborn,1.0,1.0
2024-12-14,Schalke_04,Düsseldorf,1.0,1.0
2024-12-14,Ulm,Hamburg_SV,1.0,1.0
2024-12-14,Darmstatd_98,Kaiserslautern,5.0,1.0
2024-12-15,Köln,Nürnberg_FC,3.0,1.0
2024-12-15,Braunschweig,Elversberg_07,0.0,3.0
2024-12-15,Fürth,Hannover_96,1.0,0.0
2024-12-20,Düsseldorf,Magdeburg_FC,2.0,5.0
2024-12-20,Elversberg_07,Schalke_04,1.0,4.0
2024-12-21,Hamburg_SV,Fürth,5.0,0.0
2024-12-21,Paderborn,Karlsruher,1.0,2.0
2024-12-21,Münster,Ulm,0.0,0.0
2024-12-21,Nürnberg_FC,Braunschweig,1.0,0.0
2024-12-22,Hannover_96,Hertha_Berlin,0.0,0.0
2024-12-22,Kaiserslautern,Köln,0.0,1.0
2024-12-22,Regensburg_SG,Darmstatd_98,2.0,1.0
2025-01-17,Düsseldorf,Darmstatd_98,2.0,2.0
2025-01-17,Regensburg_SG,Hannover_96,0.0,1.0
2025-01-18,Braunschweig,Schalke_04,0.0,0.0
2025-01-18,Kaiserslautern,Ulm,2.0,1.0
2025-01-18,Münster,Fürth,2.0,1.0
2025-01-18,Hamburg_SV,Köln,1.0,0.0
2025-01-19,Elversberg_07,Magdeburg_FC,2.0,5.0
2025-01-19,Nürnberg_FC,Karlsruher,2.0,1.0
2025-01-19,Paderborn,Hertha_Berlin,1.0,2.0
2025-01-24,Fürth,Kaiserslautern,2.0,4.0
2025-01-24,Magdeburg_FC,Braunschweig,1.0,1.0
2025-01-25,Köln,Elversberg_07,1.0,0.0
2025-01-25,Karlsruher,Düsseldorf,2.0,3.0
2025-01-25,Schalke_04,Nürnberg_FC,3.0,1.0
