date,home_team,away_team,home_score,away_score
2024-09-14,Airdrieonians,Falkirk_FC,0.0,2.0
2024-09-14,Ayr._United,Partick_Thistle,1.0,1.0
2024-09-14,Dunfermline,Raith_Rovers,,
2024-09-14,Livingston,Hamilton,3.0,0.0
2024-09-14,Queen's_Park_FC,Greenock_Morton,1.0,0.0
2024-09-13,Dunfermline,Raith_Rovers,2.0,0.0
2024-09-21,Greenock_Morton,Airdrieonians,2.0,0.0
2024-09-21,Partick_Thistle,Dunfermline,1.0,0.0
2024-09-21,Queen's_Park_FC,Ayr._United,1.0,1.0
2024-09-21,Raith_Rovers,Hamilton,3.0,3.0
2024-09-28,Ayr._United,Greenock_Morton,1.0,0.0
2024-09-28,Dunfermline,Queen's_Park_FC,1.0,2.0
2024-09-28,Hamilton,Partick_Thistle,1.0,0.0
2024-09-28,Livingston,Airdrieonians,2.0,1.0
2024-09-28,Raith_Rovers,Falkirk_FC,1.0,0.0
2024-10-05,Airdrieonians,Dunfermline,1.0,1.0
2024-10-05,Falkirk_FC,Ayr._United,2.0,0.0
2024-10-05,Greenock_Morton,Raith_Rovers,2.0,0.0
2024-10-05,Queen's_Park_FC,Hamilton,1.0,0.0
2024-10-05,Partick_Thistle,Livingston,0.0,0.0
2024-10-08,Falkirk_FC,Livingston,0.0,0.0
2024-10-12,Partick_Thistle,Falkirk_FC,1.0,1.0
2024-10-18,Hamilton,Falkirk_FC,1.0,3.0
2024-10-19,Ayr._United,Livingston,1.0,2.0
2024-10-19,Dunfermline,Greenock_Morton,0.0,0.0
2024-10-19,Partick_Thistle,Airdrieonians,2.0,1.0
2024-10-19,Raith_Rovers,Queen's_Park_FC,1.0,1.0
2024-10-26,Airdrieonians,Ayr._United,0.0,1.0
2024-10-26,Falkirk_FC,Dunfermline,2.0,1.0
2024-10-26,Hamilton,Greenock_Morton,3.0,0.0
2024-10-26,Livingston,Raith_Rovers,2.0,1.0
2024-10-26,Queen's_Park_FC,Partick_Thistle,0.0,1.0
2024-10-29,Dunfermline,Livingston,3.0,0.0
2024-10-29,Greenock_Morton,Queen's_Park_FC,0.0,1.0
2024-10-29,Raith_Rovers,Airdrieonians,1.0,0.0
2024-11-01,Raith_Rovers,Ayr._United,2.0,0.0
2024-11-02,Airdrieonians,Hamilton,0.0,4.0
2024-11-02,Dunfermline,Partick_Thistle,0.0,1.0
2024-11-02,Falkirk_FC,Greenock_Morton,6.0,0.0
2024-11-02,Livingston,Queen's_Park_FC,1.0,1.0
2024-11-08,Greenock_Morton,Ayr._United,1.0,1.0
2024-11-09,Falkirk_FC,Airdrieonians,2.0,0.0
2024-11-09,Hamilton,Livingston,1.0,3.0
2024-11-09,Partick_Thistle,Raith_Rovers,1.0,1.0
2024-11-09,Queen's_Park_FC,Dunfermline,2.0,1.0
2024-11-16,Ayr._United,Queen's_Park_FC,3.0,2.0
2024-11-16,Dunfermline,Airdrieonians,1.0,0.0
2024-11-16,Livingston,Falkirk_FC,1.0,0.0
2024-11-16,Partick_Thistle,Hamilton,5.0,1.0
