date,home_team,away_team,home_score,away_score
2024-09-13,Vlašim,Slavia_Praha_B,,
2024-09-13,Zlín,Jihlava,,
2024-09-14,Vyškov,Chrudim_AFK,,
2024-09-14,Líšeň_SK,Sparta_Praha_B,,
2024-09-14,Táborsko,Varnsdorf,,
2024-09-15,Olomouc_B,Opava,,
2024-09-15,Žižkov_Viktoria,Ostrava_Baník_B,,
2024-09-16,Prostějov,Brno,,
2024-09-17,Varnsdorf,Chrudim_AFK,,
2024-09-17,Zlín,Slavia_Praha_B,2.0,1.0
2024-09-20,Opava,Prostějov,,
2024-09-21,Chrudim_AFK,Táborsko,0.0,0.0
2024-09-21,Sparta_Praha_B,Vyškov,1.0,0.0
2024-09-21,Brno,Líšeň_SK,1.0,1.0
2024-09-22,Ostrava_Baník_B,Zlín,0.0,1.0
2024-09-22,Slavia_Praha_B,Žižkov_Viktoria,2.0,2.0
2024-09-18,Varnsdorf,Chrudim_AFK,0.0,3.0
2024-09-22,Varnsdorf,Olomouc_B,2.0,3.0
2024-09-23,Jihlava,Vlašim,2.0,2.0
2024-09-28,Žižkov_Viktoria,Opava,4.0,1.0
2024-09-28,Zlín,Sparta_Praha_B,2.0,0.0
2024-09-28,Líšeň_SK,Chrudim_AFK,0.0,2.0
2024-09-28,Táborsko,Vyškov,0.0,0.0
2024-09-28,Vlašim,Ostrava_Baník_B,,
2024-09-28,Prostějov,Varnsdorf,1.0,1.0
2024-09-29,Olomouc_B,Brno,4.0,1.0
2024-09-29,Slavia_Praha_B,Jihlava,2.0,0.0
2024-09-27,Vlašim,Ostrava_Baník_B,3.0,2.0
2024-10-02,Líšeň_SK,Sparta_Praha_B,2.0,2.0
2024-10-02,Vyškov,Chrudim_AFK,0.0,3.0
2024-10-02,Olomouc_B,Opava,0.0,0.0
2024-10-02,Táborsko,Varnsdorf,2.0,0.0
2024-10-02,Žižkov_Viktoria,Ostrava_Baník_B,0.0,1.0
2024-10-02,Prostějov,Brno,3.0,1.0
2024-10-02,Vlašim,Slavia_Praha_B,2.0,2.0
