date,home_team,away_team,home_score,away_score
2024-09-02,Eibar,Levante,2.0,2.0
2024-09-02,Elche_FC,Cordoba,3.0,1.0
2024-09-06,Tenerife_CD,Santander,0.0,1.0
2024-09-07,Granada,La_Coruna,1.0,1.0
2024-09-07,Huesca,Burgos_Real,0.0,1.0
2024-09-07,Gijon_Sporting,Oviedo,3.0,1.0
2024-09-07,Cordoba,Málaga_FC,0.0,0.0
2024-09-08,Ferrol,Mirandes,0.0,0.0
2024-09-08,Cartagena,Levante,0.0,1.0
2024-09-08,Eldense_CD,Almeria,1.0,0.0
2024-09-08,Zaragoza,Elche_FC,3.0,0.0
2024-09-09,Albacete,Eibar,0.0,1.0
2024-09-09,Castellon_CD,Cádiz_FC,1.0,3.0
2024-09-13,Cordoba,La_Coruna,2.0,0.0
2024-09-14,Eibar,Tenerife_CD,1.0,0.0
2024-09-14,Málaga_FC,Huesca,1.0,0.0
2024-09-15,Mirandes,Albacete,2.0,0.0
2024-09-15,Almeria,Castellon_CD,,
2024-09-15,Burgos_Real,Zaragoza,1.0,0.0
2024-09-15,Levante,Eldense_CD,,
2024-09-15,Santander,Gijon_Sporting,,
2024-09-15,Oviedo,Cartagena,1.0,0.0
2024-09-15,Cádiz_FC,Ferrol,0.0,0.0
2024-09-15,Elche_FC,Granada,2.0,2.0
2024-09-14,Levante,Eldense_CD,3.0,1.0
2024-09-14,Santander,Gijon_Sporting,1.0,0.0
2024-09-16,Almeria,Castellon_CD,2.0,5.0
2024-09-20,Granada,Málaga_FC,2.0,2.0
2024-09-21,Ferrol,Albacete,1.0,4.0
2024-09-21,La_Coruna,Burgos_Real,0.0,2.0
2024-09-21,Eldense_CD,Oviedo,1.0,1.0
2024-09-21,Zaragoza,Levante,2.0,1.0
2024-09-22,Tenerife_CD,Gijon_Sporting,1.0,1.0
2024-09-22,Castellon_CD,Santander,0.0,1.0
2024-09-22,Cartagena,Cádiz_FC,1.0,2.0
2024-09-22,Elche_FC,Mirandes,1.0,0.0
2024-09-22,Almeria,Eibar,2.0,2.0
2024-09-23,Huesca,Cordoba,4.0,1.0
2024-09-28,Mirandes,Huesca,1.0,0.0
2024-09-28,Málaga_FC,Elche_FC,0.0,3.0
2024-09-29,Levante,Almeria,4.0,2.0
2024-09-29,Burgos_Real,Granada,2.0,2.0
2024-09-29,Castellon_CD,Tenerife_CD,2.0,1.0
2024-09-29,Albacete,La_Coruna,,
2024-09-29,Cádiz_FC,Eldense_CD,,
2024-09-29,Gijon_Sporting,Zaragoza,,
2024-09-29,Santander,Cartagena,,
2024-09-29,Cordoba,Ferrol,3.0,1.0
2024-09-29,Oviedo,Eibar,1.0,0.0
2024-09-27,Albacete,La_Coruna,2.0,5.0
2024-09-28,Cádiz_FC,Eldense_CD,1.0,2.0
2024-09-28,Gijon_Sporting,Zaragoza,1.0,0.0
2024-09-30,Santander,Cartagena,1.0,2.0
2024-10-04,Huesca,Cádiz_FC,3.0,1.0
2024-10-05,Ferrol,Elche_FC,1.0,0.0
2024-10-05,Eibar,Gijon_Sporting,1.0,3.0
2024-10-06,La_Coruna,Málaga_FC,0.0,0.0
2024-10-06,Eldense_CD,Castellon_CD,2.0,3.0
2024-10-06,Almeria,Burgos_Real,,
2024-10-06,Mirandes,Granada,,
2024-10-06,Tenerife_CD,Cartagena,,
2024-10-06,Zaragoza,Santander,,
2024-10-06,Levante,Oviedo,0.0,0.0
2024-10-06,Albacete,Cordoba,1.0,1.0
2024-10-05,Mirandes,Granada,0.0,1.0
2024-10-05,Almeria,Burgos_Real,2.0,0.0
2024-10-05,Zaragoza,Santander,2.0,3.0
2024-10-05,Tenerife_CD,Cartagena,2.0,0.0
2024-10-13,Santander,Levante,1.0,0.0
2024-10-13,Oviedo,Almeria,3.0,2.0
2024-10-13,Cádiz_FC,Málaga_FC,,
2024-10-13,Eibar,Eldense_CD,,
2024-10-13,Elche_FC,La_Coruna,0.0,0.0
2024-10-13,Cartagena,Ferrol,,
2024-10-13,Gijon_Sporting,Castellon_CD,,
2024-10-13,Granada,Cordoba,1.0,0.0
2024-10-13,Huesca,Albacete,2.0,2.0
2024-10-13,Tenerife_CD,Zaragoza,,
2024-10-13,Burgos_Real,Mirandes,0.0,1.0
2024-10-11,Tenerife_CD,Zaragoza,2.0,3.0
2024-10-12,Cartagena,Ferrol,0.0,1.0
2024-10-12,Cádiz_FC,Málaga_FC,2.0,2.0
2024-10-12,Eibar,Eldense_CD,1.0,0.0
2024-10-14,Gijon_Sporting,Castellon_CD,2.0,1.0
2024-10-18,Cordoba,Cartagena,2.0,1.0
2024-10-19,La_Coruna,Eldense_CD,1.0,1.0
