date,home_team,away_team,home_score,away_score
2024-09-13,Landskrona,Östers,0.0,0.0
2024-09-13,Östersunds_FK,Helsingborg,1.0,0.0
2024-09-13,Trelleborg_FF,Örebro_SK,2.0,1.0
2024-09-14,Oddevold,Varbergs_BoIS_FC,3.0,2.0
2024-09-14,Sandvikens_IF,Skövde_AIK,2.0,2.0
2024-09-14,Sundsvall,Brage,0.0,0.0
2024-09-14,Utsiktens_BK,Degerfors,0.0,3.0
2024-09-15,Gefle,Örgryte,2.0,3.0
2024-09-18,Brage,Utsiktens_BK,0.0,0.0
2024-09-18,Örebro_SK,Sandvikens_IF,1.0,0.0
2024-09-18,Östers,Trelleborg_FF,4.0,1.0
2024-09-18,Östersunds_FK,Sundsvall,1.0,2.0
2024-09-18,Skövde_AIK,Varbergs_BoIS_FC,2.0,2.0
2024-09-19,Degerfors,Gefle,1.0,0.0
2024-09-19,Helsingborg,Oddevold,0.0,0.0
2024-09-19,Örgryte,Landskrona,2.0,1.0
2024-09-21,Gefle,Östersunds_FK,,
2024-09-21,Landskrona,Helsingborg,,
2024-09-21,Utsiktens_BK,Örgryte,,
2024-09-22,Trelleborg_FF,Skövde_AIK,1.0,1.0
2024-09-22,Varbergs_BoIS_FC,Brage,0.0,1.0
2024-09-23,Oddevold,Örebro_SK,0.0,0.0
2024-09-23,Sandvikens_IF,Degerfors,0.0,1.0
2024-09-23,Sundsvall,Östers,0.0,2.0
2024-09-24,Gefle,Östersunds_FK,0.0,0.0
2024-09-24,Landskrona,Helsingborg,0.0,1.0
2024-09-24,Utsiktens_BK,Örgryte,1.0,1.0
2024-09-28,Degerfors,Trelleborg_FF,2.0,0.0
2024-09-28,Skövde_AIK,Sundsvall,0.0,2.0
2024-09-28,Brage,Sandvikens_IF,1.0,2.0
2024-09-28,Örgryte,Varbergs_BoIS_FC,3.0,3.0
2024-09-28,Örebro_SK,Landskrona,1.0,0.0
2024-09-29,Helsingborg,Gefle,4.0,0.0
2024-09-30,Östers,Utsiktens_BK,5.0,2.0
2024-09-30,Östersunds_FK,Oddevold,0.0,2.0
2024-10-04,Landskrona,Skövde_AIK,4.0,1.0
2024-10-05,Sandvikens_IF,Östersunds_FK,3.0,1.0
2024-10-05,Utsiktens_BK,Helsingborg,4.0,0.0
2024-10-05,Gefle,Brage,2.0,1.0
2024-10-05,Varbergs_BoIS_FC,Örebro_SK,1.0,1.0
2024-10-06,Trelleborg_FF,Örgryte,1.0,0.0
2024-10-06,Oddevold,Östers,1.0,1.0
2024-10-06,Sundsvall,Degerfors,1.0,2.0
2024-10-18,Örgryte,Sandvikens_IF,4.0,2.0
2024-10-19,Gefle,Oddevold,1.0,1.0
2024-10-19,Skövde_AIK,Utsiktens_BK,1.0,1.0
2024-10-19,Brage,Trelleborg_FF,1.0,0.0
2024-10-19,Östersunds_FK,Landskrona,2.0,1.0
2024-10-19,Degerfors,Örebro_SK,,
2024-10-20,Östers,Varbergs_BoIS_FC,3.0,4.0
2024-10-21,Helsingborg,Sundsvall,2.0,1.0
2024-10-22,Degerfors,Örebro_SK,1.0,2.0
2024-10-26,Landskrona,Brage,3.0,0.0
2024-10-26,Sandvikens_IF,Helsingborg,2.0,2.0
2024-10-26,Sundsvall,Örgryte,1.0,1.0
2024-10-26,Trelleborg_FF,Gefle,1.0,0.0
2024-10-26,Utsiktens_BK,Östersunds_FK,3.0,1.0
2024-10-27,Varbergs_BoIS_FC,Degerfors,0.0,0.0
2024-10-27,Örebro_SK,Östers,0.0,1.0
2024-10-28,Oddevold,Skövde_AIK,2.0,2.0
2024-11-02,Gefle,Utsiktens_BK,2.0,0.0
2024-11-02,Landskrona,Degerfors,1.0,1.0
2024-11-02,Sandvikens_IF,Sundsvall,1.0,2.0
2024-11-02,Trelleborg_FF,Varbergs_BoIS_FC,0.0,1.0
2024-11-03,Brage,Oddevold,1.0,2.0
2024-11-03,Örebro_SK,Helsingborg,2.0,1.0
2024-11-03,Östers,Skövde_AIK,5.0,2.0
2024-11-04,Örgryte,Östersunds_FK,2.0,1.0
2024-11-09,Degerfors,Östers,1.0,2.0
2024-11-09,Helsingborg,Örgryte,1.0,2.0
2024-11-09,Oddevold,Trelleborg_FF,0.0,3.0
2024-11-09,Östersunds_FK,Brage,1.0,1.0
2024-11-09,Skövde_AIK,Örebro_SK,2.0,2.0
2024-11-09,Sundsvall,Gefle,3.0,0.0
2024-11-09,Utsiktens_BK,Landskrona,3.0,0.0
2024-11-09,Varbergs_BoIS_FC,Sandvikens_IF,2.0,1.0
2025-03-29,Sundsvall,Helsingborg,2.0,0.0
2025-03-29,Sandvikens_IF,Kalmar_FF,0.0,0.0
2025-03-29,Örgryte,Utsiktens_BK,2.0,1.0
2025-03-29,Falkenbergs_FF,Varbergs_BoIS_FC,2.0,2.0
2025-03-30,Landskrona,Brage,2.0,2.0
2025-03-30,Trelleborg_FF,Östersunds_FK,0.0,1.0
2025-03-31,Oddevold,Umea_FC,1.0,0.0
2025-04-01,Örebro_SK,Västeras,0.0,2.0
2025-04-05,Utsiktens_BK,Oddevold,0.0,2.0
2025-04-05,Helsingborg,Sandvikens_IF,1.0,2.0
2025-04-05,Kalmar_FF,Sundsvall,1.0,0.0
2025-04-05,Östersunds_FK,Landskrona,3.0,3.0
2025-04-06,Umea_FC,Trelleborg_FF,0.0,1.0
2025-04-07,Brage,Falkenbergs_FF,0.0,2.0
2025-04-07,Varbergs_BoIS_FC,Örebro_SK,2.0,1.0
2025-04-08,Västeras,Örgryte,,
