date,home_team,away_team,home_score,away_score
2024-09-03,Londrina,Athletic_Club,2,3
2024-09-07,Athletic_Club,Ypiranga,0,0
2024-09-08,Ferroviário,Londrina,3,2
2024-09-08,Botafogo_Joao_Pessoa,Volta_Redonda,0,0
2024-09-10,Sao_Bernardo,Remo,2,2
2024-09-14,Sao_Bernardo,Botafogo_Joao_Pessoa,1,0
2024-09-15,Remo,Volta_Redonda,0,0
2024-09-14,Londrina,Ypiranga,2,2
2024-09-17,Ferroviário,Athletic_Club,3,2
2024-09-21,Volta_Redonda,Remo,1,1
2024-09-22,Botafogo_Joao_Pessoa,Sao_Bernardo,0,0
2024-09-22,Ypiranga,Londrina,0,1
2024-09-24,Athletic_Club,Ferroviário,3,0
2024-09-28,Volta_Redonda,Botafogo_Joao_Pessoa,2,1
2024-09-29,Ypiranga,Athletic_Club,2,1
2024-09-29,Remo,Sao_Bernardo,1,0
2024-09-29,Londrina,Ferroviário,3,2
2024-10-05,Botafogo_Joao_Pessoa,Remo,3,0
2024-10-05,Sao_Bernardo,Volta_Redonda,1,2
2024-10-05,Athletic_Club,Londrina,2,1
2024-10-05,Ferroviário,Ypiranga,4,2
2024-10-12,Volta_Redonda,Athletic_Club,1,0
2024-10-19,Athletic_Club,Volta_Redonda,0,2
