date,home_team,away_team,home_score,away_score
2024-09-06,Aubagne,Versailles,3.0,3.0
2024-09-06,Le_Mans,Dijon,0.0,0.0
2024-09-06,Nancy,Villefranche,2.0,0.0
2024-09-06,Nimes,Rouen_FC,2.0,2.0
2024-09-06,Orleans,Concarneau,2.0,3.0
2024-09-06,Gobelins,Sochaux,1.0,1.0
2024-09-06,Quevilly,Bourg,0.0,0.0
2024-09-06,Valenciennes,Chateauroux,3.0,1.0
2024-09-13,Boulogne,Le_Mans,3.0,2.0
2024-09-13,Chateauroux,Quevilly,4.0,3.0
2024-09-13,Concarneau,Nimes,1.0,0.0
2024-09-13,Dijon,Gobelins,2.0,0.0
2024-09-13,Sochaux,Nancy,2.0,3.0
2024-09-13,Versailles,Orleans,,
2024-09-13,Villefranche,Aubagne,0.0,1.0
2024-09-14,Rouen_FC,Valenciennes,1.0,1.0
2024-09-15,Versailles,Orleans,1.0,3.0
2024-09-20,Nancy,Dijon,0.0,1.0
2024-09-20,Aubagne,Sochaux,0.0,1.0
2024-09-20,Le_Mans,Bourg,1.0,2.0
2024-09-20,Nimes,Versailles,1.0,0.0
2024-09-20,Orleans,Villefranche,1.0,1.0
2024-09-20,Gobelins,Boulogne,0.0,1.0
2024-09-20,Rouen_FC,Chateauroux,4.0,0.0
2024-09-20,Valenciennes,Concarneau,3.0,3.0
2024-09-26,Versailles,Valenciennes,1.0,1.0
2024-09-27,Boulogne,Nancy,1.0,1.0
2024-09-27,Bourg,Gobelins,0.0,3.0
2024-09-27,Concarneau,Rouen_FC,1.0,1.0
2024-09-27,Dijon,Aubagne,1.0,0.0
2024-09-27,Quevilly,Le_Mans,1.0,2.0
2024-09-27,Sochaux,Orleans,0.0,0.0
2024-09-27,Villefranche,Nimes,0.0,0.0
2024-10-04,Aubagne,Boulogne,3.0,0.0
2024-10-04,Concarneau,Chateauroux,3.0,1.0
2024-10-04,Nancy,Bourg,1.0,0.0
2024-10-04,Nimes,Sochaux,1.0,1.0
2024-10-04,Orleans,Dijon,1.0,1.0
2024-10-04,Gobelins,Quevilly,0.0,1.0
2024-10-04,Valenciennes,Villefranche,2.0,2.0
2024-10-05,Rouen_FC,Versailles,0.0,0.0
2024-10-09,Orleans,Valenciennes,4.0,1.0
2024-10-18,Boulogne,Orleans,3.0,0.0
2024-10-18,Bourg,Aubagne,2.0,1.0
2024-10-18,Chateauroux,Le_Mans,1.0,2.0
2024-10-18,Dijon,Nimes,0.0,0.0
2024-10-18,Quevilly,Nancy,0.0,1.0
2024-10-18,Sochaux,Valenciennes,2.0,0.0
2024-10-18,Versailles,Concarneau,1.0,2.0
2024-10-18,Villefranche,Rouen_FC,2.0,1.0
2024-10-23,Aubagne,Quevilly,1.0,1.0
2024-10-23,Concarneau,Villefranche,1.0,1.0
2024-10-23,Nimes,Boulogne,2.0,0.0
2024-10-23,Orleans,Bourg,1.0,0.0
2024-10-23,Gobelins,Le_Mans,2.0,3.0
2024-10-23,Rouen_FC,Sochaux,0.0,0.0
2024-10-23,Valenciennes,Dijon,2.0,0.0
2024-10-23,Versailles,Chateauroux,1.0,0.0
2024-11-01,Boulogne,Valenciennes,0.0,0.0
2024-11-01,Bourg,Nimes,2.0,1.0
2024-11-01,Chateauroux,Gobelins,1.0,1.0
2024-11-01,Dijon,Rouen_FC,1.0,0.0
2024-11-01,Le_Mans,Nancy,0.0,4.0
2024-11-01,Sochaux,Concarneau,1.0,0.0
2024-11-01,Villefranche,Versailles,1.0,3.0
2024-11-02,Quevilly,Orleans,1.0,1.0
2024-11-08,Aubagne,Le_Mans,1.0,0.0
2024-11-08,Concarneau,Dijon,1.0,2.0
2024-11-08,Nancy,Gobelins,1.0,2.0
2024-11-08,Nimes,Quevilly,0.0,2.0
2024-11-08,Rouen_FC,Boulogne,3.0,1.0
2024-11-08,Valenciennes,Bourg,1.0,2.0
2024-11-08,Versailles,Sochaux,1.0,1.0
2024-11-08,Villefranche,Chateauroux,2.0,2.0
2024-11-22,Boulogne,Concarneau,,
2024-11-22,Bourg,Rouen_FC,0.0,1.0
2024-11-22,Chateauroux,Nancy,0.0,2.0
2024-11-22,Dijon,Versailles,2.0,0.0
2024-11-22,Le_Mans,Orleans,0.0,2.0
2024-11-22,Gobelins,Aubagne,1.0,0.0
2024-11-22,Quevilly,Valenciennes,2.0,0.0
2024-11-22,Sochaux,Villefranche,2.0,1.0
2024-11-23,Boulogne,Concarneau,2.0,1.0
2024-12-06,Aubagne,Nancy,4.0,0.0
2024-12-06,Concarneau,Bourg,2.0,1.0
2024-12-06,Nimes,Le_Mans,0.0,0.0
2024-12-06,Orleans,Gobelins,3.0,1.0
2024-12-06,Rouen_FC,Quevilly,2.0,0.0
2024-12-06,Sochaux,Chateauroux,2.0,2.0
2024-12-06,Versailles,Boulogne,2.0,3.0
2024-12-06,Villefranche,Dijon,1.0,0.0
2024-12-13,Boulogne,Villefranche,1.0,0.0
2024-12-13,Bourg,Versailles,1.0,0.0
2024-12-13,Chateauroux,Aubagne,2.0,7.0
2024-12-13,Dijon,Sochaux,0.0,0.0
2024-12-13,Nancy,Orleans,1.0,0.0
2024-12-13,Gobelins,Nimes,1.0,1.0
2024-12-13,Le_Mans,Valenciennes,2.0,1.0
2024-12-14,Quevilly,Concarneau,2.0,1.0
2025-01-10,Dijon,Chateauroux,4.0,0.0
2025-01-10,Nimes,Nancy,1.0,2.0
2025-01-10,Orleans,Aubagne,2.0,1.0
2025-01-10,Rouen_FC,Le_Mans,2.0,2.0
2025-01-10,Sochaux,Boulogne,1.0,1.0
2025-01-10,Valenciennes,Gobelins,1.0,1.0
2025-01-10,Versailles,Quevilly,0.0,1.0
2025-01-10,Villefranche,Bourg,1.0,1.0
2025-01-14,Aubagne,Nancy,2.0,1.0
2025-01-17,Boulogne,Dijon,2.0,2.0
2025-01-17,Orleans,Chateauroux,1.0,1.0
2025-01-17,Gobelins,Rouen_FC,1.0,0.0
2025-01-18,Aubagne,Nimes,2.0,0.0
2025-01-18,Bourg,Sochaux,1.0,1.0
2025-01-18,Le_Mans,Concarneau,3.0,1.0
2025-01-18,Nancy,Valenciennes,1.0,2.0
2025-01-19,Quevilly,Villefranche,0.0,1.0
2025-01-24,Villefranche,Le_Mans,0.0,3.0
2025-01-24,Boulogne,Bourg,1.0,1.0
2025-01-24,Chateauroux,Nimes,3.0,2.0
2025-01-24,Concarneau,Nancy,0.0,2.0
2025-01-24,Dijon,Quevilly,3.0,3.0
2025-01-24,Rouen_FC,Aubagne,0.0,1.0
2025-01-24,Valenciennes,Orleans,1.0,0.0
2025-01-24,Versailles,Gobelins,3.0,3.0
2025-01-31,Aubagne,Concarneau,0.0,2.0
2025-01-31,Bourg,Chateauroux,0.0,0.0
2025-01-31,Le_Mans,Sochaux,1.0,1.0
2025-01-31,Nancy,Versailles,3.0,2.0
