date,home_team,away_team,home_score,away_score
2024-09-02,Arzignano_Valchiampo,Albinoleffe,1.0,1.0
2024-09-07,Pro_Patria,FeralpiSalo_AC,0.0,0.0
2024-09-07,Lecco,Lumezzane,1.0,1.0
2024-09-07,Alcione,Renate,0.0,1.0
2024-09-07,Atalanta_Bergamo_U23,Trento,1.0,1.0
2024-09-07,Pergolettese,Clodiense,2.0,2.0
2024-09-07,Virtus_Verona,Novara,1.0,0.0
2024-09-07,Albinoleffe,Vicenza,1.0,1.0
2024-09-08,Pro_Vercelli,Erminio,0.0,1.0
2024-09-08,Triestina,Caldiero_Terme,0.0,1.0
2024-09-08,Arzignano_Valchiampo,Padova,1.0,4.0
2024-09-13,Renate,Erminio,1.0,0.0
2024-09-13,Albinoleffe,Pergolettese,3.0,0.0
2024-09-13,FeralpiSalo_AC,Virtus_Verona,1.0,0.0
2024-09-14,Padova,Alcione,1.0,0.0
2024-09-15,Caldiero_Terme,Pro_Vercelli,4.0,1.0
2024-09-15,Clodiense,Lumezzane,1.0,1.0
2024-09-15,Trento,Arzignano_Valchiampo,3.0,2.0
2024-09-15,Vicenza,Pro_Patria,2.0,0.0
2024-09-15,Triestina,Atalanta_Bergamo_U23,1.0,5.0
2024-09-16,Novara,Lecco,0.0,0.0
2024-09-20,Erminio,Albinoleffe,0.0,2.0
2024-09-20,Pro_Vercelli,Padova,1.0,3.0
2024-09-20,Virtus_Verona,Renate,1.0,2.0
2024-09-21,Alcione,Vicenza,1.0,2.0
2024-09-21,Arzignano_Valchiampo,Clodiense,1.0,0.0
2024-09-21,Lecco,Triestina,2.0,1.0
2024-09-21,Pergolettese,FeralpiSalo_AC,2.0,2.0
2024-09-22,Lumezzane,Atalanta_Bergamo_U23,2.0,1.0
2024-09-22,Trento,Caldiero_Terme,1.0,0.0
2024-09-24,Albinoleffe,Pro_Patria,0.0,0.0
2024-09-24,Novara,Pro_Vercelli,1.0,0.0
2024-09-24,Padova,Virtus_Verona,4.0,1.0
2024-09-24,Vicenza,Renate,1.0,0.0
2024-09-25,Atalanta_Bergamo_U23,Pergolettese,5.0,1.0
2024-09-25,Caldiero_Terme,Alcione,0.0,2.0
2024-09-25,Lecco,Arzignano_Valchiampo,3.0,2.0
2024-09-25,FeralpiSalo_AC,Erminio,2.0,0.0
2024-09-26,Clodiense,Trento,2.0,2.0
2024-09-26,Triestina,Lumezzane,2.0,3.0
2024-09-28,Pro_Patria,Padova,1.0,1.0
2024-09-28,Alcione,Novara,2.0,1.0
2024-09-28,Pro_Vercelli,Lecco,3.0,2.0
2024-09-28,Renate,Albinoleffe,0.0,2.0
2024-09-28,Vicenza,FeralpiSalo_AC,1.0,0.0
2024-09-29,Trento,Triestina,1.0,1.0
2024-09-29,Erminio,Clodiense,2.0,1.0
2024-09-29,Virtus_Verona,Atalanta_Bergamo_U23,1.0,2.0
2024-09-30,Lumezzane,Arzignano_Valchiampo,1.0,0.0
2024-09-30,Pergolettese,Caldiero_Terme,3.0,2.0
2024-10-01,Pro_Patria,Novara,1.0,1.0
2024-10-04,Atalanta_Bergamo_U23,Erminio,1.0,3.0
2024-10-04,Lecco,Renate,0.0,2.0
2024-10-05,Novara,Pergolettese,3.0,1.0
2024-10-05,Triestina,Pro_Vercelli,1.0,1.0
2024-10-05,Arzignano_Valchiampo,Alcione,0.0,2.0
2024-10-05,Lumezzane,Trento,0.0,2.0
2024-10-06,Padova,Vicenza,1.0,0.0
2024-10-06,Caldiero_Terme,Virtus_Verona,0.0,3.0
2024-10-06,Clodiense,Pro_Patria,1.0,2.0
2024-10-07,FeralpiSalo_AC,Albinoleffe,1.0,0.0
2024-10-11,Renate,Novara,0.0,1.0
2024-10-12,Alcione,Triestina,1.0,0.0
2024-10-12,Virtus_Verona,Arzignano_Valchiampo,2.0,1.0
2024-10-12,Pro_Patria,Lecco,2.0,1.0
2024-10-12,Albinoleffe,Atalanta_Bergamo_U23,2.0,2.0
2024-10-12,Erminio,Padova,0.0,1.0
2024-10-13,FeralpiSalo_AC,Caldiero_Terme,2.0,0.0
2024-10-13,Pergolettese,Trento,0.0,0.0
2024-10-13,Pro_Vercelli,Clodiense,1.0,1.0
2024-10-13,Vicenza,Lumezzane,1.0,1.0
2024-10-18,Caldiero_Terme,Pro_Patria,1.0,1.0
2024-10-19,Arzignano_Valchiampo,Vicenza,1.0,2.0
2024-10-19,Lumezzane,Erminio,3.0,2.0
2024-10-19,Atalanta_Bergamo_U23,Renate,4.0,0.0
2024-10-19,Clodiense,Alcione,1.0,3.0
2024-10-19,Novara,Albinoleffe,2.0,0.0
2024-10-19,Triestina,Virtus_Verona,0.0,2.0
2024-10-20,Lecco,Pergolettese,1.0,0.0
2024-10-20,Trento,Pro_Vercelli,1.0,0.0
2024-10-20,Padova,FeralpiSalo_AC,0.0,0.0
2024-10-27,Erminio,Novara,,
2024-10-27,Pro_Patria,Trento,,
2024-10-27,Pro_Vercelli,Arzignano_Valchiampo,,
2024-10-25,Pro_Vercelli,Arzignano_Valchiampo,0.0,3.0
2024-10-25,Erminio,Novara,2.0,2.0
2024-10-25,Pro_Patria,Trento,1.0,1.0
2024-10-26,Pergolettese,Triestina,1.0,0.0
2024-10-26,Vicenza,Atalanta_Bergamo_U23,3.0,0.0
2024-10-26,Alcione,Lumezzane,1.0,0.0
2024-10-26,Renate,Caldiero_Terme,0.0,0.0
2024-10-26,Virtus_Verona,Clodiense,4.0,1.0
2024-10-27,Albinoleffe,Padova,0.0,2.0
2024-10-27,FeralpiSalo_AC,Lecco,2.0,1.0
2024-10-29,Arzignano_Valchiampo,Pro_Patria,1.0,0.0
2024-10-29,Atalanta_Bergamo_U23,Pro_Vercelli,2.0,0.0
2024-10-29,Caldiero_Terme,Erminio,1.0,0.0
2024-10-29,Trento,Virtus_Verona,1.0,1.0
2024-10-29,Lumezzane,Pergolettese,0.0,2.0
2024-10-29,Novara,Vicenza,0.0,0.0
2024-10-30,Clodiense,FeralpiSalo_AC,0.0,1.0
2024-10-30,Lecco,Alcione,1.0,0.0
2024-10-30,Triestina,Albinoleffe,1.0,1.0
2024-10-30,Padova,Renate,1.0,0.0
2024-11-02,Erminio,Arzignano_Valchiampo,0.0,1.0
2024-11-02,Novara,Caldiero_Terme,3.0,1.0
2024-11-02,Renate,Lumezzane,1.0,2.0
2024-11-02,Virtus_Verona,Pro_Vercelli,0.0,0.0
2024-11-02,Alcione,Trento,0.0,1.0
2024-11-03,Albinoleffe,Clodiense,1.0,0.0
2024-11-03,Pergolettese,Padova,1.0,2.0
2024-11-03,Pro_Patria,Triestina,0.0,0.0
2024-11-03,FeralpiSalo_AC,Atalanta_Bergamo_U23,3.0,1.0
2024-11-04,Vicenza,Lecco,1.0,0.0
2024-11-08,Pro_Vercelli,Alcione,1.0,0.0
2024-11-08,Trento,FeralpiSalo_AC,3.0,2.0
2024-11-08,Triestina,Erminio,0.0,1.0
2024-11-09,Arzignano_Valchiampo,Pergolettese,1.0,1.0
2024-11-09,Atalanta_Bergamo_U23,Pro_Patria,2.0,1.0
2024-11-09,Caldiero_Terme,Vicenza,0.0,2.0
2024-11-09,Lecco,Virtus_Verona,1.0,1.0
2024-11-10,Clodiense,Renate,2.0,2.0
2024-11-10,Lumezzane,Albinoleffe,1.0,0.0
2024-11-11,Padova,Novara,2.0,1.0
2024-11-15,Caldiero_Terme,Lumezzane,2.0,2.0
2024-11-16,Albinoleffe,Trento,0.0,0.0
2024-11-16,Pergolettese,Alcione,1.0,2.0
2024-11-16,Pro_Patria,Virtus_Verona,1.0,1.0
2024-11-16,Renate,Arzignano_Valchiampo,0.0,0.0
2024-11-16,Erminio,Lecco,1.0,0.0
2024-11-17,Novara,Clodiense,0.0,0.0
2024-11-17,Vicenza,Pro_Vercelli,2.0,0.0
2024-11-17,FeralpiSalo_AC,Triestina,2.0,0.0
2024-11-22,Clodiense,Vicenza,1.0,2.0
2024-11-22,Triestina,Renate,0.0,1.0
2024-11-23,Atalanta_Bergamo_U23,Caldiero_Terme,2.0,0.0
2024-11-23,Pro_Vercelli,Albinoleffe,0.0,2.0
2024-11-23,Trento,Erminio,2.0,0.0
2024-11-23,Lecco,Padova,0.0,3.0
2024-11-23,Lumezzane,FeralpiSalo_AC,1.0,3.0
2024-11-24,Alcione,Pro_Patria,2.0,0.0
2024-11-24,Arzignano_Valchiampo,Novara,0.0,2.0
2024-11-24,Virtus_Verona,Pergolettese,1.0,2.0
2024-11-29,FeralpiSalo_AC,Alcione,1.0,1.0
2024-11-30,Albinoleffe,Lecco,0.0,0.0
2024-11-30,Atalanta_Bergamo_U23,Clodiense,,
2024-11-30,Renate,Trento,1.0,1.0
2024-12-01,Caldiero_Terme,Arzignano_Valchiampo,1.0,2.0
2024-12-01,Novara,Lumezzane,0.0,0.0
2024-12-01,Padova,Triestina,1.0,1.0
2024-12-01,Erminio,Pergolettese,0.0,0.0
2024-12-01,Pro_Patria,Pro_Vercelli,1.0,1.0
2024-12-01,Vicenza,Virtus_Verona,3.0,0.0
2024-12-04,Padova,Atalanta_Bergamo_U23,3.0,1.0
2024-12-06,Lecco,Caldiero_Terme,5.0,1.0
2024-12-06,Trento,Novara,1.0,3.0
2024-12-07,Lumezzane,Pro_Patria,1.0,1.0
2024-12-07,Virtus_Verona,Erminio,1.0,1.0
2024-12-07,Pergolettese,Renate,0.0,1.0
2024-12-08,Triestina,Vicenza,2.0,0.0
2024-12-08,Arzignano_Valchiampo,Atalanta_Bergamo_U23,3.0,1.0
2024-12-08,Pro_Vercelli,FeralpiSalo_AC,1.0,0.0
2024-12-08,Alcione,Albinoleffe,0.0,2.0
2024-12-11,Atalanta_Bergamo_U23,Clodiense,2.0,1.0
2024-12-13,Renate,Pro_Vercelli,1.0,0.0
2024-12-13,Vicenza,Trento,3.0,0.0
2024-12-14,Atalanta_Bergamo_U23,Lecco,5.0,2.0
2024-12-14,Novara,Triestina,2.0,3.0
2024-12-14,Erminio,Alcione,0.0,2.0
2024-12-14,Padova,Lumezzane,2.0,0.0
2024-12-15,Pro_Patria,Pergolettese,1.0,1.0
2024-12-15,Caldiero_Terme,Clodiense,2.0,2.0
2024-12-15,FeralpiSalo_AC,Arzignano_Valchiampo,1.0,1.0
2024-12-16,Albinoleffe,Virtus_Verona,3.0,1.0
2024-12-18,Clodiense,Padova,1.0,2.0
2024-12-20,Alcione,Atalanta_Bergamo_U23,0.0,1.0
2024-12-21,Arzignano_Valchiampo,Triestina,3.0,0.0
2024-12-21,Clodiense,Lecco,1.0,1.0
2024-12-21,Lumezzane,Virtus_Verona,0.0,3.0
2024-12-21,Novara,FeralpiSalo_AC,0.0,1.0
2024-12-21,Renate,Pro_Patria,1.0,0.0
2024-12-22,Caldiero_Terme,Albinoleffe,0.0,2.0
2024-12-22,Erminio,Vicenza,0.0,0.0
2024-12-22,Pergolettese,Pro_Vercelli,1.0,0.0
2024-12-22,Trento,Padova,0.0,1.0
2025-01-04,Triestina,Clodiense,3.0,0.0
2025-01-04,Virtus_Verona,Alcione,1.0,0.0
2025-01-04,Albinoleffe,Arzignano_Valchiampo,1.0,1.0
2025-01-04,Atalanta_Bergamo_U23,Novara,0.0,0.0
2025-01-04,FeralpiSalo_AC,Renate,3.0,1.0
2025-01-05,Lecco,Trento,1.0,2.0
2025-01-05,Padova,Caldiero_Terme,1.0,0.0
2025-01-06,Pro_Patria,Erminio,1.0,2.0
2025-01-06,Pro_Vercelli,Lumezzane,3.0,3.0
2025-01-06,Vicenza,Pergolettese,2.0,0.0
2025-01-11,Caldiero_Terme,Triestina,0.0,2.0
2025-01-11,Erminio,Pro_Vercelli,1.0,2.0
2025-01-11,Lumezzane,Lecco,4.0,0.0
2025-01-11,Novara,Virtus_Verona,3.0,0.0
2025-01-11,Trento,Atalanta_Bergamo_U23,2.0,2.0
2025-01-11,Renate,Alcione,0.0,1.0
2025-01-12,Padova,Arzignano_Valchiampo,1.0,1.0
2025-01-12,Vicenza,Albinoleffe,2.0,0.0
2025-01-12,Clodiense,Pergolettese,0.0,1.0
2025-01-12,FeralpiSalo_AC,Pro_Patria,1.0,0.0
2025-01-17,Lecco,Novara,1.0,1.0
2025-01-18,Atalanta_Bergamo_U23,Triestina,3.0,1.0
2025-01-18,Erminio,Renate,2.0,1.0
2025-01-18,Pro_Vercelli,Caldiero_Terme,2.0,1.0
2025-01-18,Virtus_Verona,FeralpiSalo_AC,1.0,3.0
2025-01-19,Alcione,Padova,0.0,2.0
2025-01-19,Arzignano_Valchiampo,Trento,1.0,2.0
2025-01-19,Pergolettese,Albinoleffe,1.0,2.0
2025-01-19,Lumezzane,Clodiense,0.0,2.0
2025-01-19,Pro_Patria,Vicenza,0.0,3.0
2025-01-24,FeralpiSalo_AC,Pergolettese,1.0,2.0
2025-01-25,Atalanta_Bergamo_U23,Lumezzane,0.0,1.0
2025-01-25,Clodiense,Arzignano_Valchiampo,1.0,1.0
2025-01-25,Novara,Pro_Patria,2.0,1.0
2025-01-25,Renate,Virtus_Verona,0.0,3.0
2025-01-25,Padova,Pro_Vercelli,1.0,1.0
2025-01-26,Vicenza,Alcione,4.0,1.0
2025-01-26,Albinoleffe,Erminio,0.0,3.0
2025-01-26,Caldiero_Terme,Trento,2.0,0.0
2025-01-26,Triestina,Lecco,1.0,1.0
2025-02-01,Arzignano_Valchiampo,Lecco,2.0,0.0
2025-02-01,Pro_Patria,Albinoleffe,1.0,2.0
2025-02-01,Virtus_Verona,Padova,1.0,0.0
2025-02-01,Alcione,Caldiero_Terme,1.0,1.0
2025-02-01,Renate,Vicenza,0.0,1.0
2025-02-01,Trento,Clodiense,5.0,0.0
2025-02-02,Pergolettese,Atalanta_Bergamo_U23,3.0,1.0
2025-02-02,Lumezzane,Triestina,1.0,3.0
2025-02-02,Erminio,FeralpiSalo_AC,3.0,1.0
2025-02-03,Pro_Vercelli,Novara,1.0,0.0
2025-02-08,Atalanta_Bergamo_U23,Virtus_Verona,0.0,3.0
2025-02-08,Caldiero_Terme,Pergolettese,0.0,1.0
2025-02-08,Clodiense,Erminio,0.0,1.0
2025-02-08,Arzignano_Valchiampo,Lumezzane,1.0,1.0
2025-02-09,FeralpiSalo_AC,Vicenza,2.0,0.0
2025-02-09,Novara,Alcione,1.0,1.0
2025-02-09,Padova,Pro_Patria,3.0,1.0
2025-02-09,Albinoleffe,Renate,1.0,0.0
2025-02-09,Lecco,Pro_Vercelli,2.0,1.0
2025-02-10,Triestina,Trento,1.0,0.0
2025-02-15,Alcione,Arzignano_Valchiampo,0.0,1.0
2025-02-15,Pergolettese,Novara,1.0,2.0
2025-02-15,Pro_Patria,Clodiense,3.0,1.0
2025-02-15,Pro_Vercelli,Triestina,0.0,1.0
2025-02-15,Renate,Lecco,1.0,0.0
2025-02-16,Trento,Lumezzane,2.0,2.0
2025-02-16,Vicenza,Padova,1.0,1.0
2025-02-16,Albinoleffe,FeralpiSalo_AC,0.0,0.0
2025-02-16,Erminio,Atalanta_Bergamo_U23,2.0,1.0
2025-02-17,Virtus_Verona,Caldiero_Terme,5.0,2.0
2025-02-21,Trento,Pergolettese,1.0,1.0
2025-02-22,Arzignano_Valchiampo,Virtus_Verona,0.0,2.0
2025-02-22,Caldiero_Terme,FeralpiSalo_AC,2.0,3.0
2025-02-22,Triestina,Alcione,1.0,0.0
2025-02-22,Lecco,Pro_Patria,2.0,1.0
2025-02-23,Clodiense,Pro_Vercelli,2.0,0.0
2025-02-23,Lumezzane,Vicenza,0.0,1.0
2025-02-23,Novara,Renate,1.0,0.0
2025-02-23,Padova,Erminio,3.0,0.0
2025-02-24,Atalanta_Bergamo_U23,Albinoleffe,1.0,1.0
2025-02-28,Alcione,Clodiense,2.0,0.0
2025-02-28,Erminio,Lumezzane,1.0,1.0
2025-03-01,Pergolettese,Lecco,0.0,0.0
2025-03-01,Pro_Patria,Caldiero_Terme,0.0,0.0
2025-03-01,Virtus_Verona,Triestina,2.0,2.0
2025-03-01,Pro_Vercelli,Trento,0.0,0.0
2025-03-02,Albinoleffe,Novara,1.0,1.0
2025-03-02,Vicenza,Arzignano_Valchiampo,4.0,0.0
2025-03-02,FeralpiSalo_AC,Padova,1.0,0.0
2025-03-03,Renate,Atalanta_Bergamo_U23,1.0,0.0
2025-03-09,Atalanta_Bergamo_U23,Vicenza,2.0,2.0
2025-03-09,Lecco,FeralpiSalo_AC,0.0,0.0
