date,home_team,away_team,home_score,away_score
2024-09-02,Ascoli,Pianese,1.0,0.0
2024-09-02,Vis_Pesaro,Arezzo,3.0,0.0
2024-09-07,Gubbio_1910,Ternana,0.0,0.0
2024-09-07,Pineto,Arezzo,3.0,1.0
2024-09-07,Rimini,Pescara,0.0,1.0
2024-09-08,Pianese,Campobasso,2.0,0.0
2024-09-08,Carpi,Perugia,2.0,0.0
2024-09-08,Legnago_Salus,Vis_Pesaro,0.0,1.0
2024-09-08,Spal,Lucchese,2.0,3.0
2024-09-08,Pontedera,Sestri_Levante,4.0,1.0
2024-09-09,Entella,Ascoli,2.0,1.0
2024-09-13,Arezzo,Legnago_Salus,1.0,0.0
2024-09-13,Entella,Carpi,1.0,1.0
2024-09-14,Milan_AC_U23,Ascoli,0.0,2.0
2024-09-14,Vis_Pesaro,Pontedera,2.0,0.0
2024-09-14,Campobasso,Torres,0.0,1.0
2024-09-14,Sestri_Levante,Spal,1.0,3.0
2024-09-15,Perugia,Gubbio_1910,1.0,1.0
2024-09-15,Ternana,Pineto,3.0,0.0
2024-09-16,Pescara,Pianese,2.0,1.0
2024-09-16,Lucchese,Rimini,2.0,2.0
2024-09-15,Vis_Pesaro,Pontedera,2.0,0.0
2024-09-18,Torres,Milan_AC_U23,0.0,0.0
2024-09-20,Gubbio_1910,Campobasso,0.0,0.0
2024-09-20,Vis_Pesaro,Ternana,0.0,2.0
2024-09-21,Legnago_Salus,Sestri_Levante,0.0,3.0
2024-09-21,Torres,Pineto,1.0,1.0
2024-09-21,Pontedera,Arezzo,0.0,1.0
2024-09-22,Ascoli,Lucchese,1.0,2.0
2024-09-22,Pianese,Entella,1.0,1.0
2024-09-23,Pescara,Perugia,0.0,0.0
2024-09-23,Spal,Carpi,2.0,1.0
2024-09-23,Rimini,Milan_AC_U23,1.0,0.0
2024-09-24,Arezzo,Gubbio_1910,2.0,0.0
2024-09-24,Sestri_Levante,Torres,1.0,2.0
2024-09-25,Lucchese,Pianese,3.0,3.0
2024-09-25,Ternana,Legnago_Salus,8.0,0.0
2024-09-26,Pineto,Pontedera,1.0,1.0
2024-09-26,Carpi,Ascoli,2.0,2.0
2024-09-26,Milan_AC_U23,Spal,2.0,1.0
2024-09-26,Campobasso,Vis_Pesaro,3.0,2.0
2024-09-26,Entella,Pescara,0.0,1.0
2024-09-26,Perugia,Rimini,1.0,4.0
2024-09-28,Gubbio_1910,Torres,1.0,2.0
2024-09-29,Arezzo,Ternana,1.0,2.0
2024-09-29,Legnago_Salus,Pineto,2.0,1.0
2024-09-29,Ascoli,Rimini,0.0,1.0
2024-09-29,Pianese,Sestri_Levante,0.0,1.0
2024-09-29,Spal,Entella,0.0,2.0
2024-09-29,Pontedera,Campobasso,1.0,2.0
2024-09-30,Pescara,Carpi,2.0,1.0
2024-09-30,Vis_Pesaro,Perugia,0.0,0.0
2024-09-30,Lucchese,Milan_AC_U23,1.0,1.0
2024-10-04,Rimini,Spal,0.0,1.0
2024-10-05,Carpi,Pontedera,2.0,1.0
2024-10-05,Milan_AC_U23,Pianese,0.0,1.0
2024-10-05,Sestri_Levante,Vis_Pesaro,1.0,1.0
2024-10-06,Pineto,Gubbio_1910,1.0,2.0
2024-10-06,Torres,Arezzo,0.0,2.0
2024-10-06,Entella,Legnago_Salus,3.0,1.0
2024-10-06,Perugia,Lucchese,4.0,0.0
2024-10-06,Ascoli,Pescara,1.0,2.0
2024-10-07,Ternana,Campobasso,0.0,0.0
2024-10-11,Lucchese,Sestri_Levante,0.0,0.0
2024-10-12,Pontedera,Torres,2.0,3.0
2024-10-12,Perugia,Entella,0.0,1.0
2024-10-13,Campobasso,Spal,4.0,0.0
2024-10-13,Legnago_Salus,Gubbio_1910,0.0,1.0
2024-10-13,Arezzo,Rimini,1.0,1.0
2024-10-13,Pianese,Carpi,1.0,0.0
2024-10-13,Vis_Pesaro,Pineto,1.0,1.0
2024-10-13,Ternana,Ascoli,3.0,1.0
2024-10-18,Sestri_Levante,Arezzo,0.0,1.0
2024-10-18,Spal,Pescara,0.0,1.0
